"locations_id","geonames_id","wikidata_id","emlo_location_id","locations_name_modern","locations_name_in_edition","locations_modern_state","locations_modern_province","locations_lat","locations_lng","locations_ll_combined","locations_further_annotation"
"schloss_leombach_AT_gid_2772636","2772636","Q67582734","0ea5ec6b-0505-4050-9ce8-efbe161a2e3c","Leombach","Leombach bei Wels","Austria","Upper Austria","48.11667","14.08333","48.11667, 14.08333",""
"leuven_BE_gid_2792482","2792482","Q118958","5f02c010-ab88-48a8-be99-17a33c460458","Leuven","Löwen","Belgium","Flanders","50.87959","4.70093","50.87959, 4.70093",""
"lichtenau_DE_gid_8629617","8629617","Q630325","858e902c-2e3b-44f9-8ada-d9b5b470c5ef","Lichtenau","Lichtenau // Lichtenau b. Ansbach","Germany","Bavaria","49.27746","10.68674","49.27746, 10.68674",""
"liège_BE_gid_2792413","2792413","Q3992","30c3c80f-0f2e-4e55-8148-997a96cecea8","Liège","Lüttich","Belgium","Wallonia","50.63373","5.56749","50.63373, 5.56749",""
"lindau_DE_gid_2877550","2877550","Q153969","4995fd01-05a7-44a2-abe4-99b5f4cedf0a","Lindau","Lindau","Germany","Bavaria","47.54612","9.68431","47.54612, 9.68431",""
"linz_AT_gid_2772400","2772400","Q41329","a4450f79-2a18-43ef-be1a-cf86b7a704c3","Linz","Linz","Austria","Upper Austria","48.30639","14.28611","48.30639, 14.28611",""
"lochau_DE_gid_2876645","2876645","Q1867313","3a5d273c-44c7-4732-afe9-a0904a879d40","Lochau","Lochau bei Torgau","Germany","Saxony-Anhalt","51.39738","12.05303","51.39738, 12.05303",""
"lubsko_PL_gid_3092813","3092813","Q149111","","Lubsko","Sommerfeld (Kreis Crossen/Oder)","Poland","Lubusz","51.78467","14.97196","51.78467, 14.97196",""
"lüneburg_DE_gid_2875115","2875115","Q3920","d33be792-7a51-4711-92fa-9a2803f86c44","Lüneburg","Lüneburg","Germany","Lower Saxony","53.2509","10.41409","53.2509, 10.41409",""
"mainz_DE_gid_2874225","2874225","Q1720","131a8871-513c-4a7d-b374-1ae3ddcac060","Mainz","Mainz","Germany","Rheinland-Pfalz","49.98419","8.2791","49.98419, 8.2791",""
"kollegiatstift_st_viktor_DE_gid_unknown","Unknown","Q2348661","45296e74-ba48-47e6-a9bd-03eed4ac563a","Kollegiatstift St. Viktor","Mainz-St. Viktorsberg","Germany","Rheinland-Pfalz","49.982778","8.303056","49.982778, 8.303056","LL from Klosterdatenbank GS"
"marburg_an_der_lahn_DE_gid_2873759","2873759","Q3869","ad95062b-27b0-41ff-9f6f-890c97e281e4","Marburg an der Lahn","Marburg // Marburg/Lahn","Germany","Hesse","50.80904","8.77069","50.80904, 8.77069",""
"marienburg_abbey_DE_gid_unknown","Unknown","Q1775604","45d858ec-e6a2-4fbb-b8bd-f9d6d5589980","Marienburg Abbey","Marienburg","Germany","Bavaria","49.235","10.965278","49.235, 10.965278","LL from Klosterdatenbank GS"
"marienstein_abbey_DE_gid_unknown","Unknown","Q1775634","b85e2d74-04b0-487c-abe0-1aa302447a9a","Marienstein Abbey","Kloster Marienstein","Germany","Bavaria","48.893","11.163","48.893, 11.163","LL from Klosterdatenbank GS"
