"Location Name","Latitude","Longitude","Number of correspondents Erasmus writes to","Number of letters written by Erasmus","Average Number of letters per correspondent"
"Schloss Steinheim","50.1086","8.91605","1","1","1.0000"
"Stuttgart","48.78232","9.17702","1","5","5.0000"
"Saint-Amand Abbey","50.638307","2.392984","1","3","3.0000"
"Saint-Augustin-lès-Thérouanne Abbey","50.63871","2.39876","1","1","1.0000"
"Saint-Hubert Abbey","50.026172","5.374353","1","1","1.0000"
"Saint Séverin Abbey of Château Landon","48.1504","2.7089","1","2","2.0000"
"Saint Sulpice Abbey","45.897778","5.583611","1","3","3.0000"
"Toulouse","43.60426","1.44367","1","4","4.0000"
"Trier","49.75565","6.63935","1","1","1.0000"
"Trzebiatów","54.06147","15.26475","1","1","1.0000"
"Überlingen","47.76977","9.17136","1","5","5.0000"
"Valladolid","41.65518","-4.72372","1","1","1.0000"
"Veere","51.54833","3.66667","1","1","1.0000"
"Vic-sur-Seille","48.78204","6.53081","1","1","1.0000"
"Waldburg Castle","47.758889","9.711944","1","1","1.0000"
"Weinsberg","49.15127","9.28762","1","2","2.0000"
"Wesel","51.6669","6.62037","1","2","2.0000"
"Winchester","51.06513","-1.3187","1","3","3.0000"
"Windsor Castle","51.48365","-0.60502","1","2","2.0000"
"Woking","51.31903","-0.55893","1","1","1.0000"
"Woodstock","51.8485","-1.35132","1","1","1.0000"
"Zeitz","51.04962","12.1369","1","3","3.0000"
"Znojmo","48.8555","16.0488","1","1","1.0000"
"Zwolle","52.5125","6.09444","1","3","3.0000"
