"Id","type","gender","Label","pob_loc_id","pob_loc_annotation","dob_year1","dob_computable1","dob_has_range","dob_year2","dob_computable2","pod_loc_id","pod_loc_annotation","dod_year1","dod_computable1","dod_has_range","dod_year2","colour"
"fabri_johann_viaf_73844870","individual","male","Johannes FABRI","leutkirch_im_allgäu_DE_gid_2878270","Leutkirch/Allgäu",1478,"1478-01-01",1,1478,"1478-12-31","vienna_AT_gid_2761369","Wien",1541,"1541-05-21",0,1541,"#525252"
"fettich_theobald_viaf_39718269","individual","male","Theobald FETTICH","kaiserslautern_DE_gid_2894003","Kaiserslautern",NA,"0000-00-00",1,NA,"0000-00-00","unknown_location_XX_gid_unknown","Unknown",NA,"0000-00-00",1,NA,"#525252"
"fonseca_alonso_de_viaf_3902488","individual","male","Alonso de FONSECA","santiago_de_compostela_ES_gid_3109642","Santiago de Compostela",1475,"1475-01-01",1,1475,"1475-12-31","toledo_ES_gid_2510409","Toledo",1534,"1534-02-05",0,1534,"#525252"
"francis_i_king_of_france_viaf_21677","individual","male","FRANCIS I","cognac_FR_gid_3024440","Cognac",1494,"1494-09-12",0,1494,"1494-09-12","rambouillet_FR_gid_2984513","Rambouillet",1547,"1547-03-31",0,1547,"#525252"
"francis_john_viaf_unknown","individual","male","John FRANCIS","unknown_location_XX_gid_unknown","Unknown",NA,"0000-00-00",1,NA,"0000-00-00","unknown_location_XX_gid_unknown","Unknown",NA,"0000-00-00",1,NA,"#525252"
"gardiner_stephen_viaf_54292111","individual","male","Stephen GARDINER","bury_st_edmunds_GB_gid_2654186","Bury St Edmunds",1497,"1497-01-01",1,1497,"1497-12-31","unknown_location_XX_gid_unknown","Unknown",1555,"1555-11-12",0,1555,"#525252"
"gattinara_mercurino_marchese_di_viaf_9855777","individual","male","Mercurino Arborio di GATTINARA","vercelli_IT_gid_3164565","near Vercelli, Piedmont",1465,"1465-06-10",0,1465,"1465-06-10","innsbruck_AT_gid_2775220","Innsbruck",1530,"1530-06-05",0,1530,"#525252"
"georg_duke_of_saxony_viaf_52484350","individual","male","George, duke of SAXONY","meissen_DE_gid_2872155","Meissen",1471,"1471-08-27",0,1471,"1471-08-27","dresden_DE_gid_2935022","Dresden",1539,"1539-04-17",0,1539,"#525252"
"giberti_giovanni_matteo_viaf_74583902","individual","male","Gian Matteo GIBERTI","palermo_IT_gid_2523920","Palermo",1495,"1495-09-20",0,1495,"1495-09-20","unknown_location_XX_gid_unknown","Unknown",1543,"1543-12-30",0,1543,"#525252"
"gillis_pierre_viaf_12425170","individual","male","Pieter GILLIS","antwerpen_BE_gid_2803138","Antwerp",1486,"1486-01-01",1,1486,"1486-12-31","unknown_location_XX_gid_unknown","Unknown",1533,"1533-11-06",1,1533,"#525252"
"glareanus_henricus_viaf_73950690","individual","male","Henricus GLAREANUS","mollis_CH_gid_2659636","Mollis/Glarus",1488,"1488-06-01",1,1488,"1488-06-30","freiburg_DE_gid_2925177","Freiburg i. Br.",1563,"1563-03-27",1,1563,"#fdb863"
"goclenius_conrad_viaf_100370860","individual","male","Conradus GOCLENIUS","mengeringhausen_DE_gid_2871962","Mengeringhausen, in the county of Waldeck( Westphalia)",NA,"0000-00-00",1,NA,"0000-00-00","leuven_BE_gid_2792482","Louvain",1539,"1539-01-25",0,1539,"#525252"
"henckel_johannes_viaf_42653796","individual","male","Johann HENCKEL","levoča_SK_gid_724294","Levoča (Leutschau, Löcse)",NA,"0000-00-00",1,NA,"0000-00-00","wrocław_PL_gid_3081368","Wrocław (Breslau)",1539,"1539-01-01",1,1539,"#525252"
