"Id"	"geonames_id"	"locations_name_modern"	"locations_name_in_edition"	"locations_modern_state"	"locations_modern_province"	"locations_lat"	"locations_lng"	"locations_ll_combined"	"locations_further_annotation"
"monastery_rebdorf_DE_gid_unknown"	"Unknown"	"Monastery Rebdorf"	"Kloster Rebdorf"	"Germany"	"Bavaria"	"48.888103"	"11.167556"	"48.888103, 11.167556"	"LL for Kloster Rebdorf (GeoHack)"
"munich_DE_gid_2867714"	"2867714"	"Munich"	"München"	"Germany"	"Bavaria"	"48.13743"	"11.57549"	"48.13743, 11.57549"	NULL
"neuburg_an_der_donau_DE_gid_2866070"	"2866070"	"Neuburg an der Donau"	"Neuburg/Donau // Neuburg"	"Germany"	"Bavaria"	"48.73218"	"11.18709"	"48.73218, 11.18709"	NULL
"neuenstein_DE_gid_2865557"	"2865557"	"Neuenstein"	"Neuenstein"	"Germany"	"Baden-Württemberg"	"49.2049"	"9.58"	"49.2049, 9.58"	"gemeint ist das Schloss Neuenstein, von welchem der Graf schreibt"
"neumarkt_in_der_oberpfalz_DE_gid_2864549"	"2864549"	"Neumarkt in der Oberpfalz"	"Neumarkt"	"Germany"	"Bavaria"	"49.28028"	"11.46278"	"49.28028, 11.46278"	NULL
"neunhof_DE_gid_2864443"	"2864443"	"Neunhof"	"Neunhof"	"Germany"	"Bavaria"	"49.55495"	"11.23017"	"49.55495, 11.23017"	NULL
"nördlingen_DE_gid_2861914"	"2861914"	"Nördlingen"	"Nördlingen"	"Germany"	"Bavaria"	"48.85122"	"10.48868"	"48.85122, 10.48868"	NULL
"nürnberg_DE_gid_2861650"	"2861650"	"Nürnberg"	"Nürnberg"	"Germany"	"Bavaria"	"49.45421"	"11.07752"	"49.45421, 11.07752"	NULL
"nürnberg_katharinenkloster_DE_gid_unknown"	"unknown"	"Katharinenkloster Nürnberg"	"Nürnberg, Katharinenkloster"	"Germany"	"Bavaria"	"49.451667"	"11.081944"	"49.451667, 11.081944"	"LL for Katharinenkloster Nürnberg (GeoHack)"
"nürnberg_klarissenkloster_st_klara_DE_gid_unknown"	"unknown"	"Klarissenkloster St. Klara"	"Nürnberg, Klarakloster"	"Germany"	"Bavaria"	"49.448611"	"11.079444"	"49.448611, 11.079444"	"LL for Klarissenkloster St. Klara (Nürnberg) (GeoHack)"
"oleśnica_PL_gid_3090170"	"3090170"	"Oleśnica"	"Öls"	"Poland"	"Lower Silesian Voivodeship"	"51.21338"	"17.38986"	"51.21338, 17.38986"	NULL
"orléans_FR_gid_2989317"	"2989317"	"Orléans"	"Orléans"	"France"	"Centre"	"47.90289"	"1.90389"	"47.90289, 1.90389"	NULL
"padova_IT_gid_3171728"	"3171728"	"Padova"	"Padua"	"Italy"	"Veneto"	"45.40797"	"11.88586"	"45.40797, 11.88586"	NULL
"palencia_ES_gid_3114531"	"3114531"	"Palencia"	"Palencia"	"Spain"	"Castille and León"	"42.00955"	"-4.52406"	"42.00955, -4.52406"	NULL
"pamplona_ES_gid_3114472"	"3114472"	"Pamplona"	"Pamplona"	"Spain"	"Navarre"	"42.81687"	"-1.64323"	"42.81687, -1.64323"	NULL
"passau_DE_gid_2855328"	"2855328"	"Passau"	"Passau"	"Germany"	"Bavaria"	"48.5665"	"13.43122"	"48.5665, 13.43122"	NULL
"pavia_IT_gid_3171366"	"3171366"	"Pavia"	"Pavia"	"Italy"	"Lombardy"	"45.19205"	"9.15917"	"45.19205, 9.15917"	NULL
"pfunds_AT_gid_2768905"	"2768905"	"Pfunds"	"Pfunds"	"Austria"	"Tyrol"	"46.96667"	"10.55"	"46.96667, 10.55"	NULL
"pillenreuth_abbey_DE_gid_unknown"	"unknown"	"Pillenreuth Abbey"	"Kloster Pillenreuth"	"Germany"	"Bavaria"	"49.379167"	"11.078056"	"49.379167, 11.078056"	"LL for Kloster Pillenreuth (GeoHack)"
"prague_CZ_gid_3067696"	"3067696"	"Prague"	"Prag"	"Czech Republic"	"Hlavní Mesto Praha"	"50.08804"	"14.42076"	"50.08804, 14.42076"	NULL
"ravensburg_DE_gid_2849802"	"2849802"	"Ravensburg"	"Ravensburg"	"Germany"	"Baden-Württemberg"	"47.78198"	"9.61062"	"47.78198, 9.61062"	NULL
"regensburg_DE_gid_2849483"	"2849483"	"Regensburg"	"Regensburg"	"Germany"	"Bavaria"	"49.01513"	"12.10161"	"49.01513, 12.10161"	NULL
"roding_DE_gid_2845924"	"2845924"	"Roding"	"Roding"	"Germany"	"Bavaria"	"49.19426"	"12.51956"	"49.19426, 12.51956"	NULL
"rome_IT_gid_3169070"	"3169070"	"Rome"	"Rom // Rome"	"Italy"	"Latium"	"41.89193"	"12.51133"	"41.89193, 12.51133"	NULL
"salzburg_AT_gid_2766824"	"2766824"	"Salzburg"	"Salzburg"	"Austria"	"Salzburg"	"47.79941"	"13.04399"	"47.79941, 13.04399"	NULL
"schloss_münchsdorf_DE_gid_unknown"	"unknown"	"Schloss Münchsdorf"	"Schloß Münchsdorf"	"Germany"	"Bavaria"	"48.588261"	"12.903188"	"48.588261, 12.903188"	"LL for Schloss Münchsdorf (GeoHack)"
"schloss_schillingsfürst_DE_gid_unknown"	"unknown"	"Schloss Schillingsfürst"	"Schillingsfürst"	"Germany"	"Bavaria"	"49.289854"	"10.257884"	"49.289854, 10.257884"	"LL for Schloss Schillingsfürst (GeoHack)"
