"recipient_id","name_in_edition","Beginning of the correspondence","End of the correspondence"
"244158e1-14dc-421b-bf28-dee48e1e2128","Jacobus APOCELLUS [COE] // Jacobus Apocellus [CWE] // Apocellus [ALLEN]","1525-10-09","1525-10-09"
"25386e84-76c8-418b-9289-6d16558ddc5e","Claes WARNERSZOON [COE] // Nicolaas Werner [CWE] // Werner, Nicholas [ALLEN]","1496-09-13","1502-09-01"
"261ce577-d2bd-4ff2-beef-7a6fcd5e3256","Lieven ALGOET [COE] // Lieven Algoet [CWE] // Algoet, Levinus or Livinus (Omnibinus, Panagethus) [ALLEN]","1520-04-13","1520-04-13"
"26433790-f53b-43f1-a737-eb3d85e4f12d","Adolf GREVERADE [COE] // Greveradus [CWE] // Greverade [ALLEN]","1500-12-18","1500-12-18"
"279a3c08-20f0-4b21-ab45-44b8d1dd576b","Johann von RIEDT [COE] // Johann von Riedt [CWE] // Rheidt, John of [ALLEN]","1528-10-01","1528-10-01"
"27f7cad2-4b2d-4785-a7c3-2af2fd2a044f","Georg SCHMOTZER [COE] // Georg Schmotzer [CWE] // Smotzer, Georg [ALLEN]","1527-12-27","1527-12-27"
"2858f337-c4e0-48ea-88f9-ac6a378016b0","Johann SCHUDELIN [COE] // Johann Schudelin [CWE] // Schudelinus, John [ALLEN]","1521-09-04","1521-09-04"
"28cb3369-3e38-4383-9d64-6748e39e4e13","Tommaso de Vio, Cardinal CAJETANUS [COE] // Tommaso de Vio, Cardinal Cajetanus [CWE] // Vio, Tommaso de (Caietano) [ALLEN]","1532-07-23","1532-07-23"
"2a2242bb-51ae-43f4-ba98-ef6117827178","Pierre de COURTEBOURNE [COE] // Pierre le Bâtard de Courtebourne [CWE] // Courtebourne, Peter of [ALLEN]","1502-03-01","1502-03-01"
"2a3c55f0-a6fb-44b6-9e27-7199e00256b8","Thomas ANSHELM [COE] // Thomas Anshelm [CWE] // Anshelm, Thomas [ALLEN]","1516-04-01","1516-04-01"
"2a8c7a8b-9e14-41f3-8e67-5119489daa9a","Joachim MARTENS [COE] // Joachim Martens [CWE] // Martinius, Joachim [ALLEN]","1528-09-16","1528-09-16"
"2ac81d7c-f2c7-4e85-b4bd-6418b15790d6","Alberto PIO [COE] // Alberto Pio [CWE] // Pio, Alberto [ALLEN]","1525-10-10","1528-12-23"
"2db66e64-ac53-4da2-9add-821e656a062d","Hieronymus VIROMANDUS [COE] // Hieronymus Viromandus [CWE] // Viromandus, Hieronymus [ALLEN]","1528-02-03","1528-02-03"
"2e687e14-90be-4c2b-9cf6-4e84ab0798ba","Richard FOXE [COE] // Richard Foxe [CWE] // Foxe, Richard [ALLEN]","1506-01-01","1520-05-05"
"2e856525-8d2f-4eb4-9499-dd376d750e61","Lambertus GRUNNIUS [COE] // Lambertus Grunnius [CWE] // Grunnius, Lambertus [ALLEN]","1516-08-01","1516-08-01"
"2f57447e-acae-4168-b374-1a86f32e1dd5","John FRANCIS [COE] // John Francis [CWE] // Francis, John [ALLEN]","1524-12-27","1526-10-01"
"2f5c27ee-90c9-4d81-87a9-7a9577d9d4a7","William GONNELL [COE] // William Gonnell [CWE] // Gonell, William [ALLEN]","1513-09-26","1518-04-22"
"30af5ee5-bdb6-4709-8e93-7c7d17a3c10b","GEORGE of Austria [COE] // George of Austria [CWE] // George of Austria [ALLEN]","1528-02-03","1528-02-03"
"31dd1491-10a5-45f2-843f-9ef8d78f80f5","SASBOUDUS [COE] // Sasbout [CWE] // Sasboud [ALLEN]","1488-01-01","1488-01-01"
"323b3987-6b7c-4bbd-853b-abe1dd1f85dd","Thomas LINACRE [COE] // Thomas Linacre [CWE] // Linacre, Thomas [ALLEN]","1506-06-12","1521-08-24"
"3334f0bd-1c44-4aab-b66d-0be4ff4e91ab","Osvaldus MYCONIUS [COE] // Osvaldus Myconius [CWE] // Myconius, Osualdus [ALLEN]","1518-08-26","1518-08-26"
"3563b4d9-a676-4bbd-af20-85f4392dae46","Charles III, duke of SAVOY [COE] // Charles III, duke of Savoy [CWE] // Savoy, Charles III, duke of [ALLEN]","1527-10-14","1527-10-14"
"359b05ed-38ef-447f-86bd-44b663f42332","Luca BONFIGLIO [COE] // Luca Bonfiglio [CWE] // Bonfius, Lucas [ALLEN]","1530-07-09","1530-07-09"
