"sender_id","name_in_edition","Beginning of the correspondence","End of the correspondence"
"c31360e3-49fb-4617-b3a4-11f9b8b1703b","GERARD of Friesland [COE] // Gerard of Friesland [CWE] // Gerardus Phrysius (unidentified) [ALLEN]","1529-11-04","1533-06-08"
"6c7338b2-0ab5-4405-b755-85a00096bbce","Adriaan van der KAMMEN [COE] // Adriaan van der Kammen [CWE] // Vanderkammen, Hadrian [ALLEN]","1529-12-26","1529-12-26"
"a7562f37-2433-4f26-9e2b-dd229677b6ac","Simon RIQUINUS [COE] // Simon Riquinus [CWE] // Riquinus, Simon (Rychuinus, Rychwyn) [ALLEN]","1530-01-01","1530-03-29"
"f919786c-43f8-4117-bc90-2544b1846fe8","Jan HORÁK [COE] // Jan Horák [CWE] // Hasenberg, John [ALLEN]","1530-01-06","1530-01-06"
"912d47bb-0250-419c-b280-1a3515e6908d","Theodericus CORTEHOEVIUS [COE] // Theodericus Cortehoevius [CWE] // Cortehoevius, Theodericus [ALLEN]","1530-02-01","1530-02-01"
"7bb73c9c-b671-4eb3-8bc5-9ba83d165e40","Peter MEDMANN [COE] // Peter Medmann [CWE] // Medmann, Peter [ALLEN]","1530-04-02","1530-04-02"
"2e6ad877-4da0-4395-b670-551cc5a2651d","Gerard MORRHY [COE] // Gerard Morrhy [CWE] // Morrhius, Gerard [ALLEN]","1530-04-16","1532-03-30"
"72623b49-9054-4f2b-98d5-755abdc947aa","Marcin SŁAP Dąbrówski [COE] // Marcin Słap Dąbrówski [CWE] // Slap a Dambrowka, Martin [ALLEN]","1530-07-12","1536-05-13"
"7ec51d9f-22b0-440c-bc2b-aaf7b0bbc265","Pieter van MONTFOORT [COE] // Pieter van Montfoort [CWE] // Montfoert, Peter [ALLEN]","1530-09-20","1530-09-20"
"ed15458a-17a9-49ea-a288-bcfe8179073a","Andreas von TRAUTMANNSDORF [COE] // Andreas von Trautmannsdorf [CWE] // Trautmansdorff, Andreas [ALLEN]","1530-10-19","1530-10-19"
"fcb012be-fdd7-4351-9ae5-cb45c0067468","Adriaan WIELE [COE] // Adriaan Wiele [CWE] // Wiele, Adrian [ALLEN]","1530-11-16","1530-11-16"
"01d02986-fe99-494a-ac18-0e5f49c3d232","Christoph FREISLEBEN [COE] // Christoph Freisleben [CWE] // Freisleben, Christopher [ALLEN]","1531-04-03","1531-04-03"
"cc9ebbd4-646f-4a0d-a01d-24c334aadcc5","Ottmar NACHTGALL [COE] // Ottmar Nachtgall [CWE] // Luscinius, Othmarus (Nachtgall) [ALLEN]","1531-04-04","1531-04-04"
"c9e1dd52-d93e-4daa-ad7a-cec9cc31ab6a","Johann LÖBLE [COE] // Johann Löble [CWE] // Loeble, John [ALLEN]","1531-06-06","1533-05-11"
"37e35f66-3d20-452a-8416-8839a58ca7ed","Adrianus CHILIUS [COE] // Adrianus Chilius [CWE] // Chilius, Adrian [ALLEN]","1531-06-08","1531-06-08"
"249047a8-a9e4-46ca-aff7-410a4999b64b","Thomas VENATORIUS [COE] // Thomas Venatorius [CWE] // Venatorius, Thomas [ALLEN]","1531-09-06","1531-09-06"
"78165a1e-ffd6-471c-a975-8ddadc18b1a2","Anselmus EPHORINUS [COE] // Anselmus Ephorinus [CWE] // Ephorinus, Anselmus [ALLEN]","1531-09-15","1535-08-16"
"c656e5bf-70f5-45c4-b582-a2c4247c71dd","Stanislaw AICHLER [COE] // Stanislaw Aichler [CWE] // Aychler, Stanislas [ALLEN]","1531-09-19","1532-09-09"
"91631a7b-f28f-496e-a098-ffdc88b98445","Jakob JESPERSEN [COE] // Jacob Jespersen [CWE] // Jaspar, Jacobus (Joannes or Jacobus Danus) [ALLEN]","1531-11-19","1533-07-25"
"48011e35-9bac-4ce7-b181-62c64c2e22bc","Jakob SPIEGEL [COE] // Jakob Spiegel [CWE] // Spiegel, James [ALLEN]","1518-08-31","1531-12-27"
"0cc04891-a71c-49f5-84f1-e322c37652a3","John BABHAM [COE] // John Babham [CWE] // Babham, John [ALLEN]","1512-04-12","1512-04-12"
"fc54dd67-8edd-44b9-a1ed-8bd077f2eb96","Jan Benedykt SOLFA [COE] // Jan Benedykt Solfa [CWE] // Bendicti, John [ALLEN]","1532-02-04","1532-02-04"
"14f5fe88-7208-435f-8729-cd054be7ae20","Christian BEYER [COE] // Christian Beyer // Bayer, Christian (Bowarius) [ALLEN]","1532-02-18","1532-02-18"
