"Correspondent","name_in_edition","Beginning of the correspondence","End of the correspondence"
"9640bee6-aa32-420a-8961-fbc863b1d46b","Nikolaus WINMANN [COE] // Nikolaus Winmann [CWE] // Winman, Nicolas [ALLEN]","1531-03-03","1531-04-16"
"968b6cc9-aee2-446a-a3e1-665fb91f4aab","Claudius CANTIUNCULA [COE] // Claudius Cantiuncula [CWE] // Cantiuncula, Claudius [ALLEN]","1525-09-01","1529-12-07"
"96a63010-6201-4f01-a82f-e6108cb30f08","Jacopo SADOLETO [COE] // Jacopo Sadoleto [CWE] // Sadoleto, Jacopo [ALLEN]","1524-11-06","1534-12-09"
"96b34928-b9ad-4622-a9e5-2bc06a5895ef","Guillaume COP [COE] // Guillaume Cop [CWE] // Cop, William [ALLEN]","1517-02-06","1526-08-27"
"970aec7e-c773-4c16-8ac1-fb12315b9d1c","John COLET [COE] // John Colet [CWE] // Colet, John [ALLEN]","1499-10-01","1518-10-23"
"975ea929-487d-4826-82b8-667658f2db02","Juan MALDONADO [COE] // Juan Maldonado [CWE] // Maldonatus, Joannes [ALLEN]","1526-09-01","1530-01-13"
"976952f5-26a4-46a4-a0a6-a88f6f1f3a0f","Alonso de FONSECA [COE] // Alonso de Fonseca [CWE] // Fonseca, Alfonso de [ALLEN]","1526-09-03","1531-10-31"
"978132e8-a6ac-42e4-919a-be37e2bf980a","Alonso Ruiz de VIRUÉS [COE] // Alonso Ruiz de Virués [CWE] // Virves, Alonso Ruiz de (Ulmetanus) [ALLEN]","1527-02-23","1532-04-15"
"9959ff1b-6091-45ec-bbcc-9532d1d07472","William V, duke of CLEVES-Mark-Jülich-Berg [COE] // William, duke of Cleves [CWE] // Cleves, William, Duke of [ALLEN]","1529-07-01","1532-01-01"
"9a596260-d0b8-4798-80d7-46c88edfe20c","Robert GAGUIN [COE] // Robert Gaguin [CWE] // Gaguin, Robert [ALLEN]","1495-09-01","1500-03-01"
"9bdb8789-9419-468d-b72b-371d8ee12ec9","Herman LETHMAET [COE] // Herman Lethmaet [CWE] // Lethmatius, Herman (Goudanus, Harmannus, Lethmannus) [ALLEN]","1522-02-21","1523-04-17"
"9ccbaccb-275c-4881-a6d3-dbcf974d705a","Jan van FEVIJN [COE] // Jan van Fevijn [CWE] // Fevinus, Joannes [ALLEN]","1519-09-09","1530-03-06"
"9e8d2751-22c3-4ab9-a621-38d897993416","Riccardo BARTOLINI [COE] // Riccardo Bartolini [CWE] // Bartholinus, Richardus [ALLEN]","1517-03-01","1517-03-10"
"9ec0993f-cd01-4455-88d1-f15d6d7c736d","Bernhard von CLES [COE] // Bernhard von Cles [CWE] // Cles, Bernard of [ALLEN]","1523-04-05","1536-03-16"
"a0d1b537-ab20-4fb6-8c3c-c146037f2417","Etienne DESPREZ [COE] // Étienne Desprez [CWE] // Stephen Pratensis [ALLEN]","1529-04-01","1536-04-12"
"a1ee55e4-208d-4150-8b1e-8848f8dba7c8","Robert ALDRIDGE [COE] // Robert Aldridge [CWE] // Aldridge, Robert [ALLEN]","1525-12-25","1527-08-23"
"a20b6be9-28f9-46c7-b8cd-b6a0014d7d15","Giambattista EGNAZIO [COE] // Giambattista Egnazio [CWE] // Egnatius, Johannes Baptista [ALLEN]","1517-06-21","1534-08-30"
"a2502d86-a7d5-4c42-b196-e0bf75f0b729","Arkleb of BOSKOVICE [COE] // Arkleb of Boskovice [CWE] // Boskowitz, Artlebus of [ALLEN]","1520-10-01","1521-01-28"
"a3b98d8d-0c8b-4f12-8f74-0286302d547d","Piotr TOMICKI [COE] // Piotr Tomicki [CWE] // Tomiczki, Peter [ALLEN]","1527-12-12","1535-10-25"
"a3ddf50a-0a7d-4d63-b07e-4ce0b4dca33b","Richard SAMPSON [COE] // Richard Sampson [CWE] // Sampson, Richard [ALLEN]","1518-03-02","1518-03-02"
"a402f204-dc31-4ccd-8b92-57986fc96d78","Johann von VLATTEN [COE] // Johann von Vlatten [CWE] // Vlatten, John [ALLEN]","1523-10-01","1533-07-25"
"a5c59bc1-e9e9-4c0f-ab8f-35ffaae11af1","Jacobus PISO [COE] // Jacob Piso / Jacobus Piso [CWE] // Piso, Jacobus [ALLEN]","1509-06-30","1526-09-09"
"a5f0ec00-9ab8-4195-99fa-3bdeb77e082c","Louis RUZÉ [COE] // Louis Ruzé [CWE] // Ruzé, Louis [ALLEN]","1519-03-16","1519-03-19"
"a75baa72-e468-4efb-977e-c0e9a218cf30","HENRY VIII [COE] // Henry VIII / Prince Henry [CWE] // Henry VIII, King of England [ALLEN]","1499-09-01","1528-06-01"
"a7b2d609-5845-4ac3-9cce-fe11c06302ee","Cornelis BATT [COE] // Cornelis Batt [CWE] // Batt, Cornelius [ALLEN]","1517-04-22","1518-04-29"
"a84717aa-9279-4108-a834-751a1ea36309","Ennio FILONARDI [COE] // Ennio Filonardi [CWE] // Filonardi, Ennio [ALLEN]","1522-05-21","1532-11-13"
"a89f8328-a75d-4bae-98c9-6ff8ad7c5a95","Fausto ANDRELINI [COE] // Fausto Andrelini [CWE] // Andrelini, Fausto [ALLEN]","1499-05-01","1500-11-20"
"a947e7e4-41f3-4f30-acd3-3cb79fbf5e18","Juan Luis VIVES [COE] // Juan Luis Vives [CWE] // Vives, John Louis [ALLEN]","1519-03-17","1534-05-10"
"a9779b0b-cb2b-4a48-84c4-940449ef5c3c","Udalricus ZASIUS [COE] // Udalricus Zasius [CWE] // Zasius, Ulrich [ALLEN]","1514-09-07","1534-07-27"
"aaaab0fb-e7dc-4bc1-ab67-2524e83f1deb","Alfonso de VALDÉS [COE] // Alfonso de Valdés [CWE] // Valdes, Alonso [ALLEN]","1527-03-31","1531-08-29"
"aab2730c-2048-40ac-9063-f2e176ac1ce8","François BONVALOT [COE] // François Bonvalot [CWE] // Bonvalot, François [ALLEN]","1529-04-01","1536-05-17"
"aae78701-5318-483d-b1c7-35c7a0f6a06d","Johannes FABRI [COE] // Johannes Fabri [CWE] // Faber, John [ALLEN]","1519-04-26","1535-05-15"
"abe3a7de-94f2-4ff0-9a0a-54cf05c651db","Adolf EICHHOLZ [COE] // Adolf Eichholz [CWE] // Eichholz, Adolphus (Roboreus Dryoxylus) [ALLEN]","1518-10-06","1532-07-24"
"ad9bfbd7-a843-4a53-b840-4e0becb6f15c","Christoph TRUCHSESS von Waldburg [COE] // Christoph Truchsess [CWE] // Truchses, Christoph [ALLEN]","1525-10-04","1530-07-09"
"ae299c0d-a569-4eb0-894a-0c99bfb0575e","Konrad PEUTINGER [COE] // Konrad Peutinger [CWE] // Peutinger, Conrad [ALLEN]","1520-11-09","1521-12-09"
"aeb5e360-2c84-4875-9335-b29507f73248","Ambrosius von GUMPPENBERG [COE] // Ambrosius von Gumppenberg [CWE] // Gumppenberg, Ambrosius [ALLEN]","1532-03-05","1535-08-21"
"afaa3b9b-f67d-466c-967f-f45873e354b3","Caspar HEDIO [COE] // Caspar Hedio [CWE] // Hedio, Caspar [ALLEN]","1524-03-01","1535-05-24"
"b1631a2a-8cda-4bf7-86df-458c719399c0","Jan ROBBYNS [COE] // Jan Robijns [CWE] // Robyns, John [Robbyns] [ALLEN]","1518-03-26","1524-06-28"
"b24afc97-cd6f-4333-81e8-0a0b8544a882","Johannes SINAPIUS [COE] // Johannes Sinapius [CWE] // Sinapius, John [ALLEN]","1531-03-21","1536-04-03"
"b24c1e97-72ce-48ab-b860-7eb866dbe631","Jérôme de BUSLEYDEN [COE] // Jérôme de Busleyden [CWE] // Busleiden, Jerome de [ALLEN]","1506-11-17","1516-11-09"
"b38af319-02eb-4159-8579-4e864c755667","Guy MORILLON [COE] // Guy Morillon [CWE] // Morillon, Guy [ALLEN]","1517-02-18","1534-08-30"
"b4b237d3-cf31-49f0-a512-cc436f24b896","Justus Ludovicus DECIUS [COE] // Justus Decius [CWE] // Decius, Jostus (Jodocus) Ludovicus [ALLEN]","1523-10-24","1534-08-22"
"b5214f05-0224-4d53-9197-52039465d803","Huldrych ZWINGLI [COE] // Huldrych Zwingli [CWE] // Zwingli, Ulrich [ALLEN]","1516-04-29","1523-08-31"
"b5807aac-ffbf-49f1-8949-3cf282e12ed0","Jean (II) de CARONDELET [COE] // Jean de Carondelet [CWE] // Carandolet, Jean [ALLEN]","1522-04-23","1534-03-08"
"b5ad38ca-f956-4926-a681-94f5beb3eeaa","Nicolaus VESUVIUS [COE] // Nicolaus Vesuvius [CWE] // Vesuvius, Nicholaus (Vidoveus) [ALLEN]","1527-02-08","1528-11-01"
"b5b7640d-6a46-4300-b6d0-8fa785c624b3","Hieronymus RICIUS [COE] // Hieronymus Ricius [CWE] // Ricius, Jerome [ALLEN]","1529-03-23","1529-04-21"
"b680758a-3438-4879-a9ef-2f17ea220357","Johann (I) LOTZER [COE] // Johann Lotzer [CWE] // Lotzer, John [ALLEN]","1529-03-08","1530-04-04"
"b71e8b34-283a-4763-ab0d-919f3b6a6292","Antoine BERCIN [COE] // Antoine Bercin [CWE] // Bercin, Anthony [ALLEN]","1529-04-01","1529-04-12"
"b72af971-f97a-4aae-9ede-336272f57d14","Cornelis CROOCK [COE] // Cornelis Croock [CWE] // Crocus, Cornelius [ALLEN]","1530-01-23","1530-07-01"
"b7ef838b-e5e8-46cb-81da-03d6d2bd632c","Caspar URSINUS Velius [COE] // Caspar Ursinus Velius [CWE] // Ursinus Velius, Caspar (Bernhardi) [ALLEN]","1518-06-20","1532-06-26"
"b801ca16-ed45-4f2d-8673-482671ab1eca","JAMES V [COE] // James V [CWE] // James V of Scotland [ALLEN]","1533-12-08","1534-07-01"
"bc11c2e7-003c-482a-9246-177eb7fb8faa","Gregor REISCH [COE] // Gregor Reisch [CWE] // Reisch, Gregory [ALLEN]","1514-09-01","1514-10-04"
"bc50a443-ba15-40b1-a604-f5d5fbe99467","Balthasar MERKLIN [COE] // Balthasar Merklin [CWE] // Mercklin, Balthasar [ALLEN]","1529-03-15","1530-03-15"
"bcf49a75-fa06-4e73-b0fe-9709496948c4","John LONGLAND [COE] // John Longland [CWE] // Longlond, John [ALLEN]","1525-01-05","1536-03-16"
"bdba997b-1e7c-485c-b8c1-8a9a12fe9986","Girolamo ALEANDRO [COE] // Girolamo Aleandro [CWE] // Aleander, Jerome [ALLEN]","1512-02-20","1532-07-04"
"be273f96-c387-44e8-b3ae-bc9bd615b3a5","Martin LUTHER [COE] // Martin Luther [CWE] // Luther, Martin [ALLEN]","1519-03-28","1526-04-11"
"be4aec25-b9bb-4697-ae9e-ca863c27b257","Maximilianus TRANSSILVANUS [COE] // Maximilianus Transsilvanus [CWE] // Transsylvanus, Maximilianus [ALLEN]","1525-02-24","1527-11-06"
"c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","Guillaume BUDÉ [COE] // Guillaume Budé [CWE] // Budaeus, Guilhelmus (Budé, Guillaume) [ALLEN]","1516-05-01","1528-09-06"
"c33967fc-6e2d-4588-b694-1ff3d20fec8f","Antoine BRUGNARD [COE] // Antoine Brugnard [CWE] // Brugnarius, Antonius [ALLEN]","1522-11-04","1524-10-27"
"c7280d05-7044-4b72-9af8-5dcff8b57743","Hermann von NEUENAHR [COE] // Hermann, Graf von Neu / Hermann von Neuenahr [CWE] // Neuenahr, Hermann Count of (Neaetius, de Nova Aquila, Nuenarius) [ALLEN]","1516-07-14","1529-03-31"
"c795441a-e9c2-454f-9d27-601bfbca13da","Jan OEM van Wijngaarden [COE] // Jan Oem [CWE] // Oem, John [ALLEN]","1526-02-28","1526-04-29"
"c82a6a4f-8f72-4492-abc9-13cb74de7870","Mercurino Arborio di GATTINARA [COE] // Mercurino Gattinara [CWE] // Gattinara, Mercurino [ALLEN]","1520-10-04","1528-07-27"
"c95afd90-f384-496f-ab78-08ec60e4cedd","Simon PISTORIS [COE] // Simon Pistoris [CWE] // Pistorius, Simon [ALLEN]","1524-12-01","1531-03-14"
"c96074c3-ce34-4f95-81af-f88c523a5d95","Agostino STEUCO [COE] // Agostino Steuco [CWE] // Steuchus Eugubinus, Augustinus [ALLEN]","1531-03-27","1531-07-25"
"c9fa263f-4e76-455a-a196-46f28613ded4","Seweryn BONER [COE] // Seweryn Boner [CWE] // Boner, Severinus [ALLEN]","1531-09-01","1535-04-12"
"ca186683-3912-440c-8b1d-27ba8fca67d0","Tiedemann GIESE [COE] // Tiedemann Giese [CWE] // Giese, Tiedemann [ALLEN]","1536-03-28","1536-06-06"
"cac0c676-2dc8-49c8-86f0-719a5195e160","Johann von BOTZHEIM [COE] // Johann von Botzheim [CWE] // Botzheim, Johann [ALLEN]","1520-05-16","1534-11-20"
"cacec994-3346-4081-bd41-7c3dd391e8e3","Josse BADE [COE] // Josse Bade [CWE] // Bade, Josse [ALLEN]","1505-03-07","1518-04-17"
"cb33b48c-d8f2-4ebb-a8ad-30ced6406465","Antonius CLAVA [COE] // Antonius Clava [CWE] // Clava, Antonius [ALLEN]","1517-02-06","1523-07-05"
"cba4206b-4373-45aa-b555-8c303890afe6","Luigi MARLIANO [COE] // Luigi Marliano [CWE] // Marlianus, Aloysius or Lodovicus [ALLEN]","1520-06-21","1521-04-15"
"cbc6d801-b9eb-445b-8223-abaf4216c635","Antoine PAPIN [COE] // Antoine Papin [CWE] // Papinius, Antony [ALLEN]","1519-05-20","1519-05-30"
"cdee131f-e877-4d0c-bf4c-71721653b789","Ambrogio LEONI [COE] // Ambrogio Leoni [CWE] // Leo, Ambrose [ALLEN]","1518-07-19","1518-10-15"
"ce3ad19a-2c85-47fa-a158-4e915d4ea655","Christoph von UTENHEIM [COE] // Christoph von Utenheim [CWE] // Utenheim, Christopher of [ALLEN]","1517-07-13","1524-07-29"
"cf3972c3-9700-467a-be0e-d8b2ed95486c","Jacques LEFÈVRE d'Etaples [COE] // Jacques Lefèvre d'Etaples [CWE] // Faber Stapulensis, Jacobus [ALLEN]","1514-10-23","1527-03-24"
"cf849c25-9c23-4877-810f-8ba13287ca9a","Alonso FERNÁNDEZ de Madrid [COE] // Alonso Fernández de Madrid [CWE] // Fernandez, Alfonso [ALLEN]","1527-11-13","1528-03-15"
"d17481b2-e3fc-4882-8c20-4bf2ed881bfa","Jan ANTONIN [COE] // Jan Antonin [CWE] // John Antoninus [ALLEN]","1525-08-28","1536-08-09"
"d20bdfea-c337-4919-81fa-31c6fbc622c1","Johannes de MOLENDINO [COE] // Jean Moliner / Johannes de Molendino [CWE] // Molendino, John de (Molendinus, Molinaris, Molanus) [ALLEN]","1515-11-23","1533-07-07"
"d288d00c-adf4-4b20-ad12-e9a4919d5150","Thiébaut BIÉTRY [COE] // Thiébaut Biétry [CWE] // Bietricius, Theobaldus [ALLEN]","1523-10-01","1526-10-11"
"d2f71edb-a414-45ae-9284-a871a4481e1a","Bruno AMERBACH [COE] // Bruno Amerbach [CWE] // Amberbach, Bruno [ALLEN]","1515-05-01","1518-11-04"
"d2fe0216-e9b0-4077-ba21-251d1ff16084","Pope LEO X [COE] // Leo X / Giovanni de' Medici [CWE] // Leo X, Pope [ALLEN]","1515-05-21","1521-01-15"
"d3228790-78ec-4421-a121-ea590f2d3239","Joost SASBOUT [COE] // Joost Sasbout [CWE] // Sasbout, Jodocus [ALLEN]","1532-05-03","1533-07-14"
"d52c9238-8f0c-444b-97a5-78b416165d16","Cornelis de SCHEPPER [COE] // Cornelis de Schepper [CWE] // Scepperus, Cornelius [ALLEN]","1530-06-06","1531-11-17"
"d86e9fb0-c6d2-406a-a352-63a6fa4237dc","Bonifacius AMERBACH [COE] // Bonifacius Amerbach [CWE] // Amerbach, Boniface [ALLEN]","1516-05-12","1536-02-14"
"d9233b24-a98c-4279-8065-e2ab70c0d080","Willibald PIRCKHEIMER [COE] // Willibald Pirckheimer [CWE] // Pirckheimer, Willibald [ALLEN]","1515-01-24","1530-08-29"
"d930e446-fbaa-4d3c-b1ec-707930f35a5b","Viglius ZUICHEMUS [COE] // Viglius Zuichemus [CWE] // Zuichemus, Viglius [ALLEN]","1529-02-15","1536-04-15"
"da6efd96-37e3-4ae5-84f6-4d70306f85a1","Anton FUGGER [COE] // Anton Fugger [CWE] // Fugger, Anton [ALLEN]","1529-04-05","1531-08-22"
"daa18870-1c1f-4d5a-9cef-f9f93fcece52","Jakob ZIEGLER [COE] // Jakob Ziegler [CWE] // Ziegler, Jakob (Landavus Bavarus) [ALLEN]","1522-02-16","1522-12-22"
"dabeac1b-7e7b-4670-a2b2-479f6a330876","George, duke of SAXONY [COE] // Duke George of Saxony [CWE] // George of Saxony, Duke [ALLEN]","1517-01-01","1531-05-15"
"db16e68d-03cc-4e0c-a838-907e608258b6","Jan of HEEMSTEDE [COE] // Jan of Heemstede [CWE] // Heemstede, John of [ALLEN]","1525-11-08","1533-02-28"
"dba1603f-8714-4349-a9d4-06f69cb86e50","Urbanus RHEGIUS [COE] // Urbanus Regius [CWE] // Regius, Urbanus (Rieger) [ALLEN]","1516-02-24","1522-01-04"
"dbc85dea-c73e-47da-b7d0-da1642c62576","Noël BÉDA [COE] // Noël Béda [CWE] // Beda, Natalis (Bédier) [ALLEN]","1525-04-28","1527-11-16"
"dd1aa4ab-7a1c-4362-9abc-0d58fbf3b7bb","Johannes DANTISCUS [COE] // Johannes Dantiscus [CWE] // Dantiscus, Joannes [ALLEN]","1531-10-20","1532-04-30"
"de65add7-9fe8-4882-8f45-393f3e7a6c45","Thomas GREY [COE] // Thomas Grey [CWE] // Grey, Thomas [ALLEN]","1497-01-01","1517-02-13"
"de6cab98-d47d-499f-872d-05d3535f3b98","Gian Matteo GIBERTI [COE] // Gian Matteo Giberti [CWE] // Giberti, Gian Matteo (Datarius) [ALLEN]","1524-04-20","1526-05-21"
"e01b666a-d317-44a1-80d5-2110153a83ca","Thomas BEDYLL [COE] // Thomas Bedyll [CWE] // Bedill, Thomas [ALLEN]","1516-02-10","1535-09-14"
"e023ac42-74bd-4e3c-b2af-80aebebcf03f","Frans van CRANEVELT [COE] // Frans van Cranevelt [CWE] // Cranevelt, Francis [ALLEN]","1520-09-19","1527-07-26"
"e08337b5-2743-4926-99cf-1f9ccd84b7b5","Theophrastus PARACELSUS [COE] // Theophrastus Paracelsus [CWE] // Paracelsus, Theophrastus [ALLEN]","1527-03-01","1527-03-01"
"e1933e3d-d45a-473a-9319-8f0e3b34c199","MARY of Austria [COE] // Mary of Hungary [CWE] // Mary of Hungary [ALLEN]","1529-02-01","1533-06-13"
"e24a53fb-9b07-417b-8821-c8f7b136db74","Joost VROYE [COE] // Joost Vroye [CWE] // Gaverius, Jodocus [ALLEN]","1523-03-01","1523-03-27"
"e29e3092-5f6a-4995-b866-8df1aac8503d","Petrus MOSELLANUS [COE] // Petrus Mosellanus [CWE] // Mosellanus, Petrus (Schade) [ALLEN]","1517-03-24","1522-08-08"
"e2e52f17-4ec3-4693-9a63-c6f8e5b1cd33","Andrea AMMONIO [COE] // Andrea Ammonio [CWE] // Ammonius, Andrea [ALLEN]","1511-04-10","1517-03-15"
"e373045c-e217-4d90-821f-dfbf4d1df4b5","Jean (I) LE SAUVAGE [COE] // Jean le Sauvage [CWE] // Sauvage, John le [ALLEN]","1516-06-01","1518-07-15"
"e432ae20-3d84-4193-8861-9bd198df436b","Guillaume (II) de CROY [COE] // Guillaume de Croy [CWE] // Croy, William of [ALLEN]","1519-04-20","1519-05-01"
"e4509ad7-6c1c-4c4c-9087-377d25412c82","Marcus LAURINUS [COE] // Marcus Laurinus [CWE] // Laurinus, Marcus [ALLEN]","1517-09-07","1527-09-01"
"e500e858-1fc2-4c16-9d77-40f6d966b1b4","Theodoricus HEZIUS [COE] // Theodoricus Hezius [CWE] // Hezius, Theoderic [ALLEN]","1522-01-25","1524-09-02"
"e58a7676-f55b-4640-86d4-7203012b120e","Kaspar SCHALBE [COE] // Kaspar Schalbe [CWE] // Schalbe, Gaspard [ALLEN]","1519-05-28","1519-05-30"
"e6beac9e-145b-4d5c-8f92-f65dbce34d7d","Conradus MUTIANUS Rufus [COE] // Conradus Mutianus Rufus [CWE] // Mutianus Rufus, Conradus (Muth) [ALLEN]","1518-10-17","1524-03-28"
"e850d7d0-bdf6-4e16-ad71-97cb1b1e4ef7","Hector van HOXWIER [COE] // Hector van Hoxwier [CWE] // Hoxvirius, Hector [ALLEN]","1531-12-13","1535-06-01"
"e921d3e6-9dc2-40e7-9fe6-902dcd5cfe9b","Georgius SPALATINUS [COE] // Georgius Spalatinus [CWE] // Spalatinus, George [ALLEN]","1516-12-11","1532-02-18"
"eac3846b-52da-46f0-9123-62f0cdc3e4ab","Bartholomaeus LATOMUS [COE] // Bartholomaeus Latomus [CWE] // Latomus, Bartholomew [ALLEN]","1535-06-29","1535-08-24"
"ee272595-c784-447c-a46c-0bf458438fef","William BLOUNT [COE] // William Blount, Lord Mountjoy [CWE] // Mountjoy, Baron (William Blount) [ALLEN]","1498-11-01","1531-03-18"
"eea0c13d-d6d4-4152-a5bb-e504157bde14","Ambrosius PELARGUS [COE] // Ambrosius Pelargus [CWE] // Pelargus, Ambrosius [ALLEN]","1529-06-01","1534-09-01"
"eeb88e60-ea26-4029-9e0c-77a8f3f58e5c","Richard PACE [COE] // Richard Pace [CWE] // Pace, Richard [ALLEN]","1515-09-04","1530-03-22"
"efb7f1dd-c912-4e53-840d-7f40a909d0ac","Heinrich EPPENDORF [COE] // Heinrich Eppendorf [CWE] // Eppendorf, Heinrich von [ALLEN]","1523-06-01","1529-02-01"
"f02b5ab0-b398-47e6-b3fb-a8b24f7e1119","Frans van der DILFT [COE] // Frans van der Dilft [CWE] // Dilft, Francis (Delfus, Delphus) [ALLEN]","1526-02-03","1534-02-11"
"f1bae2b1-041e-40e7-8632-39bb4d2fe759","Robert de KEYSERE [COE] // Robert de Keyzere [CWE] // Keysere, Robert de (Caesar) [ALLEN]","1503-09-01","1517-02-06"
"f23d4906-b75d-4e3a-8835-02ef28238cd3","Henricus Cornelius AGRIPPA [COE] // Henricus Cornelius Agrippa [CWE] // Agrippa, Cornelius (von Nettesheim) [ALLEN]","1531-09-19","1533-04-21"
"f2d29e72-61ce-4a3c-8860-d15788e4edfc","Pope PAUL III [COE] // Paul III [CWE] // Paul III, Pope [ALLEN]","1535-01-23","1535-08-01"
"f32763c5-adc9-44fd-a54d-152285ef0350","Michel BOUDET [COE] // Michel Boudet [CWE] // Boudet, Michel [ALLEN]","1525-09-20","1526-03-13"
"f40a5f63-2f0b-424e-982a-f821b90f75fc","Celio CALCAGNINI [COE] // Celio Calcagnini [CWE] // Calcagnini, Celio [ALLEN]","1525-05-13","1533-09-17"
"f53440af-9f18-46b2-9ad9-826e57783b19","Paschasius BERSELIUS [COE] // Paschasius Berselius [CWE] // Berselius, Paschasius [ALLEN]","1517-09-17","1520-03-08"
"f7c26218-4d61-41d3-9af5-13b48eb00983","Johann HENCKEL [COE] // Johann Henckel [CWE] // Henckel, Johann [ALLEN]","1526-03-07","1533-03-24"
"fca3ef2d-681d-49ff-b700-1929e91f81a1","Thomas LUPSET [COE] // Thomas Lupset [CWE] // Lupset, Thomas [ALLEN]","1516-06-28","1525-10-04"
"fcca6d0b-fec9-4daf-9ebb-a84e579c25f4","Leonard CASEMBROOT [COE] // Leonard Casembroot [CWE] // Casembroot, Leonard [ALLEN]","1525-08-23","1526-06-06"
"fd2d4bd0-ccb8-44b4-906c-cdfa1e4d5735","Jan BONER [COE] // Jan Boner [CWE] // Boner, Jan [ALLEN]","1531-09-20","1532-09-09"
