"Correspondent","name_in_edition","Beginning of the correspondence","End of the correspondence"
"10f58e5e-e43a-405e-901a-3633cbf82bc9","François DELOYNES [COE] // François Deloynes [CWE] // Deloynes, François [ALLEN]","1516-11-25","1517-02-21"
"114e993b-10b8-40d1-b547-f6157671e1ec","Girolamo AIAZZA [COE] // Girolamo Aiazza [CWE] // Agathius, Jerome [ALLEN]","1528-08-05","1528-09-03"
"117bf878-67de-4646-b967-b6022532ad85","Johann Maier of ECK [COE] // Johann Maier von Eck [CWE] // Eck, Johann [ALLEN]","1518-02-02","1530-09-18"
"121128f7-b025-4d17-9da7-90c817321cc5","Jan ŠLECHTA [COE] // Jan Šlechta [CWE] // Slechta, John [ALLEN]","1519-04-23","1519-11-01"
"13700f28-24e5-4395-abed-d94f284c5d84","Richard SPARCHEFORD [COE] // Richard Sparcheford [CWE] // Sparcheford, Richard [ALLEN]","1517-08-31","1527-11-03"
"14a0e3ed-8ffb-45b4-aac2-51d59ea8aff2","Hector BOECE [COE] // Hector Boece [CWE] // Boece, Hector [ALLEN]","1495-11-08","1530-03-15"
"14f05533-45b4-4b87-a313-d16b5c8506ae","Paul VOLZ [COE] // Paul Volz [CWE] // Volz, Paul [ALLEN]","1515-10-30","1536-04-12"
"16be5cc6-b281-44ed-98e9-f3b9273a1609","Jakob STURM [COE] // Jakob Sturm [CWE] // Sturm, Jakob [ALLEN]","1531-07-06","1535-10-23"
"17507c61-9de0-4efb-848d-63526eea691e","Andreas of HOOGSTRATEN [COE] // Andreas of Hoogstraten [CWE] // Hoogstraeten, Andrew of [ALLEN]","1514-08-02","1516-01-10"
"185d8355-de68-4303-90f5-cbdbf37a9778","Maarten DAVIDTS [COE] // Maarten Davidts [CWE] // Davidts, Martin [ALLEN]","1522-01-10","1531-11-19"
"1aa772fd-4d76-4e68-a5de-f62e827a8ecd","Stephen GARDINER [COE] // Stephen Gardiner [CWE] // Gardiner, Stephen [ALLEN]","1526-02-28","1526-09-03"
"1c3a17c7-58bb-4d54-a0cb-fe6518aa480a","Nicolas MAILLARD [COE] // Nicolas Maillard [CWE] // Mallarius, Nicolaus [ALLEN]","1531-02-01","1531-03-28"
"1d206913-3666-4b58-9ec3-ff95863e8f94","Johannes OECOLAMPADIUS [COE] // Johannes Oecolampadius [CWE] // Oecolampadius, Joannes (John Hussgen) [ALLEN]","1517-03-27","1529-04-10"
"1faa67ba-9b05-46e9-9690-8b6b3bc29829","Pierre BARBIER [COE] // Pierre Barbier [CWE] // Barbirius, Petrus (Barbier) [ALLEN]","1516-07-18","1533-07-09"
"209003e9-81b5-4414-afd7-03e8c2f44b53","Levinus AMMONIUS [COE] // Levinus Ammonius [CWE] // Ammonius, Levinus (Livinus) [ALLEN]","1524-07-04","1533-06-09"
"20d5dcfe-959c-482b-a8ed-255fdc56890c","Johannes CAESARIUS [COE] // Johannes Caesarius [CWE] // Caesarius, Joannes [ALLEN]","1515-12-03","1535-03-29"
"26f04a8c-dc6b-48b6-8554-24ff65c9f05f","Johann RINCK [COE] // Johann Rinck [CWE] // Rinck, Johann [ALLEN]","1530-03-17","1535-03-16"
"284ed6d5-a734-471e-8134-0a2baafabf9a","Simon GRYNAEUS [COE] // Simon Grynaeus [CWE] // Grynaeus, Simon [ALLEN]","1525-12-26","1531-11-29"
"285e3bbd-d087-46d6-ad31-2e07a29fa69e","Maarten LIPS [COE] // Maarten Lips [CWE] // Lypsius, Martin [ALLEN]","1518-01-01","1531-11-01"
"2b33f692-a515-4aeb-8397-04c88fd45b36","Tielmannus GRAVIUS [COE] // Tielmannus Gravius [CWE] // Gravius, Tielmann (a Fossa) [ALLEN]","1527-05-29","1536-06-22"
