"recipient_id","First Letter From Erasmus","Last Letter From Erasmus"
"effinger_lorenz_viaf_unknown","1520-10-01","1520-10-01"
"egli_fridolin_viaf_unknown","1516-01-01","1516-01-01"
"egmont_floris_von_viaf_23295441","1519-10-02","1519-10-02"
"egnazio_giovanni_battista_viaf_100187526","1525-10-03","1531-03-13"
"egranus_johannes_sylvius_viaf_25396571","1523-07-01","1523-07-01"
"eichholz_adolf_viaf_unknown","1532-07-24","1532-07-24"
"elisabeth_[corpus_era]_viaf_unknown","1487-01-01","1487-01-01"
"ellenbog_nikolaus_viaf_71750518","1516-04-01","1516-04-01"
"emili_emilio_viaf_90357556","1529-05-17","1529-05-17"
"emser_hieronymus_viaf_19702295","1525-04-09","1527-12-29"
"episcopius_nicolaus_viaf_100388966","1526-05-16","1530-01-17"
"eppendorf_heinrich_viaf_59837595","1523-06-01","1529-01-01"
"ernst_duke_of_bavaria_viaf_57415353","1517-11-04","1517-11-04"
"eschenfelder_christoph_viaf_15584505","1518-10-19","1536-01-27"
"eustachius_andreas_viaf_unknown","1524-12-27","1524-12-27"
"evangelista_[corpus_era]_viaf_unknown","1497-01-01","1497-01-01"
"everardi_nicolaus_viaf_113330335","1520-04-17","1525-12-24"
"fabri_johann_viaf_73844870","1519-05-20","1532-11-01"
"falco_johannes_viaf_unknown","1499-02-03","1499-02-03"
"ferdinand_i_holy_roman_emperor_viaf_51698517","1522-11-29","1536-01-27"
"fernández_de_madrid_alonso_viaf_88700304","1528-03-15","1528-03-15"
"fettich_theobald_viaf_39718269","1526-12-05","1533-02-01"
"fevynus_johannes_viaf_305828704","1519-09-09","1519-09-09"
"filonardi_ennio_viaf_88875469","1522-05-21","1524-02-21"
"fisher_christopher_viaf_unknown","1505-03-01","1505-03-01"
"fisher_john_saint_viaf_266081375","1511-09-01","1524-09-04"
"fisher_robert_viaf_unknown","1497-08-01","1499-12-05"
"flandern_louis_de_viaf_57769275","1521-01-01","1521-01-01"
"florenas_remaclus_viaf_18036550","1516-06-01","1516-06-01"
"fonseca_alonso_de_viaf_3902488","1526-09-03","1530-01-13"
"foxe_richard_viaf_34703866","1506-01-01","1520-05-05"
"francesco_ii_sforza_duke_of_milan_viaf_32110035","1535-10-16","1535-10-16"
"franciscans_viaf_not_applicable","1530-02-20","1530-02-20"
"francis_i_king_of_france_viaf_21677","1517-02-21","1526-06-16"
"francis_john_viaf_unknown","1524-12-27","1526-10-01"
"franck_sebastian_viaf_46842654","1531-03-06","1531-03-06"
"frederick_iii_elector_of_saxony_viaf_316392243","1517-06-04","1519-05-30"
"frederiks_willem_viaf_unknown","1521-04-30","1521-04-30"
"frick_konrad_viaf_unknown","1520-10-01","1520-10-01"
"froben_hieronymus_viaf_32319505","1521-08-14","1530-12-15"
"froben_johannes_erasmus_viaf_80419193","1522-02-28","1529-11-02"
"froben_johann_viaf_7440203","1517-07-10","1518-10-22"
"fugger_anton_viaf_806644","1529-04-05","1531-08-22"
"furster_valentin_viaf_unknown","1527-03-24","1527-03-24"
"gachi_jean_viaf_unknown","1527-10-17","1527-10-17"
"gaguin_robert_viaf_14908169","1495-10-01","1500-03-01"
"gaigny_jean_de_viaf_85041114","1533-05-11","1533-05-11"
"gardiner_stephen_viaf_54292111","1526-09-03","1526-09-03"
"gattinara_mercurino_marchese_di_viaf_9855777","1520-10-04","1528-07-27"
"geldenhauer_gerard_viaf_12331377","1517-08-31","1529-12-03"
"georg_duke_of_saxony_viaf_52484350","1517-06-04","1531-05-15"
"georg_von_österreich_viaf_74667947","1528-02-03","1528-02-03"
"gerard_cornelis_viaf_56666862","1489-01-01","1498-10-01"
"gerard_of_kloster_viaf_unknown","1520-06-21","1520-06-21"
"gerard_pieter_viaf_unknown","1487-01-01","1487-01-01"
"gerbel_nicolaus_viaf_60906847","1518-10-20","1518-10-20"
"giberti_giovanni_matteo_viaf_74583902","1524-09-02","1526-05-21"
"giese_tiedemann_viaf_32819965","1536-06-06","1536-06-06"
"gigli_silvestro_viaf_unknown","1517-04-04","1521-01-17"
"gillis_pierre_viaf_12425170","1505-03-01","1530-01-28"
"giovio_benedetto_viaf_54492095","1525-10-01","1525-10-01"
"glapion_jean_viaf_308204333","1522-04-21","1522-04-21"
"glareanus_henricus_viaf_73950690","1516-07-13","1535-09-06"
"goclenius_conrad_viaf_100370860","1521-02-06","1536-06-28"
"goethals_liévin_viaf_62363145","1520-04-13","1520-04-13"
"gois_damião_ de_viaf_29543090","1533-07-25","1535-12-15"
"gonnell_william_viaf_unknown","1513-09-26","1518-04-22"
"gracián_diego_viaf_32887288","1528-03-15","1528-03-15"
"grapheus_cornelius_scribonius_viaf_24593400","1529-03-07","1534-03-13"
"gratius_ortwin_viaf_100274693","1519-09-15","1519-09-15"
"gravius_tielmannus_viaf_unknown","1527-05-29","1531-06-20"
"greverade_adolf_viaf_unknown","1500-12-18","1500-12-18"
"grey_thomas_viaf_unknown","1497-01-01","1517-02-13"
"grimani_domenico_viaf_67314831","1515-05-15","1519-10-02"
"grolier_jean_viaf_51698044","1518-04-24","1518-04-24"
"grunnius_lambertus_viaf_33092660","1516-08-01","1516-08-01"
"grunnius_[corpus_era]_viaf_unknown","1531-03-05","1531-03-05"
"gruntgen_heinrich_viaf_unknown","1520-03-07","1520-03-07"
"gruyères_léonard_de_viaf_unknown","1524-12-29","1536-03-16"
"grynaeus_simon_viaf_51739295","1525-12-26","1531-11-29"
"guibé_robert_viaf_44450742","1512-02-08","1512-02-08"
"guildford_henry_viaf_160149629","1519-05-15","1519-10-18"
"guilelmus_hermannus_viaf_79253976","1494-01-01","1503-09-27"
"guillard_louis_viaf_172190973","1521-06-17","1521-06-17"
"gumppenberg_ambrosius_von_viaf_27866230","1532-03-05","1535-05-01"
"gusebel_johannes_viaf_5746266","1518-10-20","1518-10-20"
"hacus_christoph_viaf_54963143","1519-08-13","1519-08-13"
"haer_jan_dirksz_van_der_viaf_unknown","1520-09-09","1520-09-09"
"halewyn_georges_de_viaf_100289355","1517-08-29","1520-06-21"
"halsey_thomas_viaf_unknown","1512-02-08","1512-02-08"
"harst_karl_viaf_81360435","1521-06-22","1521-06-22"
"hatten_maternus_viaf_unknown","1518-10-20","1518-10-20"
"hedio_kaspar_viaf_37708208","1524-03-01","1532-03-03"
"heemstede_jan_of_viaf_unknown","1525-11-08","1533-02-28"
"hegendorph_christoph_viaf_54260943","1520-12-13","1520-12-13"
"henckel_johannes_viaf_42653796","1526-03-07","1533-03-24"
"henricus_de_bergen_viaf_10913982","1496-11-07","1501-07-12"
"henry_viii_king_of_england_viaf_172419710","1499-09-01","1528-06-01"
"herema_gerard_van_viaf_unknown","1530-01-31","1530-01-31"
"heresbach_conrad_viaf_5740065","1522-10-18","1522-10-18"
"herwagen_johann_viaf_84180756","1531-08-09","1531-08-09"
"hessus_helius_eobanus_viaf_71412338","1518-10-19","1531-08-11"
"hezius_theodericus_viaf_287437455","1523-09-16","1524-09-02"
"hillweg_theobald_viaf_unknown","1524-05-15","1524-05-15"
"hompen_hayo_viaf_90975196","1520-08-01","1530-01-31"
"hondt_jan_de_viaf_19940051","1518-01-05","1527-08-25"
"hoogstraten_andreas_of_viaf_unknown","1514-08-02","1514-08-02"
"hoogstraten_jacobus_van_viaf_13114285","1519-08-11","1519-08-11"
"horion_guillaume_de_viaf_unknown","1533-04-21","1533-04-21"
"hornes_maximilien_de_viaf_20840615","1521-05-31","1521-05-31"
"hoxwier_hector_van_viaf_unknown","1531-12-13","1531-12-13"
"hué_guillaume_viaf_unknown","1519-08-09","1519-08-09"
"hugenoys_lieven_viaf_unknown","1521-06-21","1521-06-21"
"hune_martin_viaf_unknown","1524-07-03","1526-06-06"
"hutten_ulrich_von_viaf_95193756","1518-09-08","1523-04-03"
"huttich_johann_viaf_5722622","1517-03-01","1517-03-01"
"illiers_rené_de_viaf_unknown","1506-08-01","1506-08-01"
"isenburg_wilhelm_von_viaf_23276289","1532-06-22","1532-06-22"
"jacobus_antonii_viaf_89039252","1501-07-12","1503-02-13"
"james_v_king_of_scotland_viaf_268774695","1533-12-08","1533-12-08"
"janandus_claudius_viaf_unknown","1529-04-01","1529-04-01"
"jan_of_brussels_viaf_unknown","1497-07-01","1501-07-12"
"jean_(1)_le_sauvage_viaf_287915538","1516-06-01","1518-07-15"
"johannes_v_breslau_bischof_viaf_69748338","1519-04-20","1520-08-31"
"johann_der_beständige_elector_of_saxony_viaf_37263134","1526-03-02","1526-03-02"
"johann_iii_trier_erzbischof_viaf_5738878","1534-09-27","1534-09-27"
"john_iii_king_of_portugal_viaf_59093168","1527-03-24","1527-03-24"
"jonas_justus_viaf_32044388","1518-10-19","1521-06-13"
"kan_nicolaas_viaf_unknown","1527-05-29","1527-05-29"
"keysere_robert_de_viaf_54247831","1502-09-01","1502-09-01"
"kierher_johannes_viaf_249489967","1515-10-01","1515-10-01"
"kleberger_hans_viaf_21316184","1532-10-20","1532-10-20"
"klett_lukas_viaf_unknown","1517-08-23","1517-08-23"
"kmita_piotr_viaf_77411316","1535-08-20","1535-08-20"
"knopken_andreas_viaf_151746467","1520-12-31","1520-12-31"
"koler_johann_viaf_84557599","1529-07-14","1535-08-01"
"komerstadt_georg_von_viaf_32781601","1531-06-07","1531-06-07"
"könneritz_andreas_von_viaf_80525464","1530-02-18","1530-02-18"
"könneritz_christoph_von_viaf_80525504","1530-02-18","1530-02-18"
"kretz_matthias_viaf_7727516","1530-12-22","1531-03-11"
"krzycki_andrzej_viaf_3542950","1525-10-05","1536-02-01"
"lachner_wolfgang_viaf_62650596","1517-08-23","1517-11-01"
"laetus_jodocus_viaf_69745698","1523-03-01","1523-03-01"
"lagnier_simon_viaf_unknown","1533-11-19","1533-11-19"
"lalemand_jean_viaf_unknown","1525-02-24","1525-02-24"
"lambelin_jean_viaf_unknown","1532-10-26","1532-10-26"
