"correspondents_id","name_in_edition","Beginning of correspondence with Erasmus","End of the correspondence with Erasmus"
"henricus_de_bergen_viaf_10913982","Hendrik van BERGEN [COE] // Hendrik van Bergen [CWE] // Bergen, Henry of [ALLEN]","1496-11-07","1501-07-12"
"henry_viii_king_of_england_viaf_172419710","HENRY VIII [COE] // Henry VIII / Prince Henry [CWE] // Henry VIII, King of England [ALLEN]","1499-09-01","1528-06-01"
"herema_gerard_van_viaf_unknown","Gerard van HEREMA [COE] // Gerard van Herema [CWE] // Herema, Gerard of [ALLEN]","1530-01-31","1530-01-31"
"heresbach_conrad_viaf_5740065","Konrad HERESBACH [COE] // Konrad Heresbach [CWE] // Heresbach, Conrad [ALLEN]","1522-10-18","1535-07-28"
"herwagen_johann_viaf_84180756","Johann HERWAGEN [COE] // Johann Herwagen [CWE] // Herwagen, Johann [ALLEN]","1531-08-09","1534-06-13"
"hessele_jacob_viaf_unknown","Jacob HESSELE [COE] // Jacob Hessele [CWE] // Hessels, James [ALLEN]","1533-07-12","1533-07-12"
"hessus_helius_eobanus_viaf_71412338","Helius EOBANUS Hessus [COE] // Helius Eobanus Hessus [CWE] // Eobanus, Helius (Hessus) [ALLEN]","1518-10-19","1531-08-11"
"hezius_theodericus_viaf_287437455","Theodoricus HEZIUS [COE] // Theodoricus Hezius [CWE] // Hezius, Theoderic [ALLEN]","1522-01-25","1524-09-02"
"hillweg_theobald_viaf_unknown","Theobald HILLWEG [COE] // Theobald Hillweg [CWE] // Hyllweg, Theobald [ALLEN]","1524-05-15","1524-05-15"
"hollonius_lambertus_viaf_unknown","Lambertus HOLLONIUS [COE] // Lambertus Hollonius [CWE] // Hollonius, Lambertus [ALLEN]","1518-12-05","1518-12-05"
"hompen_hayo_viaf_90975196","HAIO HERMAN [COE] // Haio Herman [CWE] // Phrysius, Haio Hermannus [ALLEN]","1520-08-01","1530-01-31"
"hondt_jan_de_viaf_19940051","Jan de HONDT [COE] // Jan de Hondt [CWE] // Hondt, John de (Canius) [ALLEN]","1518-01-05","1527-08-25"
"hoogstraten_andreas_of_viaf_unknown","Andreas of HOOGSTRATEN [COE] // Andreas of Hoogstraten [CWE] // Hoogstraeten, Andrew of [ALLEN]","1514-08-02","1516-01-10"
"hoogstraten_jacobus_van_viaf_13114285","Jacob of HOOGSTRATEN [COE] // Jacob of Hoogstraten [CWE] // Hochstrat, Jacob [ALLEN]","1519-08-11","1519-08-11"
"horion_guillaume_de_viaf_unknown","Guillaume de HORION [COE] // Guillaume de Horion [CWE] // Horion, William ab [ALLEN]","1533-04-21","1533-04-21"
"hörmann_georg_viaf_67293006","Georg HÖRMANN [COE] // Georg Hörmann [CWE] // Hermann, George [ALLEN]","1536-01-29","1536-01-29"
"hörmann_johann_georg_viaf_52890047","Johann Georg HÖRMANN [COE] // Johann Georg Hörmann [CWE] // Hermann, John George [ALLEN]","1535-12-11","1536-04-18"
"hornburg_johann_viaf_uncertain","Johann HORNBURG [COE] // Johann Hornburg [CWE] // Hornburg, John [ALLEN]","1527-01-18","1528-02-02"
"hornes_maximilien_de_viaf_20840615","Maximiliaan van HORN [COE] // Maximiliaan van Horn [CWE] // Hornes, Maximilian of [ALLEN]","1521-05-31","1521-05-31"
"hoxwier_hector_van_viaf_unknown","Hector van HOXWIER [COE] // Hector van Hoxwier [CWE] // Hoxvirius, Hector [ALLEN]","1531-12-13","1535-06-01"
"hué_guillaume_viaf_unknown","Guillaume HUÉ [COE] // Guillaume Hué [CWE] // Hué, William [ALLEN]","1519-08-09","1519-08-09"
"hugenoys_lieven_viaf_unknown","Lieven HUGENOYS [COE] // Lieven Hugenoys [CWE] // Hugenoys, Livinus [ALLEN]","1521-06-21","1521-06-21"
"hune_martin_viaf_unknown","Martin HUNE [COE] // Martin Hune [CWE] // Hune, Martin [ALLEN]","1524-07-03","1526-06-06"
"hutten_ulrich_von_viaf_95193756","Ulrich von HUTTEN [COE] // Ulrich von Hutten [CWE] // Hutten, Ulrich von [ALLEN]","1515-10-24","1523-04-03"
"huttich_johann_viaf_5722622","Johann HUTTICH [COE] // Johann Huttich [CWE] // Huttich, John [ALLEN]","1517-03-01","1517-03-01"
"illiers_rené_de_viaf_unknown","René d'ILLIERS [COE] // René d'llliers [CWE] // Illiers, René d' [ALLEN]","1506-08-01","1506-08-01"
"isenburg_wilhelm_von_viaf_23276289","Wilhelm von ISENBURG [COE] // Wilhelm of Isenburg [CWE] // Isenburg, William, Count of [ALLEN]","1532-06-22","1532-06-22"
"jacobus_antonii_viaf_89039252","Jacob ANTHONISZOON [COE] // Jacob Anthoniszoon [CWE] // Anthonisz, Iacobus [ALLEN]","1501-07-12","1503-02-13"
"james_v_king_of_scotland_viaf_268774695","JAMES V [COE] // James V [CWE] // James V of Scotland [ALLEN]","1533-12-08","1534-07-01"
"janandus_claudius_viaf_unknown","Claudius JANANDUS [COE] // Claudius Janandus [CWE] // Janandus, Claudius [ALLEN]","1529-04-01","1529-04-01"
"jan_of_brussels_viaf_unknown","JAN of Brussels [COE] // Jan of Brussels [CWE] // Brussels, John of [ALLEN]","1497-07-01","1501-07-12"
"jean_(1)_le_sauvage_viaf_287915538","Jean (I) LE SAUVAGE [COE] // Jean le Sauvage [CWE] // Sauvage, John le [ALLEN]","1516-06-01","1518-07-15"
"jespersen_jacob_viaf_67282045","Jakob JESPERSEN [COE] // Jacob Jespersen [CWE] // Jaspar, Jacobus (Joannes or Jacobus Danus) [ALLEN]","1531-11-19","1533-07-25"
"johannes_maria_armoricus_viaf_unknown","JOHANNES MARIA Armoricus [COE] // Johannes a Mera [CWE] // Maria, John [ALLEN]","NULL","NULL"
"johannes_v_breslau_bischof_viaf_69748338","Johannes (II) THURZO [COE] // Johannes Thurzo [CWE] // Turzo, John [ALLEN]","1518-06-20","1520-08-31"
"johann_der_beständige_elector_of_saxony_viaf_37263134","John, elector of SAXONY [COE] // Duke John of Saxony [CWE] // John of Saxony [ALLEN]","1526-03-02","1526-03-02"
"johann_iii_trier_erzbischof_viaf_5738878","Johann von METZENHAUSEN [COE] // Johann von Metzenhausen [CWE] // Metzenhausen, Johann III of [ALLEN]","1534-09-27","1534-09-27"
"john_iii_king_of_portugal_viaf_59093168","JOHN III [COE] // John III [CWE] // John III of Portugal [ALLEN]","1527-03-24","1527-03-24"
"jonas_justus_viaf_32044388","Justus JONAS [COE] // Justus Jonas [CWE] // Jonas, Jodocus (Justus) [ALLEN]","1518-10-19","1521-06-13"
"julius_ii_pope_viaf_51697938","Pope JULIUS II [COE] // Julius II [CWE] // Julius II, Pope [ALLEN]","1506-01-04","1506-01-04"
"kammen_adriaan_van_der_viaf_unknown","Adriaan van der KAMMEN [COE] // Adriaan van der Kammen [CWE] // Vanderkammen, Hadrian [ALLEN]","1529-12-26","1529-12-26"
"kan_nicolaas_viaf_unknown","Nicolaas KAN [COE] // Nicolaas Kan [CWE] // Cannius, Nicolaus [ALLEN]","1527-05-29","1527-05-29"
"keysere_robert_de_viaf_54247831","Robert de KEYSERE [COE] // Robert de Keyzere [CWE] // Keysere, Robert de (Caesar) [ALLEN]","1503-09-01","1517-02-06"
"kierher_johannes_viaf_249489967","Johann KIERHER [COE] // Johann Kierher [CWE] // Kirher, John [ALLEN]","1515-09-16","1515-10-01"
"kleberger_hans_viaf_21316184","Johann KLEBERGER [COE] // Johann Kleberger [CWE] // Kleberg, John [ALLEN]","1532-10-20","1532-10-20"
"klett_lukas_viaf_unknown","Lukas KLETT [COE] // Lukas Klett [CWE] // Paliurus, Lucas (Klett) [ALLEN]","1514-11-01","1526-05-07"
"kmita_piotr_viaf_77411316","Piotr KMITA [COE] // Piotr Kmita [CWE] // Kmita, Peter [ALLEN]","1535-08-20","1535-08-20"
"knopken_andreas_viaf_151746467","Andreas KNOPKEN [COE] // Andreas Knopken [CWE] // Knopken, Andrew [ALLEN]","1520-12-31","1520-12-31"
"koler_johann_viaf_84557599","Johann KOLER [COE] // Johann Koler [CWE] // Choler, John [ALLEN]","1529-07-14","1535-08-31"
"komerstadt_georg_von_viaf_32781601","Georg von KOMERSTADT [COE] // Georg von Komerstadt [CWE] // Commerstadt, George [ALLEN]","1531-06-07","1531-06-07"
"könneritz_andreas_von_viaf_80525464","Andreas von KÖNNERITZ [COE] // Andreas von Könneritz [CWE] // Conritz, Andreas von [ALLEN]","1530-02-18","1530-02-18"
"könneritz_christoph_von_viaf_80525504","Christoph von KÖNNERITZ [COE] // Christoph von Könneritz [CWE] // Conritz, Christoph von [ALLEN]","1530-02-18","1530-02-18"
"kretz_matthias_viaf_7727516","Matthias KRETZ [COE] // Matthias Kretz [CWE] // Kretz, Matthias [ALLEN]","1530-10-29","1531-03-11"
"krzycki_andrzej_viaf_3542950","Andrzej KRZYCKI [COE] // Andrzej Krzycki [CWE] // Andrew Cricius [ALLEN]","1525-10-05","1536-02-01"
"lachner_wolfgang_viaf_62650596","Wolfgang LACHNER [COE] // Wolfgang Lachner [CWE] // Lachner, Wolfgang [ALLEN]","1517-08-23","1517-11-01"
"laetus_jodocus_viaf_69745698","Joost VROYE [COE] // Joost Vroye [CWE] // Gaverius, Jodocus [ALLEN]","1523-03-01","1523-03-27"
"lagnier_simon_viaf_unknown","Simon LAGNIER [COE] // Simon Lagnier [CWE] // Lagnier, Simon (Leignierus) [ALLEN]","1533-11-19","1533-11-19"
"lalemand_jean_viaf_unknown","Jean LALEMAND [COE] // Jean Lalemand [CWE] // Lallemand, Jean [ALLEN]","1525-02-24","1525-02-24"
"lambelin_jean_viaf_unknown","Jean LAMBELIN [COE] // Jean Lambelin [CWE] // Lambelin, Jean [ALLEN]","1532-10-26","1532-10-26"
"lange_jean_viaf_unknown","Jean LANGE [COE] // Jean Lange [CWE] // Angelus, John [ALLEN]","1524-01-01","1524-01-01"
"lang_johann_viaf_67343955","Johann LANG [COE] // Johann Lang [CWE] // Lang, John [ALLEN]","1518-10-17","1520-08-02"
"lascaris_janus_viaf_32142389","Janus LASCARIS [COE] // Johannes Lascaris [CWE] // Lascaris, John (Janus) [ALLEN]","1518-04-26","1518-04-26"
"latimer_william_viaf_unknown","William LATIMER [COE] // William Latimer [CWE] // Latimer, William [ALLEN]","1516-06-05","1517-02-01"
"latomus_bartholomaeus_viaf_73868162","Bartholomaeus LATOMUS [COE] // Bartholomaeus Latomus [CWE] // Latomus, Bartholomew [ALLEN]","1535-06-29","1535-08-24"
"laurentia_johannes_baptista_viaf_unknown","Johannes Baptista LAURENTIA [COE] // Johannes Baptista Laurentia [CWE] // Laurentia, Ioannes Baptista [ALLEN]","1535-03-18","1535-03-18"
"laurinus_marcus_viaf_unknown","Marcus LAURINUS [COE] // Marcus Laurinus [CWE] // Laurinus, Marcus [ALLEN]","1517-09-07","1527-09-01"
"laurinus_matthias_viaf_unknown","Matthias LAURINUS [COE] // Matthias Laurinus [CWE] // Laurinus, Matthias [ALLEN]","1527-09-01","1527-09-01"
"lauwereyns_joost_viaf_unknown","Joost LAUWEREYNS [COE] // Joost Lauwereyns [CWE] // Laurens, Josse [ALLEN]","1522-07-14","1522-07-14"
"lee_edward_viaf_40182081","Edward LEE [COE] // Edward Lee [CWE] // Lee, Edward [ALLEN]","1518-01-01","1520-02-01"
"lefèvre_d'étaples_jacques_viaf_100170223","Jacques LEFÈVRE d'Etaples [COE] // Jacques Lefèvre d'Etaples [CWE] // Faber Stapulensis, Jacobus [ALLEN]","1514-10-23","1527-03-24"
"leone_ambrogio_viaf_27223230","Ambrogio LEONI [COE] // Ambrogio Leoni [CWE] // Leo, Ambrose [ALLEN]","1518-07-19","1518-10-15"
"leontius_[corpus_era]_viaf_unknown","LEONTIUS [COE] // Leontius [CWE] // Leontius [ALLEN]","1520-01-01","1520-01-01"
"leo_x_pope_viaf_316407579","Pope LEO X [COE] // Leo X / Giovanni de' Medici [CWE] // Leo X, Pope [ALLEN]","1515-05-21","1521-01-15"
"lethmaet_herman_viaf_89176625","Herman LETHMAET [COE] // Herman Lethmaet [CWE] // Lethmatius, Herman (Goudanus, Harmannus, Lethmannus) [ALLEN]","1522-02-21","1523-04-17"
"le_clerc_nicolas_viaf_unknown","Nicolas LE CLERC [COE] // Nicolas Le Clerc [CWE] // Leclerc, Nicolas (Clerici) [ALLEN]","1528-09-05","1528-09-05"
"linacre_thomas_viaf_59233331","Thomas LINACRE [COE] // Thomas Linacre [CWE] // Linacre, Thomas [ALLEN]","1506-06-12","1521-08-24"
"lipsius_martin_viaf_17616612","Maarten LIPS [COE] // Maarten Lips [CWE] // Lypsius, Martin [ALLEN]","1518-01-01","1531-11-01"
"listrius_gerardus_viaf_173705449","Gerardus LISTRIUS [COE] // Gerardus Listrius [CWE] // Lister, Gerard (Listrius, Lystrius) [ALLEN]","1516-11-20","1519-09-11"
"löble_johann_viaf_86024015","Johann LÖBLE [COE] // Johann Löble [CWE] // Loeble, John [ALLEN]","1531-06-06","1533-05-11"
"longland_john_viaf_65200907","John LONGLAND [COE] // John Longland [CWE] // Longlond, John [ALLEN]","1525-01-05","1536-03-16"
"longolius_christopherus_viaf_12405190","Christophe de LONGUEIL [COE] // Chistophe de Longueil [CWE] // Longolius, Christopher [ALLEN]","1519-04-01","1519-04-01"
"lópez_de_mendoza_y_zúñiga_iñigo_viaf_unknown","Iñigo LÓPEZ de Mendoza y Zúñiga [COE] // Iñigo López de Mendoza y Zúñiga [CWE] // Mendoza, Inigo Lopez de [ALLEN]","1532-08-28","1532-08-28"
"lorraine_jean_de_viaf_213357772","Jean, cardinal of LORRAINE [COE] // Jean de Lorraine [CWE] // Lorraine, John of [ALLEN]","1525-03-22","1529-09-10"
"lotzer_johann_(1)_viaf_37256989","Johann (I) LOTZER [COE] // Johann Lotzer [CWE] // Lotzer, John [ALLEN]","1529-03-08","1530-04-04"
"louvain_collegium_trilingue_viaf_not_applicable","[Collegium Trilingue] [COE] // Collegium Trilingue [CWE] // Busleiden's College [ALLEN]","1531-03-17","1531-03-17"
"louvain_faculty_of_theology_a_member_of_viaf_unknown","[A Member of the Louvain Faculty of Theology] [COE] // A Member of the Louvain Faculty of Theology [CWE]","1520-01-01","1520-01-01"
"louvain_theologians_of_viaf_not_applicable","[Theologians of Louvain] [COE] // The Theologians of Louvain [CWE] // Louvain, Theologians [ALLEN]","1521-06-01","1525-09-06"
"loxanus_georgius_viaf_unknown","Georgius LOXANUS [COE] // Georgius Loxanus [CWE] // Loxanus, George [ALLEN]","1534-01-01","1534-01-01"
"lübeck_a_man_of_viaf_unknown","[A Man of Lübeck] [COE] // A man of Lübeck [CWE] // A man of Lübeck [ALLEN]","1498-12-01","1498-12-01"
"lucinge_philibert_de_viaf_unknown","Philibert de LUCINGE [COE] // Philibert de Lucinge [CWE] // Lucinges, Philibert of [ALLEN]","1524-01-20","1524-01-20"
"ludovicus_[corpus_era_ep_167]_viaf_unknown","LUDOVICUS [COE] // Louis [CWE] // Louis [ALLEN]","1501-12-01","1501-12-01"
"ludovicus_[corpus_era_ep_790]_viaf_unknown","LUDOVICUS [COE] // Louis [CWE] // Louis [ALLEN]","1518-03-05","1518-03-05"
"lupset_thomas_viaf_89034021","Thomas LUPSET [COE] // Thomas Lupset [CWE] // Lupset, Thomas [ALLEN]","1516-06-28","1525-10-04"
"luscinius_ottmar_viaf_10620240","Ottmar NACHTGALL [COE] // Ottmar Nachtgall [CWE] // Luscinius, Othmarus (Nachtgall) [ALLEN]","1531-04-04","1531-04-04"
"luther_martin_viaf_14773105","Martin LUTHER [COE] // Martin Luther [CWE] // Luther, Martin [ALLEN]","1519-03-28","1526-04-11"
"luxembourg_nicolas_de_viaf_unknown","NICHOLAS OF LUXEMBOURG [COE] // Nicholas of Luxemburg [CWE] // Luxembourg, Nicholas of [ALLEN]","1520-02-01","1520-02-01"
"maillard_nicolas_viaf_74209788","Nicolas MAILLARD [COE] // Nicolas Maillard [CWE] // Mallarius, Nicolaus [ALLEN]","1531-02-01","1531-03-28"
"malaise_nicolas_de_viaf_309895453","Nicolas de MALAISE [COE] // Nicolas de Malaise [CWE] // Malaise, Nicholas of [ALLEN]","1518-10-24","1518-10-24"
"maldonado_juan_viaf_64018172","Juan MALDONADO [COE] // Juan Maldonado [CWE] // Maldonatus, Joannes [ALLEN]","1526-09-01","1530-01-13"
"manius_petrus_viaf_unknown","Petrus MANIUS [COE] // Petrus Manius [CWE] // Manius, Peter [ALLEN]","1520-10-01","1520-10-01"
"manrique_de_lara_alfonso_viaf_89177082","Alonso MANRIQUE de Lara [COE] // Alonso Manrique de Lara [CWE] // Manrique, Alonso [ALLEN]","1527-08-26","1530-03-31"
"manuzio_aldo_viaf_96325760","Aldo MANUZIO [COE] // Aldo Manuzio [CWE] // Aldus Manutius [ALLEN]","1507-10-28","1508-12-09"
"marcäus_helias_viaf_81341599","Helias MARCAEUS [COE] // Helias Marcaeus [CWE] // Marcaeus, Helias [ALLEN]","1518-01-01","1524-07-30"
"marck_antoine_de_la_viaf_unknown","Antoine de la MARCK [COE] // Antoine de la Marck [CWE] // de la Marck, Antony [ALLEN]","1519-04-20","1520-02-16"
"marck_érard_de_la_viaf_20477461","Erard de la MARCK [COE] // Erard de la Marck [CWE] // de la Marck, Erard [ALLEN]","1517-12-13","1530-09-07"
"marguerite_queen_consort_of_henry_ii_king_of_navarre_viaf_89797196","MARGARET of Angoulême [COE] // Margaret of Angoulême [CWE] // Margaret of Valois [ALLEN]","1525-09-28","1527-08-13"
"maria_queen_consort_of_louis_II_king_of_bohemia_and_hungary_viaf_77119805","MARY of Austria [COE] // Mary of Hungary [CWE] // Mary of Hungary [ALLEN]","1529-02-01","1533-06-13"
"marius_augustinus_viaf_64816093","Augustinus MARIUS [COE] // Augustinus Marius [CWE] // Marius, Augustinus [ALLEN]","1530-05-22","1530-05-22"
"marletus_claudius_viaf_89243740","Claude LE MARLET [COE] // Claude Le Marlet [CWE] // Morelet du Museau, Claude [ALLEN]","1523-03-01","1523-03-01"
"marliano_luigi_viaf_160695839","Luigi MARLIANO [COE] // Luigi Marliano [CWE] // Marlianus, Aloysius or Lodovicus [ALLEN]","1520-06-21","1521-04-15"
"martens_joachim_viaf_unknown","Joachim MARTENS [COE] // Joachim Martens [CWE] // Martinius, Joachim [ALLEN]","1528-09-16","1528-09-16"
"martinus_[corpus_era]_viaf_unknown","MARTINUS (adressed in Ep. 76 of [July? 1498] [COE] // Martin [CWE] // Martin [ALLEN]","1498-07-01","1498-07-01"
"mauch_daniel_viaf_27887955","Daniel MAUCH [COE] // Daniel Mauch [CWE] // Mauch, Daniel [ALLEN]","1525-10-10","1525-10-10"
"mauritszoon_jacob_viaf_unknown","Jacob MAURITSZOON [COE] // Jacob Mauritszoon [CWE] // Mauritsz, James [ALLEN]","1503-09-28","1506-11-04"
"maximilian_of_transylvania_viaf_21802698","Maximilianus TRANSSILVANUS [COE] // Maximilianus Transsilvanus [CWE] // Transsylvanus, Maximilianus [ALLEN]","1525-02-24","1527-11-06"
"maximilien_vere_marquis_viaf_35612401","Maximilian (II) of BURGUNDY [COE] // Maximilian (II) of Burgundy [CWE] // Burgundy, Maximilian of [ALLEN]","1525-03-30","1529-07-23"
"mazzolini_silvestro_da_prierio_viaf_4903823","Silvester PRIERIAS [COE] // Silvester Prierias [CWE] // Mazolini, Silvester (Prieras) [ALLEN]","1523-01-01","1523-01-01"
"medmann_peter_viaf_unknown","Peter MEDMANN [COE] // Peter Medmann [CWE] // Medmann, Peter [ALLEN]","1530-04-02","1530-04-02"
"melanchthon_philipp_viaf_76319978","Philippus MELANCHTHON [COE] // Philippus Melanchthon [CWE] // Melanchthon, Philip [ALLEN]","1516-08-20","1536-06-06"
"merbelius_petrus_viaf_unknown","Petrus MERBELIUS [COE] // Petrus Merbelius [CWE] // Merbelius, Petrus [ALLEN]","1535-03-18","1536-02-02"
"merleberge_jan_vab_viaf_unknown","Jan van MERLEBERGE [COE] // Jan van Merleberghe [CWE] // Merliberch, John [ALLEN]","1518-01-01","1518-01-01"
"metz_chapter_of_cathedral_viaf_not_applicable","[Chapter of Metz Cathedral] [COE] // Chapter of Metz Cathedral [CWE] // Metz, Chapter [ALLEN]","1519-07-14","1519-07-14"
"mexía_cristóbal_viaf_unknown","Cristóbal MEXÍA [COE] // Crístobal Mexía [CWE] // Mexia, Christopher [ALLEN]","1530-03-30","1533-12-24"
"mexía_pedro_viaf_37733377","Pedro MEXÍA [COE] // Pedro Mexía [CWE] // Mexia, Peter [ALLEN]","1530-03-30","1533-12-24"
"meyner_matthias_viaf_unknown","Matthias MEYNER [COE] // Matthias Meyner [CWE] // Meyner, M. [ALLEN]","1520-07-30","1520-07-30"
"mitelli_vincenzo_viaf_unknown","Vincenzo MITELLI [COE] // Vincenzo Mitelli [CWE] // Metellus, Vincent [ALLEN]","1535-09-13","1535-09-13"
"molendino_johannes_de_viaf_unknown","Johannes de MOLENDINO [COE] // Jean Moliner / Johannes de Molendino [CWE] // Molendino, John de (Molendinus, Molinaris, Molanus) [ALLEN]","1515-11-23","1533-07-07"
"mombaer_jan_viaf_56632525","Jan MOMBAER [COE] // Jan Mombaer [CWE] // Mauburn, John [ALLEN]","1497-02-04","1498-04-01"
"montanus_philippus_viaf_61904259","Philippus MONTANUS [COE] // Philippus Montanus [CWE] // Montanus, Philippus (Montius) [ALLEN]","1528-10-13","1528-10-13"
"montfoort_pieter_van_viaf_uncertain","Pieter van MONTFOORT [COE] // Pieter van Montfoort [CWE] // Montfoert, Peter [ALLEN]","1530-09-20","1530-09-20"
"montini_floriano_viaf_uncertain","Floriano MONTINI [COE] // Floriano Montini [CWE] // Montinus, Florianus [ALLEN]","1525-02-22","1525-05-16"
"morel_désiré_viaf_unknown","Désiré MOREL [COE] // Désiré Morel [CWE] // Morellus, Desideratus [ALLEN]","1533-10-12","1533-10-12"
"more_john_viaf_88670570","John (III) More [COE] // John More [CWE] // More, John [ALLEN]","1523-12-01","1531-02-27"
"more_thomas_sir_saint_viaf_29541174","Thomas MORE [COE] // Thomas More [CWE] // More, Sir Thomas [ALLEN]","1499-10-28","1533-06-01"
"morillon_guido_viaf_39363518","Guy MORILLON [COE] // Guy Morillon [CWE] // Morillon, Guy [ALLEN]","1517-02-18","1534-08-30"
"moringus_gerardus_viaf_191136181","Gerard MORINCK [COE] // Gerard Morinck [CWE] // Moringus, Gerardus [ALLEN]","1528-05-08","1528-05-08"
"morin_jean_viaf_unknown","Jean MORIN [COE] // Jean Morin [CWE] // Morin, John [ALLEN]","1531-11-30","1532-03-01"
"mornieu_pierre_de_viaf_unknown","Pierre de MORNIEU [COE] // Pierre de Mornieu [CWE] // Mornyeu, Peter of [ALLEN]","1527-01-11","1531-04-02"
"morrhy_gérard_viaf_78441521","Gerard MORRHY [COE] // Gerard Morrhy [CWE] // Morrhius, Gerard [ALLEN]","1530-04-16","1532-03-30"
"mosham_ruprecht_von_viaf_20551741","Rudbert von MOSHAM [COE] // Rudbert von Mosham [CWE] // Mosham, Rudbert of (Moshain) [ALLEN]","1524-05-30","1524-11-12"
"müller_leonhard_viaf_unknown","Leonhard MÜLLER [COE] // Leonhard Müller [CWE] // Muller, Leonard [ALLEN]","1522-05-07","1522-05-07"
"mutianus_rufus_conradus_viaf_59879191","Conradus MUTIANUS Rufus [COE] // Conradus Mutianus Rufus [CWE] // Mutianus Rufus, Conradus (Muth) [ALLEN]","1518-10-17","1524-03-28"
"mykonius_oswald_viaf_22936778","Osvaldus MYCONIUS [COE] // Osvaldus Myconius [CWE] // Myconius, Osualdus [ALLEN]","1518-08-26","1518-08-26"
"nausea_friedrich_viaf_248203874","Fridericus NAUSEA [COE] // Fridericus Nausea [CWE] // Nausea, Fridericus [ALLEN]","1525-05-13","1534-05-15"
"nesen_wilhelm_viaf_59901043","Wilhelm NESEN [COE] // Wilhelm Nesen [CWE] // Nesen, Wilhelm [ALLEN]","1515-04-17","1519-03-21"
"neuenar_hermann_graf_von_viaf_18164526","Hermann von NEUENAHR [COE] // Hermann, Graf von Neu / Hermann von Neuenahr [CWE] // Neuenahr, Hermann Count of (Neaetius, de Nova Aquila, Nuenarius) [ALLEN]","1516-07-14","1529-03-31"
"neve_jan_de_viaf_unknown","Jan de NEVE [COE] // Jean de Nève [CWE] // Neve, John de [ALLEN]","1514-08-01","1514-08-01"
"nicasius_[corpus_era]_viaf_unknown","NICASIUS [COE] // Nicasius, chaplain of Cambrai [CWE] // Nicasius, Chaplain of Cambray [ALLEN]","1498-12-14","1498-12-14"
"nicola_felipe_viaf_unknown","Felipe NICOLA [COE] // Felipe Nicola [CWE] // Nicola, Philip [ALLEN]","1526-04-29","1526-04-29"
"niger_bernardus_viaf_unknown","Bernardus NIGER [COE] // Bernardus Niger [CWE] // Niger, Bernard [ALLEN]","1529-03-27","1529-03-27"
"noot_adolf_van_der_viaf_unknown","Adolf van der NOOT [COE] // Adolf van der Noot [CWE] // Vander Noot, Adolphus [ALLEN]","1536-05-29","1536-05-29"
"noot_jeroen_van_der_viaf_unknown","Jeroen van der NOOT [COE] // Jeroen van der Noot [CWE] // Vander Noot, Jerome [ALLEN]","1522-07-14","1522-07-14"
"noot_joost_van_der_viaf_unknown","Joost van der NOOT [COE] // Joost van der Noot [CWE] // Vander Noot, Jodocus [ALLEN]","1520-01-07","1520-01-07"
"northoff_christian_viaf_unknown","Christian NORTHOFF [COE] // Christian Northoff [CWE] // Northoff, Christian [ALLEN]","1497-03-01","1498-03-01"
"nyder_konrad_viaf_unknown","Konrad NYDER [COE] // Konrad Nyder [CWE] // Nyder Eppingensis, Conrad [ALLEN]","1534-12-20","1534-12-20"
"obrecht_jan_viaf_unknown","Jan OBRECHT [COE] // Jan Obrecht [CWE] // Obrecht, John [ALLEN]","1506-11-04","1506-11-04"
"odoni_giovanni_angelo_viaf_unknown","Giovanni Angelo ODONI [COE] // not in included in CWE yet] // Odonus, Joannes Angelus [ALLEN]","1535-03-01","1535-03-01"
"oecolampadius_johann_viaf_56634092","Johannes OECOLAMPADIUS [COE] // Johannes Oecolampadius [CWE] // Oecolampadius, Joannes (John Hussgen) [ALLEN]","1517-03-27","1529-04-10"
"oem_van_wijngaarden_viaf_unknown","Jan OEM van Wijngaarden [COE] // Jan Oem [CWE] // Oem, John [ALLEN]","1526-02-28","1526-04-29"
"ofhuys_gabriël_viaf_unknown","Gabriël OFHUYS [COE] // Gabriël Ofhuys [CWE] // Ofhuys, Gabriel [ALLEN]","1521-10-14","1521-10-14"
"ofhuys_karel_viaf_unknown","Karel OFHUYS [COE] // Karel Ofhuys [CWE] // Ofhuys, Charles [ALLEN]","1516-10-30","1516-10-30"
"oláh_miklós_viaf_9923869","Nicolaus OLAHUS [COE] // Nicolaus Olahus [CWE] // Olah, Nicolaus (Holachus) [ALLEN]","1530-07-01","1534-06-25"
"oliver_pedro_juan_viaf_34607051","Pedro Juan OLIVAR [COE] // Pedro Juan Olivar [CWE] // Olivarus, Petrus Joannes [ALLEN]","1527-03-13","1527-03-13"
"omphalius_jakob_viaf_37733878","Jacobus OMPHALIUS [COE] // Jacobus Omphalius [CWE] // Omphalius, Jacobus [ALLEN]","1536-02-10","1536-02-10"
"pace_richard_viaf_62360861","Richard PACE [COE] // Richard Pace [CWE] // Pace, Richard [ALLEN]","1515-09-04","1530-03-22"
"paleario_aonio_viaf_46755883","Aonio PALEARIO [COE] // not included in CWE yet] // not included in the ALLEN corpus]","1534-12-05","1534-12-05"
"paludanus_johannes_viaf_13125061","Jean DESMAREZ [COE] // Jean Desmarez [CWE] // Paludanus, Joannes (Desmarais) [ALLEN]","1504-02-01","1516-11-01"
"papin_antoine_viaf_unknown","Antoine PAPIN [COE] // Antoine Papin [CWE] // Papinius, Antony [ALLEN]","1519-05-20","1519-05-30"
