"correspondents_id","name_in_edition","Beginning of correspondence with Pirckheimer","End of the correspondence with Pirckheimer"
"pirckheimer_johannes_viaf_45097499","Hans Pirckheimer","1491-05-04","1494-11-23"
"pirckheimer_katharina_die_ältere_viaf_17967599","Katharina Pirckheimer d. Ä.","1506-01-26","1530-04-03"
"pirckheimer_katharina_die_jüngere_viaf_unknown","Katharina Pirckheimer d. J.","1513-11-01","1529-12-29"
"pirckheimer_klara_viaf_11044869","Klara Pirckheimer","1515-12-29","1529-07-23"
"pirckheimer_sabina_viaf_100506400","Sabina Pirckheimer","1505-12-21","1529-11-06"
"pirckheimer_walburg_viaf_unknown","Walburg Pirckheimer","1507-05-25","1528-05-01"
"plaß_philipp_viaf_unknown","Philipp Plaß","1525-09-17","1525-09-17"
"plick_wolfgang_viaf_unknown","Wolfgang Plick","1528-02-08","1528-02-08"
"poemer_hektor_viaf_30282831","Hektor Pömer","1520-06-10","1520-06-10"
"pöll_johann_viaf_unknown","Johann Pöll","1524-06-25","1526-02-17"
"praun_hans_viaf_unknown","Hans Praun","1513-10-05","1513-10-05"
"pufler_michael_viaf_unknown","Michael Pufler","1525-09-12","1525-09-16"
"rauch_margareta_viaf_unknown","Margareta Rauch // Margaretha Reuin","1510-01-01","1529-12-12"
"rehlinger_johann_viaf_13057141","Johann Rehlinger","1507-03-17","1518-03-12"
"reinhart_martin_viaf_273051457","Martin Reinhart","1524-03-17","1524-03-17"
"reuchlin_johann_viaf_66542815","Johannes Reuchlin","1511-10-01","1520-12-21"
"reusch_johannes_viaf_309696969","Johannes Reusch","1520-03-15","1520-09-01"
"reuter_konrad_viaf_40196398","Konrat Reuter","1530-03-15","1530-03-15"
"reyffsteck_friedrich_viaf_unknown","Friedrich Reyffsteck","1524-08-31","1524-08-31"
"rhegius_urbanus_viaf_17232588","Urbanus Rhegius","1526-04-24","1526-04-24"
"rhenanus_beatus_viaf_39415982","Beatus Rhenanus","1513-11-01","1529-11-20"
"ricius_paulus_viaf_60018918","Paulus Rizius","1522-12-29","1522-12-29"
"rieter_eustachius_viaf_232348969","Eustachius Rieter","1525-02-17","1527-05-26"
"romming_johannes_viaf_54965890","Johannes Romming","1515-10-17","1515-10-17"
"ruchamer_jobst_viaf_54965971","Jobst Ruchamer","1515-04-05","1515-04-05"
"rüttel_andreas_viaf_231891749","Andreas Rüttel","1530-05-28","1530-09-25"
"sauermann_georg_viaf_49957282","Georg Sauermann // Johann [?]","1524-02-01","1527-06-01"
"savorgnanus_petrus_viaf_54549501","Petrus Savorgnanus","1524-05-30","1524-12-27"
"schade_peter_viaf_12457732","Petrus Mosellanus","1519-01-24","1524-01-07"
"schanz_wolf_viaf_unknown","Wolf Schanz","1519-12-09","1519-12-09"
"scharpff_hans_viaf_unknown","Hans Scharpff // Hans Scharpf","1514-02-26","1530-03-10"
"schenk_von_limburg_karl_sigismund_viaf_uncertain","Karl Sigismund Schenk","1519-12-12","1519-12-12"
"scheurl_christoph_viaf_18017875","Christoph Scheurl","1511-03-25","1515-11-01"
"schick_hans_viaf_unknown","Hans Schick","1524-01-10","1524-01-10"
"schleinitz_heinrich_von_viaf_32935699","Heinrich von Schleynitz","1516-02-20","1516-02-20"
"schluchter_michael_viaf_27850722","Michel Schluchter","1506-11-11","1506-11-11"
"schöner_johannes_viaf_41849693","Johann Schöner","1524-01-31","1526-07-12"
"schutter_hieronymus_viaf_35231205","Hieronymus Schutter","1529-02-10","1529-02-10"
"schwarzenberg_johann_von_viaf_41987336","Johann von Schwarzenberg","1512-10-22","1526-03-20"
"schwarzenberg_paul_von_viaf_15581090","Paul von Schwarzenberg","1517-03-15","1517-03-15"
"schweicker_thomas_viaf_67241738","Thomas Schweicker","1504-04-01","1504-04-01"
"schweiß_alexander_von_viaf_89934990","Alexander Schweis","1526-01-21","1530-06-27"
"sibutus_georg_viaf_89560455","Georg Sibutus","1505-06-01","1505-06-01"
"spalatin_georg_viaf_240011410","Georg Spalatin","1508-08-26","1530-04-29"
"spengler_lazarus_viaf_14956752","Lazarus Spengler","1520-10-20","1523-10-01"
"sperantius_sebastian_viaf_20458910","Sebastian Sperantius","1506-01-01","1524-08-01"
"spiegel_jakob_viaf_24846746","Jakob Spiegel","1529-01-23","1529-01-23"
"sporer_georg_viaf_unknown","Georg Sporer","1528-10-05","1530-07-26"
"stabius_johannes_viaf_27933625","Johannes Stabius","1517-11-14","1517-12-31"
"stahl_peter_viaf_54920016","Peter Stahel","1499-01-01","1499-01-01"
"staupitz_johann_von_viaf_46769278","Johann von Staupitz","1510-01-01","1510-01-01"
"sternberg_hans_von_viaf_15976378","Hans von Sternberg zu Callenberg","1518-01-23","1518-01-23"
"stetten_katharina_von_viaf_unknown","Katharina von Stetten // Katharina, Äbtissin zu Geisenfeld","1514-04-29","1514-08-08"
"straub_hans_viaf_unknown","Hans Straub","1518-11-10","1527-02-07"
"straub_lukas_viaf_unknown","Lukas Straub","1528-12-01","1529-02-13"
"streitberg_gabriel_von_viaf_unknwon","Gabriel von Streitberg","1515-10-17","1515-10-26"
"stromer_wolfgang_viaf_231986295","Wolfgang Stromer","1519-04-15","1519-04-15"
"sturio_johann_viaf_unknown","Johann Sturio","1524-03-20","1526-09-26"
"swertfürland_benedikt_viaf_unknown","Benedikt Swertfürland","1520-04-12","1520-04-12"
"tannberger_wolfgang_viaf_81734707","Wolfgang von Tannberg","1519-10-15","1530-11-03"
"thierstein_thomas_von_viaf_unknown","Thomas von Thierstein","1502-03-01","1502-03-01"
"thomas_hubert_viaf_59926451","Hubert Thomas","1522-11-01","1522-11-01"
"thüngen_konrad_ii_von_viaf_26411713","Konrad von Thüngen // Konrad, Bischof von Würzburg","1522-08-01","1522-08-01"
"thurn_wolfgang_von_viaf_unknown","Wolfgang von Thurn","0000-00-00","0000-00-00"
"trithemius_johannes_viaf_275145670671105170001","Johannes Trithemius","1507-07-01","1515-06-13"
"tritonius_petrus_viaf_37182597","Petrus Tritonius","1518-06-01","1518-06-01"
"truchseß_hans_viaf_unknown","Hans Truchseß","1519-12-03","1519-12-03"
"truchseß_jörg_viaf_74629691","Jörg Truchseß","1517-03-15","1517-03-26"
"truchseß_martin_viaf_unknown","Martin Truchseß","1509-07-23","1509-07-23"
"tscherte_hans_viaf_95414344","Johann Tschertte","1524-04-15","1530-11-15"
"tucher_andreas_viaf_232443010","Endres Tucher","1513-08-01","1513-12-25"
"tucher_johann_viaf_unknown","Johann Tucher","1527-11-15","1527-11-15"
"tucher_martin_viaf_5708679","Martin Tucher","1507-04-18","1507-04-18"
"unnamed_person_viaf_not_applicable","Ungenannt // Unbekannt","1496-01-01","1523-11-01"
"varnbüler_ulrich_viaf_57691488","Ulrich Varnbühler // Ulrich Varnbüler","1504-03-30","1528-04-07"
"vellgner_matthias_viaf_unknown","Matthias Vellgner","1520-01-29","1520-01-29"
"venatorius_thomas_viaf_43677502","Thomas Venatorius","1517-11-01","1528-11-01"
"venningen_florenz_von_viaf_171851569","Florenz von Venningen","1524-04-20","1524-04-24"
"vento_antonio_de_viaf_unknown","Antonio de Vento","1527-05-01","1527-05-01"
"vinster_christoph_viaf_unknown","Christoph Vinster","1525-01-01","1525-01-01"
"vögelin_johannes_viaf_59903119","Johann Vögelin","1529-01-27","1530-05-15"
"volckamer_clemens_viaf_10624711","Clemens Volckamer","1527-02-14","1527-02-14"
"volprecht_wolfgang_viaf_35275753","Wolfgang Volprecht","1520-10-18","1520-10-18"
"wallenfelser_endres_viaf_unknown","Endres Wallenfelser","1499-06-13","1499-06-13"
"walther_hieronymus_viaf_100403840","Hieronymus Walther","1530-01-11","1530-02-26"
"warburdt_lenhart_viaf_unknown","Lenhart Warburdt","1518-04-18","1518-04-18"
"werler_veit_viaf_62367677","Veit Werler","1519-12-16","1522-08-08"
"werner_johannes_viaf_89485131","Johannes Werner","1514-01-01","1514-01-01"
"widemann_veit_viaf_unknown","Veit Widemann","1515-04-02","1515-04-02"
"wildenhaimer_hans_viaf_unknown","Hans Wildenhaimer","1520-04-13","1520-04-13"
"wildreich_hans_viaf_unkown","Hans Wildreich","1506-02-05","1506-02-05"
"winzerer_kaspar_viaf_121673923","Caspar Wintzer","1526-03-12","1526-03-12"
"wirsberg_johann_von_viaf_15589659","Johann von Wirsberg","1527-02-26","1527-09-15"
"wolff_von_wolfstal_balthasar_viaf_unknown","Balthasar Wolff von Wolfstal","1516-10-08","1519-01-05"
"wolmershausen_georg_von_viaf_171769668","Georg von Wolmershausen","1528-05-14","1528-05-14"
"zasius_ulrich_viaf_61645489","Ulrich Zasius","1526-09-27","1530-04-28"
"ziegler_jakob_viaf_15074694","Jakob Ziegler","1511-11-23","1530-10-31"
"zinner_nikolaus_viaf_232419217","Nikolaus Zinner","1518-12-18","1529-12-01"
"zwingli_ulrich_viaf_71399367","Ulrich Zwingli","1519-11-23","1524-10-24"
