"sender_id","name_in_edition","Beginning of the correspondence","End of the correspondence"
"531c64db-4861-40b9-8403-07e16941255c","Johannes Brenz","1517-05-10","1517-05-10"
"5402c89c-8ce2-4eb7-ad69-ab91483af780","Petrus Tritonius","1518-06-01","1518-06-01"
"570c5708-abf2-4709-973f-8c78d387de43","Johannes Romming","1515-10-17","1515-10-17"
"5751e796-b06a-4104-9a41-90dac38528cf","Tranquillus Parthenius Andronicus","1518-06-01","1519-01-03"
"589de8a5-7c0c-4b29-99ef-3fd21a7c2bf7","Hans Denck","1523-11-01","1523-11-01"
"59199db1-2197-4d95-9dd4-925e935f61ba","Johann Tucher","1527-11-15","1527-11-15"
"5db04e13-9666-4487-8b5f-f9950519974c","Hans Imhoff d. Ä.","1506-01-12","1506-01-12"
"5f42a8e3-f161-40f5-b42b-9cde6966a4ab","Johann Rehlinger","1507-03-17","1518-03-12"
"62b78e4d-e316-4525-b1fb-641ed02a9045","David de Marchello","1506-01-30","1511-05-26"
"63288a85-427f-4082-b7f9-7501280b428d","Caspar Wintzer","1526-03-12","1526-03-12"
"64e9ba2e-e201-431b-bf26-05dda3503b8c","Johannes Cuno","1505-12-21","1506-12-26"
"69e4b86b-7017-4c9d-85d7-4efc0db67089","Eufemia von Murr","1506-03-02","1520-04-17"
"6bd6eb34-d5f1-47fe-bfaf-82f0aa28031d","Hermann von dem Busche","1501-01-01","1501-01-01"
"6eadeabd-6843-4f50-a240-711513c42f56","Hieronymus Imhoff","1529-05-10","1529-11-01"
"6edb3723-07a3-427b-aadf-910221d1c0b3","Katharina Herden // Katharina, Priorin von Marienstein","1507-02-11","1507-02-11"
"6ffb373e-7884-42c0-b990-a7b11aa129cb","Joachim Camerarius","1525-12-08","1527-06-19"
"7307ceea-6406-4e0d-9dcd-c4029a9998ce","Martin Reinhart","1524-03-17","1524-03-17"
"74639ce5-7d98-4ceb-9256-fc754946295b","Bürgermeister zu Eichstätt","1506-03-24","1506-03-24"
"75029f10-4ddd-4ff0-8d61-4cea3d64651b","Gangolf Leupolt","1518-09-18","1518-09-18"
"76d8e987-2c78-49f3-8b15-23cb5099f9eb","Johann Vögelin","1529-01-27","1530-05-15"
"76e197fa-933b-4c99-a664-1dbbc36dd002","Martin Tucher","1507-04-18","1507-04-18"
"7a58fba6-8759-4ca3-8aea-944e8cef35c8","Graf Georg von Hohenlohe","1525-07-18","1525-07-18"
"7b81ee09-df32-4cc4-bb30-d66c0275ad3f","Sebastian Öffl","1518-05-30","1518-05-30"
"7c21ae3e-a7f0-46a8-8ebb-db3dabe6de21","Nikolaus Basellius","1519-11-05","1519-11-05"
"7ca36007-621e-4c12-a5dc-f41fa15b4456","Rupert von Mosham","1524-05-23","1524-05-23"
"7e1bdb41-fe19-4620-9fd6-fa0d5e2f8c03","Friedrich Fischer","1518-01-20","1519-12-06"
"7e909590-9966-4ad2-ba1b-100a3947a807","Peter Stahel","1499-01-01","1499-01-01"
"80c555cb-f2b1-430d-9f4b-e0e9a85fdfbb","Veit Werler","1519-12-16","1522-10-08"
"83afbe2e-54ed-41b5-94d8-240806ded8ad","Lorenz Jechler","1515-04-02","1515-04-02"
"86fd7d54-8989-4822-a354-6b4f5dbb0abf","Hans Schick","1524-01-10","1524-01-10"
"88967fe0-3ca8-498d-be02-9c3d12e21bac","Hans Egen","1506-07-06","1506-07-06"
"88c9289a-1f17-433f-898b-1b50572f4379","Georg Flach von Schwarzenberg","1528-05-03","1528-05-03"
"893a2802-c9ed-4f40-9fa2-d1284334c044","Alexander Schweis","1526-01-21","1530-06-27"
"8a855d9a-e168-43f2-bd5f-b213082f1b3c","Balthasar Käuffelin","1519-01-07","1519-01-07"
"8dcb2a28-58c2-456e-8fd6-f593ce007fa1","Sebastian Hircanus","1505-01-31","1505-01-31"
"91711cbe-0bf6-4fed-adce-3497ff156be3","Rat zu Eichstätt","1506-03-24","1506-03-24"
"9303451d-5a45-49d0-a202-5fc0221ab96c","Julius Pflug","1520-02-07","1530-09-11"
"93a245a8-2146-4c22-bc86-78c3adacb723","Hans Straub","1518-11-10","1527-02-07"
"95af994d-4b83-40db-87fe-92ab8e69e9ad","Sebastian Imhoff","1528-06-01","1528-06-01"
"96991d77-ba01-4fe5-9ff5-82d3c5c72330","Katharina Koler","1526-10-01","1526-10-01"
"992d7838-a6c2-4ad4-95bc-cbc0559ab8c1","Michael Marstaller","1517-10-25","1524-03-01"
"99939c62-a5a3-4446-8f0b-eaafaa47f1a8","Jobst Ruchamer","1515-04-05","1515-04-05"
"99d8f9bf-df9f-43fb-a968-89e72b1380b7","Jakob Heller","1518-03-20","1518-11-13"
"a1e23b8a-21e4-4e74-99b7-9fafa830326d","Johannes Rhagius Aesticampianus","1519-02-16","1519-02-16"
"a2058be1-0b14-4710-abe7-116a0fa6f065","Wolfgang Stromer","1519-04-15","1519-04-15"
"a6c24ae8-3466-4de3-9250-78ed497fdd11","Wolfgang Fries","1520-06-24","1520-06-24"
"a723fdbd-5262-4766-99cc-fd85bb85839b","Karl Sigismund Schenk","1519-12-12","1519-12-12"
"a805dc1c-7a08-47a7-bae9-345264c93120","Hubert Thomas","1522-11-01","1522-11-01"
"a8c38645-06d5-4c2d-8868-4df3c5a02319","Die Älteren Herren des Nürnberger Rats","1506-09-10","1520-10-19"
