"locations_id","Location Name Modern","Latitude","Longitude","NoCorrToPirck","NoCorrFromPirck"
"weißenburg_in_bayern_DE_gid_2811909","Weißenburg in Bayern","49.03095","10.97221","1","NULL"
"wertheim_DE_gid_2810716","Wertheim am Main","49.759","9.50852","2","NULL"
"wiener_neustadt_AT_gid_2761353","Wiener Neustadt","47.8","16.25","1","NULL"
"wiesensteig_DE_gid_2809214","Wiesensteig","48.56127","9.6254","1","NULL"
"wildberg_DE_gid_2809013","Wildberg","48.62336","8.74518","1","NULL"
"wittenberg_DE_gid_7303020","Wittenberg","51.8661","12.64973","8","3"
"wrocław_PL_gid_3081368","Wroclaw","51.1","17.03333","1","NULL"
"würzburg_DE_gid_2805615","Würzburg","49.79391","9.95121","4","NULL"
"zeil_DE_gid_2805008","Zeil","50.00986","10.5947","1","NULL"
"zürich_CH_gid_2657896","Zürich","47.36667","8.55","1","NULL"
