"Id"	"type"	"gender"	"viaf_id"	"name_in_edition"	"known_name_variations"	"known_name_variations_ref"	"pob_loc_id"	"pob_loc_annotation"	"pob_loc_annotation_ref"	"dob_year1"	"dob_month1"	"dob_day1"	"dob_computable1"	"dob_has_range"	"dob_year2"	"dob_month2"	"dob_day2"	"dob_computable2"	"dob_annotion"	"dob_annotion_ref"	"pod_loc_id"	"pod_loc_annotation"	"pod_loc_annotation_ref"	"dod_year1"	"dod_month1"	"dod_day1"	"dod_computable1"	"dod_has_range"	"dod_year2"	"dod_month2"	"dod_day2"	"dod_computable2"	"dod_annotion"	"dod_annotion_ref"	"further_annotation"
"luther_martin_viaf_14773105"	"individual"	"male"	"14773105"	"Martin LUTHER [COE] // Martin Luther [CWE] // Luther, Martin [ALLEN]"	"Lutherus // Eleutherus"	"COE II, 360-363"	"eisleben_lutherstadt_DE_gid_7284571"	"Eisleben"	"COE II, 360-363"	"1483"	"11"	"10"	"1483-01-10"	"0"	"1483"	"11"	"10"	"1483-01-10"	"10 November 1483"	"COE II, 360-363"	"eisleben_lutherstadt_DE_gid_7284571"	"Eisleben"	"COE II, 360-363"	"1546"	"02"	"18"	"1546-02-18"	"0"	"1546"	"02"	"18"	"1546-02-18"	"18 February 1546"	"COE II, 360-363"	""
"lang_johann_viaf_67343955"	"individual"	"male"	"67343955"	"Johann LANG [COE] // Johann Lang [CWE] // Lang, John [ALLEN]"	"Lang // Lange // Langius // Langus // Langk // Longus // Langen"	"GND"	"erfurt_DE_gid_2929670"	"Erfurt"	"COE II, 287-289"	"1487"	NULL	NULL	"1487-01-01"	"1"	"1487"	NULL	NULL	"1487-12-31"	"1487 (?)"	"NDB"	"erfurt_DE_gid_2929670"	"Erfurt"	"COE II, 287-289"	"1548"	"04"	"02"	"1548-04-04"	"0"	"1548"	"04"	"02"	"1548-04-04"	"2 April 1548"	"COE II, 287-289"	""
"pflug_julius_von_viaf_3265533"	"individual"	"male"	"3265533"	"Julius PFLUG [COE] // Julius Pflug [CWE] // Pflug, Julius [ALLEN]"	NULL	NULL	"eythra_DE_gid_2928237"	"Eytra, near Leipzig"	"COE III, 77-78"	"1499"	NULL	NULL	"1499-01-01"	"1"	"1499"	NULL	NULL	"1499-12-31"	"1499"	"COE III, 77-78"	"naumburg_DE_gid_2866906"	"Naumburg"	"COE III, 77-78"	"1564"	"09"	"03"	"1564-09-03"	"0"	"1564"	"09"	"03"	"1564-09-03"	"3 September 1564"	"COE III, 77-78"	""
"leo_x_pope_viaf_316407579"	"individual"	"male"	"316407579"	"Pope LEO X [COE] // Leo X / Giovanni de' Medici [CWE] // Leo X, Pope [ALLEN]"	"Giovanni de' Medici"	"COE II, 319-322"	"florence_IT_gid_3176959"	"Florence"	"COE II, 319-322"	"1475"	"12"	"11"	"1475-12-11"	"0"	"1475"	"12"	"11"	"1475-12-11"	"11 December 1475"	"COE II, 319-322"	"rome_IT_gid_3169070"	"Rome"	"COE II, 319-322"	"1521"	"12"	"01"	"1521-12-01"	"0"	"1521"	"12"	"01"	"1521-12-01"	"1 December 1521"	"COE II, 319-322"	""
"capito_wolfgang_viaf_61578502"	"individual"	"male"	"61578502"	"Wolfgang Faber CAPITO [COE] // Wolfgang Capito [CWE] // Capito, Wolfgang Fabricius (Köpfel) [ALLEN]"	"Capito // Luithold // Luitholdus // Capiton // Cephalaeus // Köphel // Köphl // Cephaleus // Köpphel // Faber // Luithold // Köpffel // Köpfel // Koepfel"	"GND"	"haguenau_FR_gid_3014078"	"Hagenau/Elsaß"	"HGK I, 163"	"1478"	NULL	NULL	"1478-01-01"	"1"	"1478"	NULL	NULL	"1478-12-31"	"1478"	"HGK I, 163"	"strasbourg_FR_gid_2973783"	"Straßburg"	"HGK I, 163"	"1541"	"11"	"02"	"1541-11-02"	"0"	"1541"	"11"	"02"	"1541-11-02"	"2 November 1541"	"COE I, 261-264"	""
"hessus_helius_eobanus_viaf_71412338"	"individual"	"male"	"71412338"	"Helius EOBANUS Hessus [COE] // Helius Eobanus Hessus [CWE] // Eobanus, Helius (Hessus) [ALLEN]"	"Koch // Hesse // Hessi // Hess // von Frankenberg"	"GND"	"halgehausen_DE_gid_2911550"	"Halgehausen bei Frankenberg/Hessen"	"HGK I, 248"	"1488"	"01"	"06"	"1488-01-06"	"0"	"1488"	"01"	"06"	"1488-01-06"	"6 January 1488"	"COE I, 434-436"	"marburg_an_der_lahn_DE_gid_2873759"	"Marburg/Lahn"	"HGK I, 248"	"1540"	"10"	"04"	"1540-10-04"	"0"	"1540"	"10"	"04"	"1540-10-04"	"4 October 1540"	"COE I, 434-436"	""
"schweiß_alexander_von_viaf_89934990"	"individual"	"male"	"89934990"	"Alexander SCHWEISS [COE] // Alexander Schweiss [CWE] // Schweiss, Alexander [ALLEN]"	"Schweis"	"COE III, 235-236"	"herborn_DE_gid_2906199"	"Herborn, in Hesse"	"COE III, 235-236"	NULL	NULL	NULL	NULL	"1"	NULL	NULL	NULL	NULL	NULL	"COE III, 235-236"	"unknown_location_XX_gid_unknown"	"Unknown"	"COE III, 235-236"	"1533"	NULL	NULL	"1533-01-01"	"1"	"1536"	NULL	NULL	"1536-12-31"	"1533-6"	"COE III, 235-236"	""
"lotzer_johann_(1)_viaf_37256989"	"individual"	"male"	"37256989"	"Johann (I) LOTZER [COE] // Johann Lotzer [CWE] // Lotzer, John [ALLEN]"	"Locerus"	"COE II, 350"	"horb_am_neckar_DE_gid_2899101"	"Horb"	"COE II, 350"	NULL	NULL	NULL	NULL	"1"	NULL	NULL	NULL	NULL	NULL	"COE II, 350"	"unknown_location_XX_gid_unknown"	"Unknown"	"COE II, 350"	NULL	NULL	NULL	NULL	"1"	NULL	NULL	NULL	NULL	NULL	"COE II, 350"	""
"zasius_ulrich_viaf_61645489"	"individual"	"male"	"61645489"	"Udalricus ZASIUS [COE] // Udalricus Zasius [CWE] // Zasius, Ulrich [ALLEN]"	"Zasy // Zäsy // Zazius"	"GND // COE III, 469-473"	"konstanz_DE_gid_2885679"	"Konstanz"	"GND"	"1461"	NULL	NULL	"1461-01-01"	"1"	"1461"	NULL	NULL	"1461-12-31"	"1461"	"COE III, 469-473"	"freiburg_DE_gid_2925177"	"Freiburg im Breisgau"	"GND"	"1535"	"11"	"24"	"1535-11-24"	"0"	"1535"	"11"	"24"	"1535-11-24"	"24 November 1535"	"COE III, 469-473"	""
"bannicius_jacobus_viaf_72207021"	"individual"	"male"	"72207021"	"Jacopo BANNISIO [COE] // Jacopo Bannisio [CWE] // Banisius, Jacobus [ALLEN]"	"Bannisio // Bannicius // Bannisiis // Bannissis // Banisius"	"GND // COE I, 90-91"	"korčula_HR_gid_3197710"	"Korčula"	"COE I, 90-91"	"1466"	"10"	"15"	"1466-10-15"	"0"	"1466"	"10"	"15"	"1466-10-15"	"15 October 1466"	"Pirckheimer BW II, 487"	"unknown_location_XX_gid_unknown"	"Unknown"	"COE I, 90-91"	"1532"	"11"	"19"	"1532-11-19"	"0"	"1532"	"11"	"19"	"1532-11-19"	"19 November 1532"	"COE I, 90-91"	""
