Id	type	gender	viaf_id	Label	known_name_variations	known_name_variations_ref	pob_loc_id	pob_loc_annotation	pob_loc_annotation_ref	dob_year1	dob_month1	dob_day1	dob_computable1	dob_has_range	dob_year2	dob_month2	dob_day2	dob_computable2	dob_annotion	dob_annotion_ref	pod_loc_id	pod_loc_annotation	pod_loc_annotation_ref	dod_year1	dod_month1	dod_day1	dod_computable1	dod_has_range	dod_year2	dod_month2	dod_day2	dod_computable2	dod_annotion	dod_annotion_ref	further_annotation
erasmus_desiderius_viaf_95982394	individual	male	95982394	ERASMUS	NULL	NULL	rotterdam_NL_gid_2747891	bei Rotterdam	HGK I, 250	1469	NULL	NULL	1469-01-01	1	NULL	NULL	NULL	1469-12-31	1469	HGK I, 250	basel_CH_gid_2661604	Basel	HGK I, 250	1536	NULL	NULL	1536-01-01	1	1536	NULL	NULL	1536-12-31	1536	HGK I 250	
rhenanus_beatus_viaf_39415982	individual	male	39415982	BEATUS Rhenanus	Rinower // Licentius Evangelus // Bild // Selezestadiensis // Selestadiensis // Bildius	COE I, 104-109 // GND	sélestat_FR_gid_2975233	Sélestat	COE I, 104-109	1485	08	22	1485-08-22	0	1485	08	22	1485-08-22	22 August 1485	COE I, 104-109	strasbourg_FR_gid_2973783	Strasbourg	COE I, 104-109	1547	07	20	1547-07-20	0	1547	07	20	1547-07-20	20 July 1547	COE I, 104-109	
spalatin_georg_viaf_240011410	individual	male	240011410	Georgius SPALATINUS	Burckhardt // Burkhardt // Burckard // Burkhard // Burkard // Burckart // Burckard // Spalatin // Burghardt // Burchardus	GND	spalt_DE_gid_2830849	Spalt	COE III, 266-268	1484	01	17	1484-01-17	0	1484	01	17	1484-01-17	17 January 1484	COE III, 266-268	altenburg_DE_gid_2957773	Altenburg	COE III, 266-268	1545	01	16	1545-01-16	0	1545	01	16	1545-01-16	16 January 1545	COE III, 266-268	
hutten_ulrich_von_viaf_95193756	individual	male	95193756	Ulrich von HUTTEN	Huttenus // ab Hutten	HGK I, 350	steckelberg_castle_DE_gid_unknown	Burg Steckelberg bei Schlüchtern nahe Fulda/Hessen	HGK I, 350	1488	04	21	1488-04-21	0	1488	04	21	1488-04-21	21 April 1488	COE II, 216-220	ufenau_CH_gid_7669974	Insel Ufenau im Zürichsee	HGK I, 350	1523	08	NULL	1523-08-20	1	1523	08	NULL	1523-08-31	end of August 1523	COE II, 216-220	
huttich_johann_viaf_5722622	individual	male	5722622	Johann HUTTICH	Eutychius // Huttichius // Hutichius // Huthichius	COE II, 220-221 // GND	strinz_trinitatis_DE_gid_2825809	Strinz in the Taunus	COE II, 220-221	1490	NULL	NULL	1490-01-01	1	1490	NULL	NULL	1490-12-31	ca. 1490	Reuchlin BW Leseausgabe Bd.IV, 229	strasbourg_FR_gid_2973783	Straßburg	GND	1544	03	04	1544-03-04	0	1544	03	04	1544-03-04	4 March 1544	COE II, 220-221	
frederick_iii_elector_of_saxony_viaf_316392243	individual	male	316392243	Frederick III, elector of SAXONY	NULL	NULL	torgau_DE_gid_2821807	Torgau	COE III, 203-205	1463	01	17	1463-01-17	0	1463	01	17	1463-01-17	17 January 1463	COE III, 203-205	lochau_DE_gid_2876645	Lochau	COE III, 203-205	1525	05	05	1525-05-05	0	1525	05	05	1525-05-05	5 May 1525	COE III, 203-205	
neuenar_hermann_graf_von_viaf_18164526	individual	male	18164526	Hermann von NEUENAHR	Neuenar // Nuenar // Newenaer // Nova Aquila	GND	unknown_location_in_germany_DE_gid_unknown	Unknown	COE III, 14-15	1492	NULL	NULL	1492-01-01	1	1492	NULL	NULL	1492-12-31	c 1492	COE III, 14-15	augsburg_DE_gid_2954172	Augsburg	COE III, 14-15	1530	10	30	1530-10-30	0	1530	10	30	1530-10-30	30 October 1530	COE III, 14-15	
egnazio_giovanni_battista_viaf_100187526	individual	male	100187526	Giambattista EGNAZIO	Cipelli // Cipolles // Aegnatius // Egnatius // Egnace // Egnatio	GND	venice_IT_gid_3164603	Venice	COE I, 424-425	1478	NULL	NULL	1478-01-01	1	1478	NULL	NULL	1478-12-31	1478	COE I, 424-425	unknown_location_XX_gid_unknown	Unknown	COE I, 424-425	1553	07	04	1553-07-04	0	1553	07	04	1553-07-04	4 July 1553	COE I, 424-425	
emser_hieronymus_viaf_19702295	individual	male	19702295	Hieronymus EMSER	Emßer // Embser // Empse // Emsser	GND	weidenstetten_DE_gid_2812958	Weidenstetten bei Ulm	HGK I, 246	1479	03	28	1479-03-28	0	1479	03	28	1479-03-28	28 March 1479	COE I, 429-430	dresden_DE_gid_2935022	Dresden	HGK I, 246	1527	12	08	1527-12-08	0	1527	12	08	1527-12-08	8 December 1527	COE I, 429-430	HGK I gibt abweichend 1478 als DoB an
oecolampadius_johann_viaf_56634092	individual	male	56634092	Johannes OECOLAMPADIUS	Oecolampadius // Ökolampadius // Heussgen // Hausschein // Haußschein // Hußschin // Oecolampade // Oecolompadius // Ocolampadius // Oecolamp. // Oekolampad // Hussgen // Husschin // Hußschyn // Oekolampadius // Icolampadius // Ecolampadius // Decolampadios // Ecolampade // Huszgen // Ecolampadio	GND	weinsberg_DE_gid_2812158	Weinsberg	COE III, 24-27	1482	NULL	NULL	1482-01-01	1	1482	NULL	NULL	1482-12-31	1482	COE III, 24-27	basel_CH_gid_2661604	Basel	COE III, 24-27	1531	11	22	1531-11-22	1	1531	11	23	1531-11-23	22/3 November 1531	COE III, 24-27	
cochlæus_johannes_viaf_121589726	individual	male	121589726	Johannes COCHLAEUS	Dobnek // Cocleus // Cochleus // Cochläus // Dobeneck // Dobenek Wendelstenius	GND	wendelstein_DE_gid_2811292	Wendelstein bei Schwabach/Mittelfranken	HGK I, 189	1479	NULL	NULL	1479-01-01	1	1479	NULL	NULL	1479-12-31	1479	HGK I, 189	wrocław_PL_gid_3081368	Breslau	HGK I, 189	1552	01	10	1552-01-10	0	1552	01	10	1552-01-10	10 January 1552	COE I, 321-322	
