"correspondents_id","NoEPPfromEra","NoEPPtoEra"
"gravius_tielmannus_viaf_unknown","4","6"
"medmann_peter_viaf_unknown","NULL","1"
"riedt_johannes_von_viaf_307306719","1","NULL"
"rinck_johann_viaf_unknown","4","1"
"sobius_jakob_viaf_49520543","NULL","1"
"blarer_thomas_viaf_50052742","NULL","1"
"schmotzer_goerg_viaf_unknown","1","NULL"
"zasius_ulrich_viaf_61645489","10","19"
"vergerio_pietro_paolo_viaf_51698984","1","NULL"
"bannicius_jacobus_viaf_72207021","3","1"
"cortehoeven_dirk_viaf_8201663","NULL","1"
"antonin_jan_viaf_300229095","5","3"
"aychlerus_stanislaus_viaf_10659193","NULL","2"
"boner_jan_viaf_163357497","2","4"
"boner_stanislaw_viaf_163161362","1","NULL"
"johannes_v_breslau_bischof_viaf_69748338","2","2"
"sigismund_i_king_of_poland_viaf_84145052","2","2"
"thurzó_stanislaus_bishop_of_olomouc_viaf_35631755","5","2"
"zimmermann_joseph_viaf_51846661","NULL","1"
"krzycki_andrzej_viaf_3542950","8","1"
"ziegler_jakob_viaf_15074694","1","1"
"gonnell_william_viaf_unknown","8","NULL"
"koler_johann_viaf_84557599","12","14"
"rhegius_urbanus_viaf_17232588","2","1"
"gusebel_johannes_viaf_5746266","1","NULL"
"glapion_jean_viaf_308204333","1","NULL"
"selve_jean_de_viaf_27411548","2","NULL"
"richardot_pierre_viaf_unknown","1","1"
"bertulphus_hilarius_viaf_208867782","2","NULL"
"marius_augustinus_viaf_64816093","1","NULL"
"hegendorph_christoph_viaf_54260943","1","NULL"
"pistoris_simon_viaf_45210172","5","4"
"fabri_johann_viaf_73844870","6","9"
"bijl_jan_viaf_unknown","1","NULL"
"winckele_jan_van_viaf_unknown","1","NULL"
"henckel_johannes_viaf_42653796","4","3"
"béda_noël_viaf_54135945","7","4"
"berselius_paschasius_viaf_unknown","3","3"
"hollonius_lambertus_viaf_unknown","NULL","1"
"marck_antoine_de_la_viaf_unknown","2","NULL"
"afinius_ henricus_viaf_220463086","4","NULL"
"jean_(1)_le_sauvage_viaf_287915538","3","1"
"james_v_king_of_scotland_viaf_268774695","1","1"
"freisleben_christoph_viaf_15826485","NULL","1"
"john_iii_king_of_portugal_viaf_59093168","1","NULL"
"könneritz_andreas_von_viaf_80525464","1","NULL"
"könneritz_christoph_von_viaf_80525504","1","NULL"
"colet_john_viaf_34454805","16","7"
"croke_richard_viaf_67250364","1","NULL"
"lupset_thomas_viaf_89034021","5","4"
"more_john_viaf_88670570","2","NULL"
"more_thomas_sir_saint_viaf_29541174","25","24"
"roper_margaret_viaf_20552280","2","1"
"greverade_adolf_viaf_unknown","1","NULL"
"northoff_christian_viaf_unknown","5","NULL"
"della_rena_andrea_viaf_77136743","32","14"
"gigli_silvestro_viaf_unknown","4","1"
"vannes_pietro_viaf_unknown","3","NULL"
"phoenix_petrus_viaf_uncertain","1","NULL"
"carinus_ludwig_viaf_27885311","3","NULL"
"mykonius_oswald_viaf_22936778","1","NULL"
"grolier_jean_viaf_51698044","1","NULL"
"dubois_françois_viaf_100900896","2","NULL"
"rescius_rutgerus_viaf_76304064","2","1"
"schetz_erasmus_viaf_101339450","44","36"
"brunfels_otto_viaf_34489382","1","2"
"chilius_adrianus_viaf_uncertain","NULL","1"
"warham_william_viaf_58070815","19","6"
"baïf_lazare_de_viaf_12351164","2","NULL"
"hoxwier_hector_van_viaf_unknown","1","2"
"torresani_gian_francesco_viaf_72229342","4","1"
"wary_nicolas_viaf_unknown","4","NULL"
"carondelet_ferry_viaf_55078138","2","NULL"
"kammen_adriaan_van_der_viaf_unknown","NULL","1"
"longolius_christopherus_viaf_12405190","1","NULL"
"robbyns_jan_viaf_unknown","3","1"
"sucket_jan_(i)_viaf_unknown","1","NULL"
"piso_jacob_viaf_46572011","1","3"
"stercke_jan_viaf_unknown","NULL","1"
"georg_duke_of_saxony_viaf_52484350","21","10"
"johann_der_beständige_elector_of_saxony_viaf_37263134","1","NULL"
"komerstadt_georg_von_viaf_32781601","1","NULL"
"platz_ludwig_viaf_unknown","1","NULL"
"wain_gervasius_viaf_253292025","1","2"
"welser_bartholomäus_viaf_42633711","NULL","1"
"calvo_francesco_viaf_304955328","1","NULL"
"goclenius_conrad_viaf_100370860","15","18"
"bovollino_martino_viaf_233179910","NULL","2"
"heresbach_conrad_viaf_5740065","1","2"
"cantiuncula_claudius_viaf_74646923","1","1"
"jacobus_antonii_viaf_89039252","2","NULL"
"campeggi_lorenzo_viaf_9837370","13","2"
"conti_prime_de'_viaf_unknown","NULL","1"
"francesco_ii_sforza_duke_of_milan_viaf_32110035","1","NULL"
"marliano_luigi_viaf_160695839","3","1"
"trivulzio_agostino_viaf_252903656","2","NULL"
"ephorinus_anzelm_viaf_162342507","NULL","5"
"sadoleto_jacopo_viaf_76326881","7","9"
"sadoleto_paolo_viaf_75692067","1","NULL"
"glareanus_henricus_viaf_73950690","7","5"
"coppin_nicolas_viaf_unknown","1","NULL"
"riquinus_simon_viaf_37734565","NULL","2"
"aleandro_girolamo_viaf_17319843","1","5"
"schiner_matthäus_viaf_184814357","5","NULL"
"artolf_hieronymus_viaf_unknown","NULL","1"
"dorpius_martinus_viaf_17233237","4","6"
"nesen_wilhelm_viaf_59901043","5","3"
"johann_iii_trier_erzbischof_viaf_5738878","1","NULL"
"widmanstetter_johann_albrecht_viaf_100214715","NULL","1"
"lachner_wolfgang_viaf_62650596","2","NULL"
"gruyères_léonard_de_viaf_unknown","7","2"
"storch_ambrosius_viaf_89269911","14","21"
"tayspil_daniël_viaf_unknown","1","NULL"
"schepper_cornelis_duplicius_de_viaf_95137124","1","2"
"craneveldt_frans_van_viaf_54955515","5","3"
"geldenhauer_gerard_viaf_12331377","9","2"
"leone_ambrogio_viaf_27223230","1","1"
"jonas_justus_viaf_32044388","6","NULL"
"thomas_georg_viaf_unknown","NULL","1"
"accardo_mariano_viaf_90314047","NULL","2"
"cousin_gilbert_viaf_121908936","2","5"
"haner_johann_viaf_10904398","NULL","1"
"kleberger_hans_viaf_21316184","1","NULL"
"trazegnies_jean_de_viaf_23295460","2","NULL"
"venatorius_thomas_viaf_43677502","NULL","1"
"dungersheim_hieronymus_viaf_41887098","NULL","1"
"volz_paul_viaf_59903208","4","6"
"ruiz_de_virués_alonso_viaf_89519337","2","3"
"angleberme_jean_pyrrhus_de_viaf_59228519","1","NULL"
"angleberme_pierre_de_viaf_unknown","1","NULL"
"béraud_nicolas_viaf_9955323","5","4"
"bonfiglio_luca_viaf_43031726","1","NULL"
"fernández_de_madrid_alonso_viaf_88700304","1","1"
"giberti_giovanni_matteo_viaf_74583902","3","3"
"budé_guillaume_viaf_105878228","25","23"
"danès_pierre_viaf_9882374","1","NULL"
"gaigny_jean_de_viaf_85041114","1","NULL"
"guillard_louis_viaf_172190973","1","NULL"
"berquin_louis_de_viaf_61541805","3","2"
"ritius_hieronymus_viaf_2869186","1","1"
"odoni_giovanni_angelo_viaf_unknown","NULL","1"
"bartolini_riccardo_viaf_15583224","1","2"
"gerbel_nicolaus_viaf_60906847","1","7"
"reuchlin_johann_viaf_66542815","6","3"
"villani_bartolomeo_viaf_unknown","NULL","1"
"biétry_thiébaut_viaf_unknown","2","2"
"sepúlveda_juan_ginés_de_viaf_39405614","3","5"
"mazzolini_silvestro_da_prierio_viaf_4903823","1","NULL"
"cromwell_thomas_earl_of_essex_viaf_29523928","1","NULL"
"stibar_von_rabenek_viaf_37863206","4","4"
"utenheim_christoph_von_viaf_64412735","5","2"
"rotenhan_sebastian_von_viaf_29835542","1","NULL"
"listrius_gerardus_viaf_173705449","3","3"
"episcopius_nicolaus_viaf_100388966","3","NULL"
"casali_battista_viaf_4293346","NULL","1"
"foxe_richard_viaf_34703866","3","NULL"
"erasmus_desiderius_viaf_95982394","NULL","NULL"
"rogerus_servatius_viaf_unknown","14","NULL"
"klett_lukas_viaf_unknown","1","3"
"pellicanus_konrad_viaf_41862976","4","3"
"rhodiginus_lodovicus_caelius_viaf_89608307","NULL","1"
"winnmann_nikolaus_viaf_39729055","1","1"
"toussain_pierre_viaf_55019278","1","NULL"
"champier_symphorien_viaf_88038642","NULL","1"
"burgauer_benedikt_viaf_170699214","NULL","1"
"göbler_justinus_viaf_37793830","NULL","1"
"fonseca_alonso_de_viaf_3902488","5","3"
"botzheim_johannes_von_viaf_40125681","8","18"
"busche_hermann_von_dem_viaf_27087291","3","1"
"riario_raffaello_viaf_25474452","1","1"
"baldung_hieronymus_pius_viaf_18035013","NULL","1"
"sinapius_johannes_viaf_50037880","2","1"
"marck_érard_de_la_viaf_20477461","8","1"
"coronel_ludovicus_viaf_349420","1","NULL"
"manrique_de_lara_alfonso_viaf_89177082","7","NULL"
"bucer_martin_viaf_2478527","2","NULL"
"kierher_johannes_viaf_249489967","1","1"
"rhenanus_beatus_viaf_39415982","8","8"
"sapidus_johannes_viaf_24771033","3","5"
"schürer_matthias_viaf_102445072","2","1"
"spiegel_jakob_viaf_24846746","NULL","3"
"villinger_jakob_viaf_42669581","1","NULL"
"wimpheling_jakob_viaf_19699237","4","4"
"mexía_cristóbal_viaf_unknown","2","NULL"
"mexía_pedro_viaf_37733377","2","NULL"
"oláh_miklós_viaf_9923869","13","17"
"cordus_euricius_viaf_122063278","1","NULL"
"hondt_jan_de_viaf_19940051","7","1"
"hasenberg_johann_viaf_250734458","NULL","1"
"groffik_jakub_viaf_unknown","NULL","1"
"spalatin_georg_viaf_240011410","6","3"
"hatten_maternus_viaf_unknown","1","1"
"hutten_ulrich_von_viaf_95193756","5","6"
"pole_reginald_viaf_37029945","3","NULL"
"bathodius_lukas_der_ältere_viaf_825429","NULL","1"
"luscinius_ottmar_viaf_10620240","NULL","1"
"sturm_jakob_viaf_42633585","1","1"
"huttich_johann_viaf_5722622","1","NULL"
"aytta_bernhard_bucho_van_viaf_unknown","1","NULL"
"vel_caspar_ursinus_viaf_79441643","5","6"
"szydłowiecki_krzysztof_viaf_18320094","7","NULL"
"buscoducensis_nicolas_viaf_167110308","1","1"
"plateanus_petrus_viaf_22285877","NULL","1"
"knopken_andreas_viaf_151746467","1","NULL"
"cox_leonard_viaf_25801523","1","1"
"hillweg_theobald_viaf_unknown","1","NULL"
"aggaeus_augustinus_viaf_30349638","NULL","1"
"cornelissen_van_mierop_vincent_viaf_unknown","2","NULL"
"bibaucus_guilielmus_viaf_74763357","1","NULL"
"vergara_francisco_viaf_23079828","4","NULL"
"vergara_juan_de_viaf_100470729","6","4"
"tomicki_piotr_viaf_25699004","10","5"
"gracián_diego_viaf_32887288","1","2"
"frederick_iii_elector_of_saxony_viaf_316392243","3","1"
"pins_jean_de_viaf_95268746","4","2"
"blount_charles_v_baron_de_mountjoy_viaf_188706808","5","1"
"molendino_johannes_de_viaf_unknown","1","3"
"tournon_françois_viaf_120736278","1","NULL"
"ricius_paulus_viaf_60018918","1","NULL"
"andreis_franjo_trankvil_viaf_22294763","1","NULL"
"solfa_jan_benedykt_viaf_50385319","NULL","1"
"brassicanus_joannes_alexander_viaf_9899294","2","NULL"
"apocellus_jacobus_viaf_unknown","1","NULL"
"bensrott_nikolaus_viaf_unknown","2","NULL"
"mauch_daniel_viaf_27887955","1","NULL"
"decimarius_petrus_viaf_unknown","2","NULL"
"davidts_maarten_viaf_unknown","1","2"
"linacre_thomas_viaf_59233331","3","NULL"
"bullock_henry_viaf_29103155","4","3"
"le_clerc_nicolas_viaf_unknown","1","NULL"
"maillard_nicolas_viaf_74209788","1","1"
