"recipient_id","Number of letters sent from Erasmus to this correspondent"
"colster_abel_van_viaf_unknown","1"
"bogbinder_hans_viaf_unknown","1"
"phoenix_petrus_viaf_uncertain","1"
"wingfield_richard_viaf_unknown","1"
"latomus_bartholomaeus_viaf_73868162","1"
"danès_pierre_viaf_9882374","1"
"maillard_nicolas_viaf_74209788","1"
"gusebel_johannes_viaf_5746266","1"
"brunfels_otto_viaf_34489382","1"
"pucci_lorenzo_viaf_37813554","1"
"barlandus_hubertus_viaf_9990971","1"
"thale_william_viaf_unknown","1"
"bonfiglio_luca_viaf_43031726","1"
"kierher_johannes_viaf_249489967","1"
"laetus_jodocus_viaf_69745698","1"
"kan_nicolaas_viaf_unknown","1"
"huttich_johann_viaf_5722622","1"
"borssele_anna_van_viaf_unknown","1"
"sadoleto_paolo_viaf_75692067","1"
"vitoria_francisco_de_viaf_100255862","1"
"rem_wolfgang_andreas_viaf_61982771","1"
"bergen_jan_(3)_van_viaf_unknown","1"
"johann_iii_trier_erzbischof_viaf_5738878","1"
"hegendorph_christoph_viaf_54260943","1"
"eck_johann_viaf_100185986","1"
"lotzer_johann_(1)_viaf_37256989","1"
"longolius_christopherus_viaf_12405190","1"
"mauch_daniel_viaf_27887955","1"
"hoogstraten_jacobus_van_viaf_13114285","1"
"herema_gerard_van_viaf_unknown","1"
"ofhuys_gabriël_viaf_unknown","1"
"armagnac_georges_de_viaf_59219003","1"
"walkden_humprey_viaf_unknown","1"
"tournon_françois_viaf_120736278","1"
"sasbout_jodok_viaf_22959409","1"
"louvain_faculty_of_theology_a_member_of_viaf_unknown","1"
"florenas_remaclus_viaf_18036550","1"
"gruntgen_heinrich_viaf_unknown","1"
"horion_guillaume_de_viaf_unknown","1"
"laurinus_matthias_viaf_unknown","1"
"angst_wolfgang_viaf_107637903","1"
"deiotarus_zacharias_viaf_unknown","1"
"james_v_king_of_scotland_viaf_268774695","1"
"georg_von_österreich_viaf_74667947","1"
"effinger_lorenz_viaf_unknown","1"
"grunnius_[corpus_era]_viaf_unknown","1"
"parcius_thomas_viaf_unknown","1"
"toussain_pierre_viaf_55019278","1"
"knopken_andreas_viaf_151746467","1"
"werter_johann_viaf_unknown","1"
"calvo_francesco_viaf_304955328","1"
"winckel_pieter_viaf_unknown","1"
"emili_emilio_viaf_90357556","1"
"metz_chapter_of_cathedral_viaf_not_applicable","1"
"adrianus_[corpus_era]_viaf_unknown","1"
"schepper_cornelis_duplicius_de_viaf_95137124","1"
"coronel_ludovicus_viaf_349420","1"
"riario_raffaello_viaf_25474452","1"
"cajetan_tommaso_de_vio_viaf_49196005","1"
"burgundy_nicolas_of_viaf_unknown","1"
"alardet_claude_louis_viaf_314873892","1"
"rotenhan_sebastian_von_viaf_29835542","1"
"wied_hermann_von_viaf_71607602","1"
"ricius_paulus_viaf_60018918","1"
"lascaris_janus_viaf_32142389","1"
"calcagnini_celio_viaf_76366882","1"
