"Id","type","gender","Label","pob_loc_id","pob_loc_annotation","dob_year1","dob_computable1","dob_has_range","dob_year2","dob_computable2","pod_loc_id","pod_loc_annotation","dod_year1","dod_computable1","dod_has_range","dod_year2"
"fa8b4f44-551f-4cc6-a4f7-d5fb957064ae","individual","male","Janus LASCARIS [COE] // Johannes Lascaris [CWE] // Lascaris, John (Janus) [ALLEN]","İstanbul_TR_gid_745044","Constantinople","1445","1445-01-01","1","1445","1445-12-31","rome_IT_gid_3169070","Rome","1534","1534-12-07","0","1534"
"abe3a7de-94f2-4ff0-9a0a-54cf05c651db","individual","male","Adolf EICHHOLZ [COE] // Adolf Eichholz [CWE] // Eichholz, Adolphus (Roboreus Dryoxylus) [ALLEN]","köln_DE_gid_2886242","Cologne","1487","1487-01-01","1","1489","1489-12-31","köln_DE_gid_2886242","Köln","1563","1563-07-01","1","1563"
"a9779b0b-cb2b-4a48-84c4-940449ef5c3c","individual","male","Udalricus ZASIUS [COE] // Udalricus Zasius [CWE] // Zasius, Ulrich [ALLEN]","konstanz_DE_gid_2885679","Konstanz","1461","1461-01-01","1","1461","1461-01-31","freiburg_DE_gid_2925177","Freiburg im Breisgau","1535","1535-11-24","0","1535"
"763f4d64-dffb-40eb-bc45-2fde4992223e","individual","male","Thomas MORE [COE] // Thomas More [CWE] // More, Sir Thomas [ALLEN]","london_GB_gid_2643743","London","1477","1477-02-06","1","1478","1478-02-07","london_GB_gid_2643743","London","1535","1535-07-06","0","1535"
"ce2e340e-9f50-4bd1-95e0-4ab14eaa0d09","individual","male","Richard CROKE [COE] // Richard Croke [CWE] // Croke, Richard [ALLEN]","london_GB_gid_2643743","London","1489","1489-01-01","1","1489","1489-12-31","london_GB_gid_2643743","London","1558","1558-08-20","1","1558"
"fca3ef2d-681d-49ff-b700-1929e91f81a1","individual","male","Thomas LUPSET [COE] // Thomas Lupset [CWE] // Lupset, Thomas [ALLEN]","london_GB_gid_2643743","London","1498","1498-01-01","1","1498","1498-12-31","london_GB_gid_2643743","London","1530","1530-12-27","0","1530"
"ab74d6de-13e3-4b8b-909a-b9471a2d75f3","individual","male","Christophe de LONGUEIL [COE] // Chistophe de Longueil [CWE] // Longolius, Christopher [ALLEN]","mechelen_BE_gid_2791537","Mechelen","1488","1488-01-01","1","1488","1488-12-31","padova_IT_gid_3171728","Padua","1522","1522-09-11","0","1522"
"968b6cc9-aee2-446a-a3e1-665fb91f4aab","individual","male","Claudius CANTIUNCULA [COE] // Claudius Cantiuncula [CWE] // Cantiuncula, Claudius [ALLEN]","metz_FR_gid_2994160","Metz","1490","1490-01-01","1","1490","1490-12-31","ensisheim_FR_gid_3020152","Ensisheim","1549","1549-10-01","1","1549"
"96a63010-6201-4f01-a82f-e6108cb30f08","individual","male","Jacopo SADOLETO [COE] // Jacopo Sadoleto [CWE] // Sadoleto, Jacopo [ALLEN]","modena_IT_gid_3173331","Modena","1477","1477-07-12","0","1477","1477-07-12","rome_IT_gid_3169070","Rome","1547","1547-10-18","0","1547"
"5375f20d-1943-4735-b423-abf59baadfaa","individual","male","Nicolas BÉRAULT [COE] // Nicolas Bérault [CWE] // Beraldus, Nicolaus (Bérault) [ALLEN]","orléans_FR_gid_2989317","Orléans","1470","1470-01-01","1","1470","1470-12-31","unknown_location_XX_gid_unknown","Unknown","1545","1545-01-01","1","1545"
