"letters_id","letter_no_in_edition","sender_id","sender_as_marked","sender_inferred","sender_uncertain","recipient_id","recipient_as_marked","recipient_inferred","recipient_uncertain","label","send_date_year1","send_date_month1","send_date_day1","send_date_computable1","send_date_has_range","send_date_year2","send_date_month2","send_date_day2","send_date_computable2","send_date_as_marked","send_date_inferred","send_date_approx","send_date_uncertain","source_loc_id","source_loc_as_marked","source_loc_inferred","source_loc_uncertain","target_loc_id","target_loc_as_marked","target_loc_inferred","target_loc_uncertain","letter_language","letter_type_genus","letter_type_x_to_x","further_annotation"
"era_cwe_1162","1162 [CWE] // 1162 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","more_thomas_sir_saint_viaf_29541174","Thomas More [CWE]","0","0","1162 To Thomas More Louvain, [c November?] 1520 [CWE]","1520","11","","1520-11-01","1","1520","11","","1520-11-30","[c November?] 1520 [CWE]","1","1","1","leuven_BE_gid_2792482","Louvain [CWE]","0","0","greenwich_GB_gid_2647937","","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_1220","1220 [CWE] // 1220 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","more_thomas_sir_saint_viaf_29541174","Thomas More [CWE]","0","0","1220 To Thomas More Anderlecht, [June-July 1521] [CWE]","1521","06","","1521-06-01","1","1521","07","","1521-07-31","[June-July] 1521 [CWE]","1","0","0","anderlecht_BE_gid_2803201","Anderlecht [CWE]","0","0","greenwich_GB_gid_2647937","","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_1804","1804 [CWE] // 1804 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","more_thomas_sir_saint_viaf_29541174","Thomas More [CWE]","0","0","1804 To Thomas More Basel, 30 March 1527 [CWE]","1527","03","30","1527-03-30","0","1527","03","30","1527-03-30","30 March 1527 [CWE]","0","0","0","basel_CH_gid_2661604","Basel [CWE]","0","0","greenwich_GB_gid_2647937","","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_1959","1959 [CWE] // 1959 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","more_thomas_sir_saint_viaf_29541174","Thomas More [CWE]","0","0","1959 To Thomas More Basel, 29 February 1528 [CWE]","1528","02","29","1528-02-29","0","1528","02","29","1528-02-29","29 February 1528 [CWE]","0","0","0","basel_CH_gid_2661604","Basel [CWE]","0","0","greenwich_GB_gid_2647937","","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_2211","2211 [CWE] // 2211 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","more_thomas_sir_saint_viaf_29541174","Thomas More [CWE]","0","0","2211 To Thomas More Freiburg, 5 September 1529 [CWE]","1529","09","05","1529-09-05","0","1529","09","05","1529-09-05","5 September 1529 [CWE]","0","0","0","freiburg_DE_gid_2925177","Freiburg [CWE]","0","0","cambrai_FR_gid_3029030","","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_222","222 [CWE] // 222 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","more_thomas_sir_saint_viaf_29541174","Thomas More [CWE]","0","0","222 To Thomas More [Paris?], 9 June [1511] [CWE]","1511","06","09","1511-06-09","0","1511","06","09","1511-06-09","9 June [1511] [CWE]","1","0","0","paris_FR_gid_2988507","[Paris?] [CWE]","1","1","london_GB_gid_2643743","","1","0","latin","dedicatory letter","letter_1_to_1",""
"era_cwe_271","271 [CWE] // 271 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","more_thomas_sir_saint_viaf_29541174","Thomas More [CWE]","0","0","271 To Thomas More Cambridge, Uuly 1513] [CWE]","1513","07","","1513-07-01","1","1513","07","","1513-07-31","[July 1513] [CWE]","1","0","0","cambridge_GB_gid_2653941","Cambridge [CWE]","0","0","london_GB_gid_2643743","","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_412","412 [CWE] // 412 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","more_thomas_sir_saint_viaf_29541174","Thomas More [CWE]","0","0","412 To Thomas More [Brussels], [c 23 June 1516] [CWE]","1516","06","03","1516-06-03","0","1516","06","03","1516-06-03","[c 3 June 1516] [CWE]","1","1","0","brussels_BE_gid_2800866","[Brussels] [CWE]","1","0","london_GB_gid_2643743","","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_474","474 [CWE] // 474 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","more_thomas_sir_saint_viaf_29541174","Thomas More [CWE]","0","0","474 To Thomas More Antwerp, 2 October 1516 [CWE]","1516","10","02","1516-10-02","0","1516","10","02","1516-10-02","2 October 1516 [CWE]","0","0","0","antwerpen_BE_gid_2803138","Antwerpen [CWE]","0","0","london_GB_gid_2643743","","1","0","latin","familiar letter","letter_1_to_1",""
"era_cwe_543","543 [CWE] // 543 [ALLEN]","erasmus_desiderius_viaf_95982394","Erasmus of Rotterdam [CWE]","0","0","more_thomas_sir_saint_viaf_29541174","Thomas More [CWE]","0","0","543 To Thomas More Antwerp, 1 March 1517 [CWE]","1517","03","01","1517-03-01","0","1517","03","01","1517-03-01","1 March 1517 [CWE]","0","0","0","antwerpen_BE_gid_2803138","Antwerpen [CWE]","0","0","london_GB_gid_2643743","","1","0","latin","familiar letter","letter_1_to_1",""
