"Id","letter_no_in_edition","Source","sender_inferred","sender_uncertain","Target","recipient_inferred","recipient_uncertain","Label","send_date_year1","send_date_computable1","send_date_has_range","send_date_year2","send_date_computable2","send_date_inferred","send_date_approx","send_date_uncertain","source_loc_id","source_loc_inferred","source_loc_uncertain","target_loc_id","target_loc_inferred","target_loc_uncertain","letter_language","letter_type_genus","letter_type_x_to_x"
"gbudé_lg_34","34 [Budé lettre grecques]","fa8b4f44-551f-4cc6-a4f7-d5fb957064ae","0","0","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","0","0","Ep 34 Lascaris à Budé. Venise, 2 août [1524] [Budé lettres grecques]","1524","1524-08-02","0","1524","1524-08-02","1","0","0","venice_IT_gid_3164603","0","0","unknown_location_in_france_FR_gid_unknown","1","0","greek","familiar letter","letter_1_to_1"
"gbudé_lg_36","36 [Budé lettre grecques]","fa8b4f44-551f-4cc6-a4f7-d5fb957064ae","0","0","c0b89c75-45b8-4b04-bfd7-25bfe9ed040b","0","0","Ep 36 Lascaris à Budé. [Début de l'été 1528] [Budé lettres grecques]","1528","1528-06-01","1","1528","1528-07-30","1","0","1","unknown_location_in_italy_IT_gid_unknown","0","1","unknown_location_in_france_FR_gid_unknown","1","0","greek","familiar letter","letter_1_to_1"
"era_cwe_2071","2071 [CWE] // 2071 [ALLEN]","abe3a7de-94f2-4ff0-9a0a-54cf05c651db","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","2071 From Adolf Eichholz Heimbach, 23 October 1528 [CWE]","1528","1528-10-23","0","1528","1528-10-23","0","0","0","niederheimbach_DE_gid_2863341","0","0","basel_CH_gid_2661604","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_866","866 [CWE] // 866 [ALLEN]","abe3a7de-94f2-4ff0-9a0a-54cf05c651db","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","866 From Adolf Eichholz Cologne, 6 October 1518 [CWE]","1518","1518-10-06","0","1518","1518-10-06","0","0","0","köln_DE_gid_2886242","0","0","leuven_BE_gid_2792482","1","0","latin","familiar letter","letter_1_to_1"
"era_allen_2401","2401 [ALLEN]","a9779b0b-cb2b-4a48-84c4-940449ef5c3c","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","2401 From Ulrich Zasius, Freiburg, 26 Oct. <1530> [ALLEN]","1530","1530-10-26","0","1530","1530-10-26","1","0","0","freiburg_DE_gid_2925177","0","0","freiburg_DE_gid_2925177","1","0","latin","familiar letter","letter_1_to_1"
"era_allen_2602","2602 [ALLEN]","a9779b0b-cb2b-4a48-84c4-940449ef5c3c","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","2602 From Ulrich Zasius, Freiburg, 6 Feb. 1532 [ALLEN]","1532","1532-02-06","0","1532","1532-02-06","0","0","0","freiburg_DE_gid_2925177","0","0","freiburg_DE_gid_2925177","1","0","latin","familiar letter","letter_1_to_1"
"era_allen_2857","2857 [ALLEN]","a9779b0b-cb2b-4a48-84c4-940449ef5c3c","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","2857 From Ulrich Zasius, <Freiburg>, 11 Aug. 1533 [ALLEN]","1533","1533-08-11","0","1533","1533-08-11","0","0","0","freiburg_DE_gid_2925177","1","0","freiburg_DE_gid_2925177","1","0","latin","familiar letter","letter_1_to_1"
"era_allen_2954","2954 [ALLEN]","a9779b0b-cb2b-4a48-84c4-940449ef5c3c","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","2954 From Ulrich Zasius, <Freiburg>, 27 July 1534 [ALLEN]","1534","1534-07-27","0","1534","1534-07-27","0","0","0","freiburg_DE_gid_2925177","1","0","freiburg_DE_gid_2925177","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_1121","1121 [CWE] // 1121 [ALLEN]","a9779b0b-cb2b-4a48-84c4-940449ef5c3c","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","1121 From Udalricus Zasius Freiburg, 13 July [1520] [CWE]","1520","1520-07-13","0","1520","1520-07-13","1","0","0","freiburg_DE_gid_2925177","0","0","leuven_BE_gid_2792482","1","0","latin","familiar letter","letter_1_to_1"
"era_cwe_1266","1266 [CWE] // 1266 [ALLEN]","a9779b0b-cb2b-4a48-84c4-940449ef5c3c","0","0","17c580aa-3ba7-4851-8f26-9b3a0ebeadbf","0","0","1266 From Udalricus Zasius Freiburg, 20 March 1522 [CWE]","1522","1522-03-20","0","1522","1522-03-20","0","0","0","freiburg_DE_gid_2925177","0","0","basel_CH_gid_2661604","1","0","latin","familiar letter","letter_1_to_1"
