"ModernState","Year","NoEppSentFromEra","NoEppSentToEra"
"France","1489","NULL","NULL"
"Italy","1489","NULL","NULL"
"Unknown","1489","1","NULL"
"Belgium","1489","1","NULL"
"Hungary","1489","NULL","NULL"
"Portugal","1489","NULL","NULL"
"Slovakia","1489","NULL","NULL"
"Netherlands","1503","2","1"
"Switzerland","1503","NULL","NULL"
"Czech Republic","1503","NULL","NULL"
"Germany","1503","NULL","NULL"
"Spain","1503","NULL","NULL"
"Poland","1503","NULL","NULL"
"United Kingdom","1503","NULL","NULL"
"Austria","1503","NULL","NULL"
"France","1503","1","NULL"
"Italy","1503","NULL","NULL"
"Unknown","1503","NULL","NULL"
"Belgium","1503","2","NULL"
"Hungary","1503","NULL","NULL"
"Portugal","1503","NULL","NULL"
"Slovakia","1503","NULL","NULL"
"Netherlands","1527","NULL","NULL"
"Switzerland","1527","7","1"
"Czech Republic","1527","NULL","1"
"Germany","1527","11","7"
"Spain","1527","14","13"
"Poland","1527","12","3"
"United Kingdom","1527","10","3"
"Austria","1527","NULL","1"
"France","1527","19","6"
"Italy","1527","1","NULL"
"Unknown","1527","3","NULL"
"Belgium","1527","16","19"
"Hungary","1527","NULL","1"
"Portugal","1527","1","NULL"
"Slovakia","1527","NULL","NULL"
"Netherlands","1504","NULL","NULL"
"Switzerland","1504","NULL","NULL"
"Czech Republic","1504","NULL","NULL"
"Germany","1504","NULL","NULL"
"Spain","1504","NULL","NULL"
"Poland","1504","NULL","NULL"
"United Kingdom","1504","1","NULL"
"Austria","1504","NULL","NULL"
"France","1504","1","NULL"
"Italy","1504","NULL","NULL"
"Unknown","1504","NULL","NULL"
"Belgium","1504","1","NULL"
"Hungary","1504","NULL","NULL"
"Portugal","1504","NULL","NULL"
"Slovakia","1504","NULL","NULL"
"Netherlands","1505","2","NULL"
"Switzerland","1505","NULL","NULL"
"Czech Republic","1505","NULL","NULL"
"Germany","1505","NULL","NULL"
"Spain","1505","NULL","NULL"
"Poland","1505","NULL","NULL"
"United Kingdom","1505","1","NULL"
"Austria","1505","NULL","NULL"
"France","1505","NULL","1"
"Italy","1505","NULL","NULL"
"Unknown","1505","NULL","NULL"
"Belgium","1505","1","NULL"
"Hungary","1505","NULL","NULL"
"Portugal","1505","NULL","NULL"
