"Id"	"letter_no_in_edition"	"sender_id"	"sender_as_marked"	"sender_inferred"	"sender_uncertain"	"recipient_id"	"recipient_as_marked"	"recipient_inferred"	"recipient_uncertain"	"label"	"send_date_year1"	"send_date_month1"	"send_date_day1"	"send_date_computable1"	"send_date_has_range"	"send_date_year2"	"send_date_month2"	"send_date_day2"	"send_date_computable2"	"send_date_as_marked"	"send_date_inferred"	"send_date_approx"	"send_date_uncertain"	"Source"	"source_loc_as_marked"	"source_loc_inferred"	"source_loc_uncertain"	"Target"	"target_loc_as_marked"	"target_loc_inferred"	"target_loc_uncertain"	"letter_language"	"letter_type_genus"	"letter_type_x_to_x"	"further_annotation"
"gbudé_rep_58"	"58 [Répertoire]"	"budé_guillaume_viaf_105878228"	"Guillaume Budé"	"0"	"0"	"sadoleto_jacopo_viaf_76326881"	"Jacques Sadolet"	"0"	"0"	"Ep 58 A Jacques Sadolet. Marly, 24 février 1520"	"1520"	"02"	"24"	"1520-02-24"	"0"	"1520"	"02"	"24"	"1520-02-24"	"24 février 1520"	"0"	"0"	"0"	"marly_la_ville_FR_gid_2995653"	"Marly"	"0"	"0"	"rome_IT_gid_3169070"	"[Rome]"	"1"	"1"	"latin"	"familiar letter"	"letter_1_to_1"	NULL
"gbudé_rep_59"	"59 [Répertoire]"	"budé_guillaume_viaf_105878228"	"Guillaume Budé"	"0"	"0"	"le_picart_jean_viaf_unknown"	"Jean Le Picart"	"0"	"0"	"Ep 59 A Jean Le Picart. Marly, 24 février [1520]"	"1520"	"02"	"24"	"1520-02-24"	"0"	"1520"	"02"	"24"	"1520-02-24"	"24 février [1520]"	"1"	"0"	"0"	"marly_la_ville_FR_gid_2995653"	"Marly"	"0"	"0"	"paris_FR_gid_2988507"	"[Paris]"	"1"	"1"	"latin"	"familiar letter"	"letter_1_to_1"	NULL
"gbudé_rep_6"	"15 [Budé lettres grecques] // 6 [Répertoire]"	"budé_guillaume_viaf_105878228"	"Guillaume Budé"	"0"	"0"	"budé_louis_viaf_uncertain"	"Louis Budé"	"0"	"0"	"Ep. 6 A Louis Budé. Paris, le 19 janvier [1517]"	"1517"	"01"	"19"	"1517-01-19"	"0"	"1517"	"01"	"19"	"1517-01-19"	"le 19 janvier [1517]"	"1"	"0"	"0"	"paris_FR_gid_2988507"	"Paris"	"0"	"0"	"troyes_FR_gid_2971549"	"[Troyes]"	"0"	"1"	"greek"	"familiar letter"	"letter_1_to_1"	"this is also Budé lettres grecques No. 15"
"gbudé_rep_60"	"60 [Répertoire]"	"budé_guillaume_viaf_105878228"	"Guillaume Budé"	"0"	"0"	"béraud_nicolas_viaf_9955323"	"Nicole Bérault"	"0"	"0"	"Ep 60 A Nicole Bérault. Marly, 24 février [1520]"	"1520"	"02"	"24"	"1520-02-24"	"0"	"1520"	"02"	"24"	"1520-02-24"	"24 février [1520]"	"1"	"0"	"0"	"marly_la_ville_FR_gid_2995653"	"Marly"	"0"	"0"	"paris_FR_gid_2988507"	"[Paris]"	"1"	"1"	"latin"	"familiar letter"	"letter_1_to_1"	NULL
"gbudé_rep_62"	"62 [Répertoire]"	"budé_guillaume_viaf_105878228"	"Guillaume Budé"	"0"	"0"	"ruzé_louis_viaf_306487693"	"Louis Ruzé"	"0"	"0"	"Ep 62 A Louis Ruzé, lieutenant civil. Marly, 6 mars 1520"	"1520"	"03"	"06"	"1520-03-06"	"0"	"1520"	"03"	"06"	"1520-03-06"	"6 mars 1520"	"0"	"0"	"0"	"marly_la_ville_FR_gid_2995653"	"Marly"	"0"	"0"	"paris_FR_gid_2988507"	"[Paris]"	"1"	"1"	"latin"	"familiar letter"	"letter_1_to_1"	NULL
"gbudé_rep_63"	"63 [Répertoire]"	"budé_guillaume_viaf_105878228"	"Guillaume Budé"	"0"	"0"	"cantiuncula_claudius_viaf_74646923"	"Claude Chansonnette"	"0"	"0"	"Ep 63 A Claude Chansonnette. Marly, 28 mars [1520]"	"1520"	"03"	"28"	"1520-03-28"	"0"	"1520"	"03"	"28"	"1520-03-28"	"28 mars [1520]"	"1"	"0"	"0"	"marly_la_ville_FR_gid_2995653"	"Marly"	"0"	"0"	"basel_CH_gid_2661604"	"[Basel]"	"0"	"1"	"latin"	"familiar letter"	"letter_1_to_1"	NULL
"gbudé_rep_64"	"64 [Répertoire]"	"budé_guillaume_viaf_105878228"	"Guillaume Budé"	"0"	"0"	"le_picart_jean_viaf_unknown"	"Jean Le Picart"	"0"	"0"	"Ep 64 A Jean Le Picart. Marly, 1er avril [1520]"	"1520"	"04"	"01"	"1520-04-01"	"0"	"1520"	"04"	"01"	"1520-04-01"	"1er avril [1520]"	"1"	"0"	"0"	"marly_la_ville_FR_gid_2995653"	"Marly"	"0"	"0"	"paris_FR_gid_2988507"	"[Paris]"	"1"	"1"	"latin"	"familiar letter"	"letter_1_to_1"	NULL
"gbudé_rep_65"	"2 [Budé lettres grecques] // 65 [Répertoire]"	"budé_guillaume_viaf_105878228"	"Guillaume Budé"	"0"	"0"	"brie_germain_de_viaf_227062191"	"Germain de Brie"	"0"	"0"	"Ep 65 A Germain de Brie. Marly, 5 avril [1520]"	"1520"	"04"	"05"	"1520-04-05"	"0"	"1520"	"04"	"05"	"1520-04-05"	"5 avril [1520]"	"1"	"0"	"0"	"marly_la_ville_FR_gid_2995653"	"Marly"	"0"	"0"	"paris_FR_gid_2988507"	"[Paris]"	"0"	"1"	"greek"	"familiar letter"	"letter_1_to_1"	"this is also Budé lettres grecques No. 2 // it is noteworthy that Budé lettres grecques specifies 4 april [1520] without giving an explanation"
"gbudé_rep_66"	"66 [Répertoire]"	"budé_guillaume_viaf_105878228"	"Guillaume Budé"	"0"	"0"	"vives_juan_luis_viaf_71399403"	"Louis Vivès"	"0"	"0"	"Ep 66 A Louis Vivès. Marly, 23 avril [1520]"	"1520"	"04"	"23"	"1520-04-23"	"0"	"1520"	"04"	"23"	"1520-04-23"	"23 avril [1520]"	"1"	"0"	"0"	"marly_la_ville_FR_gid_2995653"	"Marly"	"0"	"0"	"leuven_BE_gid_2792482"	"[Leuven]"	"1"	"1"	"latin"	"familiar letter"	"letter_1_to_1"	NULL
"gbudé_rep_67"	"67 [Répertoire]"	"budé_guillaume_viaf_105878228"	"Guillaume Budé"	"0"	"0"	"vives_juan_luis_viaf_71399403"	"Louis Vivès"	"0"	"0"	"Ep 67 A Louis Vivès. Marly, 2 mai [1520]"	"1520"	"05"	"02"	"1520-05-02"	"0"	"1520"	"05"	"02"	"1520-05-02"	"2 mai [1520]"	"1"	"0"	"0"	"marly_la_ville_FR_gid_2995653"	"Marly"	"0"	"0"	"leuven_BE_gid_2792482"	"[Leuven]"	"1"	"1"	"latin"	"familiar letter"	"letter_1_to_1"	NULL
"gbudé_rep_68"	"22 [Budé lettres grecques] // 68 [Répertoire]"	"budé_guillaume_viaf_105878228"	"Guillaume Budé"	"0"	"0"	"lamy_pierre_viaf_unknown"	"Pierre Lamy, franciscain"	"0"	"0"	"Ep 68 A Pierre Lamy, franciscain. Marly, 2 mai [1520]"	"1520"	"05"	"02"	"1520-05-02"	"0"	"1520"	"05"	"02"	"1520-05-02"	"2 mai [1520]"	"1"	"0"	"0"	"marly_la_ville_FR_gid_2995653"	"Marly"	"0"	"0"	"fontenay_le_comte_FR_gid_3017921"	"[Fontenay-le-Comte]"	"0"	"1"	"greek"	"familiar letter"	"letter_1_to_1"	"this is also Budé lettres grecques No. 22"
"gbudé_rep_69"	"48 [Budé lettres grecques] // 69 [Répertoire]"	"budé_guillaume_viaf_105878228"	"Guillaume Budé"	"0"	"0"	"du_mayne_guillaume_viaf_2808362"	"Guillaume du Maine"	"0"	"0"	"Ep 69 A Guillaume du Maine. Ardres, 17 mai [1520]"	"1520"	"05"	"17"	"1520-05-17"	"0"	"1520"	"05"	"17"	"1520-05-17"	"17 mai [1520]"	"1"	"0"	"0"	"ardres_FR_gid_3037113"	"Ardres"	"0"	"0"	"paris_FR_gid_2988507"	"[Paris]"	"0"	"1"	"greek"	"familiar letter"	"letter_1_to_1"	"this is also Budé lettres grecques No. 48"
"gbudé_rep_72"	"72 [Répertoire]"	"budé_guillaume_viaf_105878228"	"Guillaume Budé"	"0"	"0"	"ruzé_louis_viaf_306487693"	"Louis Ruzé"	"0"	"0"	"Ep 72 A Louis Ruzé. Ecrit à Marly, à l'heure même du dîner, car le domestiqe de Ruzé demandait à repartr [1520]"	"1520"	NULL	NULL	"1520-01-01"	"1"	"1520"	NULL	NULL	"1520-12-31"	"à l'heure même du dîner, car le domestiqe de "	"1"	"0"	"0"	"marly_la_ville_FR_gid_2995653"	"Marly"	"0"	"0"	"paris_FR_gid_2988507"	"[Paris]"	"1"	"1"	"latin"	"familiar letter"	"letter_1_to_1"	NULL
