"correspondents_id","type","gender","viaf_id","name_in_edition","known_name_variations","known_name_variations_ref","pob_loc_id","pob_loc_annotation","pob_loc_annotation_ref","dob_year1","dob_month1","dob_day1","dob_computable1","dob_has_range","dob_year2","dob_month2","dob_day2","dob_computable2","dob_annotion","dob_annotion_ref","pod_loc_id","pod_loc_annotation","pod_loc_annotation_ref","dod_year1","dod_month1","dod_day1","dod_computable1","dod_has_range","dod_year2","dod_month2","dod_day2","dod_computable2","dod_annotion","dod_annotion_ref","further_annotation"
"brugnard_antoine_viaf_unknown","individual","male","unknown","Antoine BRUGNARD [COE] // Antoine Brugnard [CWE] // Brugnarius, Antonius [ALLEN]","Brugnarius // Brognard","COE I, 205","brognard_FR_gid_3029949","Brognard, near Montbéliard","COE I, 205","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 205","unknown_location_XX_gid_unknown","Unknown","COE I, 205","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 205","NULL"
"caduceator_henricus_viaf_unknown","individual","male","unknown","Henricus CADUCEATOR [COE] // Henricus Caduceator [CWE] // Caduceator, Henry [ALLEN]","NULL","NULL","aschaffenburg_DE_gid_2955272","Aschaffenburg","COE I, 238","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 238","unknown_location_XX_gid_unknown","Unknown","COE I, 238","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 238","NULL"
"canta_jacobo_viaf_unknown","individual","male","unknown","Jacopo CANTA [COE] // Jacopo Canta [CWE] // Canta, James [ALLEN]","NULL","NULL","asti_IT_gid_3182714","Asti","COE I, 258","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 258","unknown_location_XX_gid_unknown","Unknown","COE I, 258","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 258","NULL"
"cassander_franciscus_viaf_unknown","individual","male","unknown","Franciscus CASSANDER [COE] // Franciscus Cassander [CWE] // Cassander, Francis [ALLEN]","NULL","NULL","colmars_FR_gid_3024292","Colmars (Département Alpes-de-Haute-Provence)","COE I, 278","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 278","unknown_location_XX_gid_unknown","Unknown","COE I, 278","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 278","NULL"
"cock_ludolf_viaf_unknown","individual","male","unknown","Ludolf COCK [COE] // Ludolf Cock [CWE] // Coccius, Ludolph [ALLEN]","Coccius // Kock","COE I, 323","bielefeld_DE_gid_2949186","Bielefeld","COE I, 323","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 323","unknown_location_XX_gid_unknown","Unknown","COE I, 323","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 323","NULL"
"cologne_nuns_of_viaf_not_applicable","corporate body","male","not applicable","[Nuns of Cologne] [COE] // Nuns of Cologne [CWE] // Cologne, Nuns [ALLEN]","NULL","NULL","unknown_location_XX_gid_unknown","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"cornelis_of_bergen_viaf_unknown","individual","male","unknown","CORNELIS of Bergen (Ep 1562 of 26 March 1525) [COE] // Cornelis of Bergen [CWE] // Bergen, Cornelius of [ALLEN]","Cornelius Bergensis","COE I, 340","woerden_NL_gid_2744248","Woerden, west of Utrecht","COE I, 340","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 340","steyn_monastery_NL_gid_unknown","Unknown, possibly Steyn","COE I, 340","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 340","NULL"
"cortehoeven_dirk_viaf_8201663","individual","male","8201663","Theodericus CORTEHOEVIUS [COE] // Theodericus Cortehoevius [CWE] // Cortehoevius, Theodericus [ALLEN]","NULL","COE I, 345","kortenhoef_NL_gid_2752409","Kortenhoef, west of Hilversum","COE I, 345","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 345","unknown_location_XX_gid_unknown","Unknown","COE I, 345","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 345","NULL"
"courtebourne_pierre_de_viaf_unknown","individual","male","unknown","Pierre de COURTEBOURNE [COE] // Pierre le Bâtard de Courtebourne [CWE] // Courtebourne, Peter of [ALLEN]","Petrus Nothus","COE I, 350","unknown_location_XX_gid_unknown","Unknown","COE I, 350","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 350","unknown_location_XX_gid_unknown","Unknown","COE I, 350","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 350","NULL"
"dancaster_william_viaf_unknown","individual","male","unknown","William DANCASTER [COE] // William Dancaster [CWE] // Dancaster, William [ALLEN]","Dankester","COE I, 375-376","unknown_location_in_england_GB_gid_unknown","Suffolk","COE I, 375-376","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 375-376","ampthill_GB_gid_2657337","prob. Ampthill, Bedfordshire","COE I, 375-376","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 375-376","NULL"
"danieli_giovanni_viaf_unknown","individual","male","unknown","Giovanni DANIELI [COE] // Giovanni Danieli [CWE] // Danielis, John [ALLEN]","Danielis","COE I, 376","unknown_location_XX_gid_unknown","Unknown","COE I, 376","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 376","unknown_location_XX_gid_unknown","Unknown","COE I, 376","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 376","NULL"
"davidts_maarten_viaf_unknown","individual","male","unknown","Maarten DAVIDTS [COE] // Maarten Davidts [CWE] // Davidts, Martin [ALLEN]","David // Davidis","COE I, 378-379","unknown_location_diocese_of_cambrai_FR_gid_unknown","diocese of Cambrai","COE I, 378-379","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 378-379","unknown_location_XX_gid_unknown","Unknown","COE I, 378-379","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 378-379","NULL"
"decimarius_petrus_viaf_unknown","individual","male","unknown","Petrus DECIMARIUS [COE] // Petrus Decimarius [CWE] // Decimarius, Petrus [ALLEN]","NULL","NULL","unknown_location_diocese_of_bazas_FR_gid_unknown","Unknown, in the diocese of Bazas, in the Gironde","COE I, 379","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 379","unknown_location_XX_gid_unknown","Unknown","COE I, 379","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 379","NULL"
"denny_nuns_of_viaf_not_applicable","corporate body","NULL","not applicable","[Nuns of Denny] [COE] // Nuns of Denney [CWE] // Denny, Nuns of [ALLEN]","NULL","NULL","unknown_location_XX_gid_unknown","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","unknown_location_XX_gid_unknown","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"desprez_etienne_viaf_unknown","individual","male","unknown","Etienne DESPREZ [COE] // Étienne Desprez [CWE] // Stephen Pratensis [ALLEN]","Pratensis // a Prato // Pratanus","COE I 390","unknown_location_XX_gid_unknown","Unknown","COE I 390","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I 390","unknown_location_XX_gid_unknown","Unknown","COE I 390","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I 390","NULL"
"edmond_[corpus_era]_viaf_unknown","individual","male","unknown","EDMOND [COE] // Edmond [CWE] // Edmund [ALLEN]","Edmondus","COE I, 420","unknown_location_XX_gid_unknown","Unknown","COE I, 420","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 420","unknown_location_XX_gid_unknown","Unknown","COE I, 420","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 420","NULL"
"elisabeth_[corpus_era]_viaf_unknown","individual","male","unknown","ELISABETH [COE] // Elisabeth, a nun [CWE] // Elizabeth, Nun [ALLEN]","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","COE I, 427","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 427","unknown_location_XX_gid_unknown","Unknown","COE I, 427","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 427","NULL"
"eustachius_andreas_viaf_unknown","individual","male","unknown","Eustachius ANDREAS [COE] // Eustachius Andreas [CWE] // Andreas, Eustace [ALLEN]","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","COE I, 53","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 53","unknown_location_XX_gid_unknown","Unknown","COE I, 53","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 53","NULL"
"evangelista_[corpus_era]_viaf_unknown","individual","male","unknown","EVANGELISTA [COE] // Evangelista [CWE] // Evangelista [ALLEN]","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","COE I, 446","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 446","unknown_location_XX_gid_unknown","Unknown","COE I, 446","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE I, 446","NULL"
"falco_johannes_viaf_unknown","individual","male","unknown","Johannes FALCO [COE] // Johannes Falco [CWE] // Falcon, John [ALLEN]","NULL","NULL","unknown_location_XX_gid_unknown","Unknown","COE II, 11","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE II, 11","unknown_location_XX_gid_unknown","Unknown","COE II, 11","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","COE II, 11","NULL"
