"Id","type","gender","Label","pob_loc_id","pob_loc_annotation","dob_year1","dob_computable1","dob_has_range","dob_year2","dob_computable2","pod_loc_id","pod_loc_annotation","dod_year1","dod_computable1","dod_has_range","dod_year2"
"ziegler_jakob_viaf_15074694","individual","male","Jakob ZIEGLER [COE] // Jakob Ziegler [CWE] // Ziegler, Jakob (Landavus Bavarus) [ALLEN]","landau_an_der_isar_DE_gid_2881650","Landau (Bavaria)","1470","1470-01-01","1","1470","1470-12-31","passau_DE_gid_2855328","Passau","1549","1549-08-01","1","1549"
"rhegius_urbanus_viaf_17232588","individual","male","Urbanus RHEGIUS [COE] // Urbanus Regius [CWE] // Regius, Urbanus (Rieger) [ALLEN]","langenargen_DE_gid_2881263","Langenargen","1489","1489-05-01","1","1489","1489-05-31","celle_DE_gid_2940213","Celle","1541","1541-05-23","0","1541"
"hegendorph_christoph_viaf_54260943","individual","male","Christoph HEGENDORFF [COE] // Christoph Hegendorf [CWE] // Hegendorfer, Christopher [ALLEN]","leipzig_DE_gid_2879139","Leipzig","1500","1500-01-01","1","1500","1500-12-31","lüneburg_DE_gid_2875115","Lüneburg","1540","1540-08-08","0","1540"
"glareanus_henricus_viaf_73950690","individual","male","Henricus GLAREANUS [COE] // Henricus Glareanus [CWE] // Glareanus, Henricus (H. Loriti of Glarus) [ALLEN]","mollis_CH_gid_2659636","Mollis/Glarus","1488","1488-06-01","1","1488","1488-06-30","freiburg_DE_gid_2925177","Freiburg i. Br.","1563","1563-03-27","1","1563"
"venatorius_thomas_viaf_43677502","individual","male","Thomas VENATORIUS [COE] // Thomas Venatorius [CWE] // Venatorius, Thomas [ALLEN]","nürnberg_DE_gid_2861650","Nürnberg","1488","1488-01-01","1","1488","1488-12-31","nürnberg_DE_gid_2861650","Nürnberg","1551","1551-02-04","0","1551"
"gerbel_nicolaus_viaf_60906847","individual","male","Nikolaus GERBEL [COE] // Nikolaus Gerbel [CWE] // Gerbell, Nicholas [ALLEN]","pforzheim_DE_gid_2853969","Pforzheim","1485","1485-01-01","1","1485","1485-12-31","strasbourg_FR_gid_2973783","Straßburg","1560","1560-01-20","0","1560"
"reuchlin_johann_viaf_66542815","individual","male","Johann REUCHLIN [COE] // Johann Reuchlin [CWE] // Reuchlin, Johann (Capnio) [ALLEN]","pforzheim_DE_gid_2853969","Pforzheim","1454","1454-01-29","0","1454","1454-01-29","stuttgart_DE_gid_2825297","Stuttgart","1522","1522-06-30","0","1522"
"erasmus_desiderius_viaf_95982394","individual","male","[Erasmus Desiderius] [COE] // Erasmus [CWE] // Erasmus [ALLEN]","rotterdam_NL_gid_2747891","bei Rotterdam","1469","1469-01-01","1","1469","1469-12-31","basel_CH_gid_2661604","Basel","1536","1536-01-01","1","1536"
"pellicanus_konrad_viaf_41862976","individual","male","Conradus PELLICANUS [COE] // Conradus Pellicanus [CWE] // Pellican, Conrad [ALLEN]","rouffach_FR_gid_2982636","Rufach/Oberelsass","1478","1478-01-08","0","1478","1478-01-08","zürich_CH_gid_2657896","Zürich","1556","1556-04-06","0","1556"
"busche_hermann_von_dem_viaf_27087291","individual","male","Hermannus BUSCHIUS [COE] // Hermann von dem Busche [CWE] // Busch, Hermann [ALLEN]","sassenberg_DE_gid_2841351","Sassenberg bei Warendorf/Westfalen","1468","1468-01-01","1","1468","1468-12-31","dülmen_DE_gid_2934662","Dülmen/Westfalen","1534","1534-04-01","1","1534"
"bucer_martin_viaf_2478527","individual","male","Martin BUCER [COE] // Martin Bucer [CWE] // Bucer, Martin [ALLEN]","sélestat_FR_gid_2975233","Schlettstadt/Elsaß","1491","1491-11-11","0","1491","1491-11-11","cambridge_GB_gid_2653941","Cambridge","1551","1551-02-27","1","1551"
"rhenanus_beatus_viaf_39415982","individual","male","BEATUS Rhenanus [COE] // Beatus Rhenanus [CWE] // Beatus Rhenanus (Beat Bild) [ALLEN]","sélestat_FR_gid_2975233","Sélestat","1485","1485-08-22","0","1485","1485-08-22","strasbourg_FR_gid_2973783","Strasbourg","1547","1547-07-20","0","1547"
"spiegel_jakob_viaf_24846746","individual","male","Jakob SPIEGEL [COE] // Jakob Spiegel [CWE] // Spiegel, James [ALLEN]","sélestat_FR_gid_2975233","Sélestat","1483","1483-01-01","1","1483","1483-12-31","unknown_location_XX_gid_unknown","Unknown","1547","1547-07-01","1",""
"spalatin_georg_viaf_240011410","individual","male","Georgius SPALATINUS [COE] // Georgius Spalatinus [CWE] // Spalatinus, George [ALLEN]","spalt_DE_gid_2830849","Spalt","1484","1484-01-17","0","1484","1484-01-17","altenburg_DE_gid_2957773","Altenburg","1545","1545-01-16","0","1545"
"hutten_ulrich_von_viaf_95193756","individual","male","Ulrich von HUTTEN [COE] // Ulrich von Hutten [CWE] // Hutten, Ulrich von [ALLEN]","steckelberg_castle_DE_gid_unknown","Burg Steckelberg bei Schlüchtern nahe Fulda/Hessen","1488","1488-04-21","0","1488","1488-04-21","ufenau_CH_gid_7669974","Insel Ufenau im Zürichsee","1523","1523-08-20","1","1523"
"huttich_johann_viaf_5722622","individual","male","Johann HUTTICH [COE] // Johann Huttich [CWE] // Huttich, John [ALLEN]","strinz_trinitatis_DE_gid_2825809","Strinz in the Taunus","1490","1490-01-01","1","1490","1490-12-31","strasbourg_FR_gid_2973783","Straßburg","1544","1544-03-04","0","1544"
"frederick_iii_elector_of_saxony_viaf_316392243","individual","male","Frederick III, elector of SAXONY [COE] // Duke / Elector Frederick of Saxony [CWE] // Frederick of Saxony [ALLEN]","torgau_DE_gid_2821807","Torgau","1463","1463-01-17","0","1463","1463-01-17","lochau_DE_gid_2876645","Lochau","1525","1525-05-05","0","1525"
"ricius_paulus_viaf_60018918","individual","male","Paulus RICIUS [COE] // Paulus Ricius [CWE] // Ricius, Paulus (Ritius) [ALLEN]","trento_IT_gid_3165243","Trient","1480","1480-01-01","1","1480","1480-12-31","unknown_location_XX_gid_unknown","Unknown","1541","1541-01-01","1","1541"
"andreis_franjo_trankvil_viaf_22294763","individual","male","Tranquillus ANDRONICUS Parthenius [COE] // Tranquillus Andronicus Parthenius [CWE] // Andronicus, Tranquillus [ALLEN]","trogir_HR_gid_3188763","Trogir","1490","1490-01-01","1","1490","1490-12-31","trogir_HR_gid_3188763","Trogir","1571","1571-01-01","1","1571"
