"send_date_computable1","NoEppSentFromEra"
"1529-03-13","1"
"1508-12-09","1"
"1529-03-14","2"
"1529-03-15","1"
"1529-03-17","1"
"1529-03-21","2"
"1508-12-01","1"
"1529-03-24","1"
"1529-03-25","1"
"1529-03-30","1"
"1529-04-01","6"
"1529-04-05","1"
"1529-04-10","1"
"1529-04-13","1"
"1529-04-21","1"
"1529-04-25","1"
"1529-05-05","1"
"1529-05-06","1"
"1529-05-01","2"
"1529-05-09","2"
"1529-05-14","2"
"1529-05-16","1"
"1529-05-17","1"
"1529-06-01","1"
"1529-06-06","1"
"1529-06-08","4"
"1529-06-09","3"
"1529-06-15","1"
"1511-04-10","1"
"1529-06-20","2"
"1529-06-23","1"
"1529-07-01","3"
"1511-04-27","1"
"1529-07-02","1"
"1529-07-07","1"
"1529-07-13","1"
"1529-07-14","1"
"1529-07-15","1"
"1529-07-20","1"
"1489-06-01","2"
"1529-07-23","2"
"1529-08-07","1"
"1529-08-09","1"
"1529-08-13","1"
"1529-08-19","1"
"1529-09-01","1"
"1529-09-05","1"
"1529-09-06","1"
"1529-09-07","2"
"1529-09-08","1"
"1529-09-10","1"
"1529-09-25","1"
"1511-06-09","1"
"1529-09-27","1"
"1529-10-02","1"
"1529-10-04","1"
"1529-10-22","1"
"1529-11-02","2"
"1529-11-04","1"
"1529-11-06","1"
"1529-11-18","1"
"1529-12-03","1"
"1529-12-10","2"
"1530-01-01","2"
"1511-08-24","1"
"1530-01-13","7"
"1530-01-16","1"
"1530-01-17","1"
"1530-01-23","1"
"1511-08-25","1"
"1530-01-28","1"
"1530-01-31","3"
"1530-02-01","2"
"1530-02-02","1"
"1511-09-13","1"
"1530-02-13","1"
"1530-02-18","1"
"1530-02-20","1"
"1530-03-03","1"
"1530-03-01","3"
"1511-09-16","1"
"1530-03-15","2"
"1530-03-17","1"
"1530-03-19","1"
"1530-03-22","1"
"1530-03-23","1"
"1511-09-01","1"
"1530-03-25","1"
"1530-03-27","2"
"1530-03-28","4"
"1530-03-30","2"
"1530-03-31","2"
"1530-04-02","1"
"1530-04-04","1"
"1530-04-13","1"
"1511-10-05","2"
"1530-04-16","1"
"1530-05-20","1"
"1530-05-22","1"
"1530-05-23","1"
"1530-05-25","1"
"1530-06-01","1"
"1530-06-06","2"
"1530-06-24","5"
"1511-10-16","1"
"1530-06-30","1"
"1511-10-20","1"
"1530-07-07","5"
"1530-07-09","6"
"1530-07-14","1"
"1530-07-31","1"
"1530-08-02","1"
"1530-08-05","1"
"1530-08-11","2"
"1530-08-12","1"
"1530-08-17","1"
"1530-08-18","1"
"1530-08-25","1"
"1530-08-28","1"
"1511-10-29","1"
"1530-08-29","2"
"1530-09-01","3"
"1530-09-02","2"
"1530-09-05","1"
"1511-11-02","1"
"1530-09-06","1"
"1530-09-07","2"
"1530-10-07","1"
"1530-10-10","1"
"1530-10-17","1"
