"send_date_computable1","NoEppSentToEra"
"1528-05-27","1"
"1528-05-26","1"
"1528-06-17","1"
"1528-06-24","1"
"1528-06-29","2"
"1528-07-16","1"
"1528-07-18","1"
"1528-07-22","1"
"1528-07-27","1"
"1528-07-31","1"
"1528-08-02","1"
"1528-08-05","1"
"1528-08-12","1"
"1528-08-14","2"
"1528-08-16","2"
"1507-01-17","1"
"1528-10-01","1"
"1528-10-07","1"
"1528-10-08","1"
"1528-10-13","2"
"1528-10-16","2"
"1528-10-18","1"
"1528-10-23","1"
"1528-11-20","1"
"1528-12-01","1"
"1528-12-30","1"
"1529-01-06","2"
"1529-01-10","1"
"1529-01-01","1"
"1529-01-02","1"
"1529-02-03","1"
"1529-02-04","1"
"1529-02-01","1"
"1508-04-06","1"
"1529-02-15","2"
"1529-02-21","1"
"1529-02-25","1"
"1529-03-07","1"
"1529-03-08","1"
"1529-03-13","1"
"1529-03-15","1"
"1529-03-21","1"
"1529-03-23","3"
"1529-03-27","1"
"1529-03-31","1"
"1509-05-01","1"
"1529-04-04","1"
"1529-04-07","1"
"1529-04-12","1"
"1509-05-27","1"
"1529-05-01","2"
"1529-05-03","1"
"1529-05-04","1"
"1509-06-30","1"
"1529-05-15","1"
"1529-05-19","1"
"1529-05-27","1"
"1529-06-05","1"
"1509-12-22","1"
"1511-03-01","1"
"1529-06-14","1"
"1529-06-20","4"
"1529-06-29","1"
"1529-07-13","1"
"1529-07-15","1"
"1529-07-01","1"
"1529-08-20","1"
"1529-08-30","1"
"1511-05-19","1"
"1529-09-01","1"
"1529-09-08","1"
"1529-09-27","1"
"1529-09-30","1"
"1529-10-18","1"
"1529-10-24","1"
"1529-10-28","2"
"1511-06-01","1"
"1529-11-04","2"
"1529-11-10","1"
"1529-11-01","1"
"1529-11-21","1"
"1529-12-07","2"
"1511-08-19","1"
"1529-12-13","1"
"1529-12-26","1"
"1529-12-01","1"
"1530-01-06","1"
"1530-01-09","1"
"1530-01-17","1"
"1530-02-01","1"
"1530-02-02","1"
"1530-02-03","1"
"1530-02-04","1"
"1530-02-12","1"
"1530-03-01","2"
"1530-03-06","1"
"1530-03-24","1"
"1530-03-28","1"
"1530-03-29","1"
