"recipient_id","Number of locations this correspondent receives letters at"
"ellenbog_nikolaus_viaf_71750518","1"
"emili_emilio_viaf_90357556","1"
"emser_hieronymus_viaf_19702295","1"
"episcopius_nicolaus_viaf_100388966","2"
"eppendorf_heinrich_viaf_59837595","1"
"erasmus_desiderius_viaf_95982394","18"
"ernst_duke_of_bavaria_viaf_57415353","1"
"eschenfelder_christoph_viaf_15584505","1"
"eustachius_andreas_viaf_unknown","1"
"evangelista_[corpus_era]_viaf_unknown","1"
"everardi_nicolaus_viaf_113330335","1"
"fabri_johann_viaf_73844870","5"
"falco_johannes_viaf_unknown","1"
"ferdinand_i_holy_roman_emperor_viaf_51698517","3"
"fernández_de_madrid_alonso_viaf_88700304","1"
"fettich_theobald_viaf_39718269","1"
"fevynus_johannes_viaf_305828704","1"
"filonardi_ennio_viaf_88875469","1"
"fisher_christopher_viaf_unknown","1"
"fisher_john_saint_viaf_266081375","2"
"fisher_robert_viaf_unknown","2"
"flandern_louis_de_viaf_57769275","1"
"florenas_remaclus_viaf_18036550","1"
"fonseca_alonso_de_viaf_3902488","1"
"foxe_richard_viaf_34703866","1"
"francesco_ii_sforza_duke_of_milan_viaf_32110035","1"
"franciscans_viaf_not_applicable","1"
"francis_i_king_of_france_viaf_21677","3"
"francis_john_viaf_unknown","1"
"franck_sebastian_viaf_46842654","1"
"frederick_iii_elector_of_saxony_viaf_316392243","2"
"frederiks_willem_viaf_unknown","1"
"frick_konrad_viaf_unknown","1"
"froben_hieronymus_viaf_32319505","1"
"froben_johannes_erasmus_viaf_80419193","1"
"froben_johann_viaf_7440203","2"
"fugger_anton_viaf_806644","1"
"furster_valentin_viaf_unknown","1"
"gachi_jean_viaf_unknown","1"
"gaguin_robert_viaf_14908169","1"
"gaigny_jean_de_viaf_85041114","1"
"gardiner_stephen_viaf_54292111","1"
"gattinara_mercurino_marchese_di_viaf_9855777","2"
"geldenhauer_gerard_viaf_12331377","2"
"georg_duke_of_saxony_viaf_52484350","4"
"georg_von_österreich_viaf_74667947","1"
"gerard_cornelis_viaf_56666862","1"
"gerard_of_kloster_viaf_unknown","1"
"gerard_pieter_viaf_unknown","1"
"gerbel_nicolaus_viaf_60906847","1"
"giberti_giovanni_matteo_viaf_74583902","1"
"giese_tiedemann_viaf_32819965","1"
"gigli_silvestro_viaf_unknown","1"
"gillis_pierre_viaf_12425170","1"
"giovio_benedetto_viaf_54492095","1"
"glapion_jean_viaf_308204333","1"
"glareanus_henricus_viaf_73950690","3"
"goclenius_conrad_viaf_100370860","1"
"goethals_liévin_viaf_62363145","1"
"gois_damião_ de_viaf_29543090","4"
"gonnell_william_viaf_unknown","2"
"gracián_diego_viaf_32887288","1"
"grapheus_cornelius_scribonius_viaf_24593400","1"
"gratius_ortwin_viaf_100274693","1"
"gravius_tielmannus_viaf_unknown","1"
"greverade_adolf_viaf_unknown","1"
"grey_thomas_viaf_unknown","1"
"grimani_domenico_viaf_67314831","3"
"grolier_jean_viaf_51698044","1"
"grunnius_lambertus_viaf_33092660","1"
"grunnius_[corpus_era]_viaf_unknown","1"
"gruntgen_heinrich_viaf_unknown","1"
"gruyères_léonard_de_viaf_unknown","2"
"grynaeus_simon_viaf_51739295","2"
"guibé_robert_viaf_44450742","1"
"guildford_henry_viaf_160149629","1"
"guilelmus_hermannus_viaf_79253976","2"
"guillard_louis_viaf_172190973","1"
"gumppenberg_ambrosius_von_viaf_27866230","1"
"gusebel_johannes_viaf_5746266","1"
"hacus_christoph_viaf_54963143","1"
"haer_jan_dirksz_van_der_viaf_unknown","1"
"halewyn_georges_de_viaf_100289355","1"
"halsey_thomas_viaf_unknown","1"
"harst_karl_viaf_81360435","1"
"hatten_maternus_viaf_unknown","1"
"hedio_kaspar_viaf_37708208","1"
"heemstede_jan_of_viaf_unknown","1"
"hegendorph_christoph_viaf_54260943","1"
"henckel_johannes_viaf_42653796","4"
"henricus_de_bergen_viaf_10913982","2"
"henry_viii_king_of_england_viaf_172419710","5"
"herema_gerard_van_viaf_unknown","1"
"heresbach_conrad_viaf_5740065","1"
"herwagen_johann_viaf_84180756","1"
"hessus_helius_eobanus_viaf_71412338","2"
"hezius_theodericus_viaf_287437455","2"
"hillweg_theobald_viaf_unknown","1"
"hompen_hayo_viaf_90975196","3"
"hondt_jan_de_viaf_19940051","1"
"hoogstraten_andreas_of_viaf_unknown","1"
"hoogstraten_jacobus_van_viaf_13114285","1"
"horion_guillaume_de_viaf_unknown","1"
"hornes_maximilien_de_viaf_20840615","1"
"hoxwier_hector_van_viaf_unknown","1"
"hué_guillaume_viaf_unknown","1"
"hugenoys_lieven_viaf_unknown","1"
"hune_martin_viaf_unknown","2"
"hutten_ulrich_von_viaf_95193756","2"
"huttich_johann_viaf_5722622","1"
"illiers_rené_de_viaf_unknown","1"
"isenburg_wilhelm_von_viaf_23276289","1"
"jacobus_antonii_viaf_89039252","1"
"james_v_king_of_scotland_viaf_268774695","1"
"janandus_claudius_viaf_unknown","1"
"jan_of_brussels_viaf_unknown","1"
"jean_(1)_le_sauvage_viaf_287915538","2"
"johannes_v_breslau_bischof_viaf_69748338","1"
"johann_der_beständige_elector_of_saxony_viaf_37263134","1"
"johann_iii_trier_erzbischof_viaf_5738878","1"
"john_iii_king_of_portugal_viaf_59093168","1"
"jonas_justus_viaf_32044388","3"
"kan_nicolaas_viaf_unknown","1"
"keysere_robert_de_viaf_54247831","1"
"kierher_johannes_viaf_249489967","1"
"kleberger_hans_viaf_21316184","1"
"klett_lukas_viaf_unknown","1"
"kmita_piotr_viaf_77411316","1"
"knopken_andreas_viaf_151746467","1"
"koler_johann_viaf_84557599","1"
"komerstadt_georg_von_viaf_32781601","1"
"könneritz_andreas_von_viaf_80525464","1"
"könneritz_christoph_von_viaf_80525504","1"
"kretz_matthias_viaf_7727516","1"
"krzycki_andrzej_viaf_3542950","3"
"lachner_wolfgang_viaf_62650596","1"
"laetus_jodocus_viaf_69745698","1"
"lagnier_simon_viaf_unknown","1"
"lalemand_jean_viaf_unknown","1"
"lambelin_jean_viaf_unknown","1"
"lang_johann_viaf_67343955","1"
"lascaris_janus_viaf_32142389","1"
"latimer_william_viaf_unknown","1"
"latomus_bartholomaeus_viaf_73868162","1"
"laurentia_johannes_baptista_viaf_unknown","1"
"laurinus_marcus_viaf_unknown","1"
"laurinus_matthias_viaf_unknown","1"
"lauwereyns_joost_viaf_unknown","1"
"lee_edward_viaf_40182081","1"
"lefèvre_d'étaples_jacques_viaf_100170223","2"
