"target_loc_id","TargetNameModern","TargetLAT","TargetLNG","source_loc_id","SourceNameModern","SourceLAT","SourceLNG"
"unknown_location_in_france_FR_gid_unknown","Unknown Location in France","NULL","NULL","freiburg_DE_gid_2925177","Freiburg im Breisgau","47.9959","7.85222"
"unknown_location_in_italy_IT_gid_unknown","Unknown Location in Italy","NULL","NULL","freiburg_DE_gid_2925177","Freiburg im Breisgau","47.9959","7.85222"
"waldburg_castle_DE_gid_unknown","Waldburg Castle","47.758889","9.711944","freiburg_DE_gid_2925177","Freiburg im Breisgau","47.9959","7.85222"
"abbey_saint_martin_de_lile_barbe_FR_gid_2977249","Abbey Saint-Martin-de-l'Île-Barbe","45.79784","4.83321","freiburg_DE_gid_2925177","Freiburg im Breisgau","47.9959","7.85222"
"unknown_location_in_belgium_BE_gid_unknown","Unknown Location in Belgium","NULL","NULL","freiburg_DE_gid_2925177","Freiburg im Breisgau","47.9959","7.85222"
"unknown_location_in_switzerland_CH_gid_unknown","Unknown Location in Switzerland","NULL","NULL","freiburg_DE_gid_2925177","Freiburg im Breisgau","47.9959","7.85222"
"unknown_location_in_germany_DE_gid_unknown","Unknown Location in Germany","NULL","NULL","freiburg_DE_gid_2925177","Freiburg im Breisgau","47.9959","7.85222"
"saint_omer_FR_gid_2977845","Saint-Omer","50.75","2.25","london_GB_gid_2643743","London","51.50853","-0.12574"
"chemnitz_DE_gid_2940132","Chemnitz","50.8357","12.92922","freiburg_DE_gid_2925177","Freiburg im Breisgau","47.9959","7.85222"
"haarlem_NL_gid_2755003","Haarlem","52.38084","4.63683","freiburg_DE_gid_2925177","Freiburg im Breisgau","47.9959","7.85222"
"tournehem_sur_la_hem_FR_gid_2972235","Tournehem-sur-la-Hem","50.8","2.05","london_GB_gid_2643743","London","51.50853","-0.12574"
"landbeach_GB_gid_6284113","Landbeach","52.26448","0.16226","cambridge_GB_gid_2653941","Cambridge","52.2","0.11667"
"ordingen_BE_gid_2789640","Ordingen","50.8132","5.23499","freiburg_DE_gid_2925177","Freiburg im Breisgau","47.9959","7.85222"
"landbeach_GB_gid_6284113","Landbeach","52.26448","0.16226","london_GB_gid_2643743","London","51.50853","-0.12574"
"unknown_location_in_the_franche_comté_FR_gid_unknown","Unknown Location in the Franche-Comté","NULL","NULL","freiburg_DE_gid_2925177","Freiburg im Breisgau","47.9959","7.85222"
"lisbon_PT_gid_2267057","Lisbon","38.71667","-9.13333","freiburg_DE_gid_2925177","Freiburg im Breisgau","47.9959","7.85222"
"sion_abbey_NL_gid_unknown","Sion Abbey","52.00444444","4.161666667","steyn_monastery_NL_gid_unknown","Steyn Monastery","52.002977","4.764632"
"munich_DE_gid_2867714","Munich","48.13743","11.57549","basel_CH_gid_2661604","Basel","47.5584","7.57327"
"unknown_location_in_the_franche_comté_FR_gid_unknown","Unknown Location in the Franche-Comté","NULL","NULL","basel_CH_gid_2661604","Basel","47.5584","7.57327"
"unknown_location_in_switzerland_CH_gid_unknown","Unknown Location in Switzerland","NULL","NULL","basel_CH_gid_2661604","Basel","47.5584","7.57327"
"woking_GB_gid_2633709","Woking","51.31903","-0.55893","basel_CH_gid_2661604","Basel","47.5584","7.57327"
"bergen_op_zoom_NL_gid_2759145","Bergen op Zoom","51.495","4.29167","brussels_BE_gid_2800866","Brussels","50.85045","4.34878"
"cambrai_FR_gid_3029030","Cambrai","50.16667","3.23333","paris_FR_gid_2988507","Paris","48.85341","2.3488"
"st_séverin_abbey_FR_gid_unknown","Saint Séverin Abbey of Château Landon","48.1504","2.7089","paris_FR_gid_2988507","Paris","48.85341","2.3488"
"bayeux_FR_gid_3034483","Bayeux","49.27732","-0.7039","antwerpen_BE_gid_2803138","Antwerp","51.21989","4.40346"
"windsor_castle_GB_gid_6287215","Windsor Castle","51.48365","-0.60502","antwerpen_BE_gid_2803138","Antwerp","51.21989","4.40346"
